Value,AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,AFRICA_2024_WorldCover_2021_35PNQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,Forest
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
56,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
57,NULL,NULL,Water,NULL,Water,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,Grassland
66,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
75,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
77,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
78,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
79,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
80,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
81,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
87,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
89,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
94,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
95,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
96,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
97,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
98,NULL,Forest,NULL,NULL,Non_Wetland,NULL
99,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
100,NULL,Forest,NULL,NULL,Non_Wetland,Forest
101,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
102,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
107,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
109,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
110,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
113,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
114,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
115,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
116,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
117,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
118,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
