Value,AFRICA_2024_DynamicWorld_2024_36PYS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYS_M_R,AFRICA_2024_GSW_Yearly_2021_36PYS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYS_M_R,AFRICA_2024_WorldCover_2021_36PYS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Water,Non_Wetland,Forest
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Cropland
37,NULL,NULL,Wetland,NULL,Wetland,Forest
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
40,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
44,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
45,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
46,NULL,NULL,Bareland,Water,Non_Wetland,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
53,NULL,NULL,Built-up,Water,Non_Wetland,Forest
54,NULL,NULL,Water,NULL,Water,Grassland
55,NULL,NULL,Water,NULL,Water,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
62,NULL,NULL,Forest,NULL,Non_Wetland,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
67,NULL,NULL,Forest,Water,Non_Wetland,Grassland
68,NULL,NULL,Forest,Water,Non_Wetland,Forest
69,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
70,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
73,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
75,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
98,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
104,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
105,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
106,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
107,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
110,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
114,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
