Value,AFRICA_2024_DynamicWorld_2024_37NBE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,AFRICA_2024_WorldCover_2021_37NBE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,Water,Non_Wetland,NULL
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Bareland,NULL,Non_Wetland,Water
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Bareland,Water,Non_Wetland,NULL
43,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
44,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
46,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
49,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Forest
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
58,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
60,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
61,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
62,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
63,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
66,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
67,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
68,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
69,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
70,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
71,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
73,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
74,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
75,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
76,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
77,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
78,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
79,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
80,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
81,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
82,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
83,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
84,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
85,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
92,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
93,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
94,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
95,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
96,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
99,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
100,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
102,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
103,NULL,Water,Grassland,NULL,Non_Wetland,NULL
104,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
106,NULL,Water,Bareland,NULL,Non_Wetland,NULL
107,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Water,Built-up,NULL,Non_Wetland,NULL
110,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Forest,NULL,NULL,Non_Wetland,NULL
112,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
113,NULL,Forest,NULL,NULL,Non_Wetland,Forest
114,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
117,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
118,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
