Value,AFRICA_2024_DynamicWorld_2024_37PHL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,AFRICA_2024_WorldCover_2021_37PHL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Cropland,NULL,Non_Wetland,Water
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Water,Non_Wetland,NULL
34,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
35,NULL,NULL,Wetland,NULL,Wetland,Forest
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
48,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
49,NULL,NULL,Bareland,Water,Non_Wetland,Water
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
51,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
55,NULL,NULL,Water,NULL,Water,Grassland
56,NULL,NULL,Water,NULL,Water,Cropland
57,NULL,NULL,Water,Water,Water,Cropland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
63,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
66,NULL,NULL,Forest,Water,Non_Wetland,Cropland
67,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
68,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
73,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
74,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
84,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
93,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
94,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
102,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
103,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
