Value,AFRICA_2024_DynamicWorld_2024_37NBH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBH_M_R,AFRICA_2024_GSW_Yearly_2021_37NBH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBH_M_R,AFRICA_2024_WorldCover_2021_37NBH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
40,NULL,NULL,Bareland,Water,Non_Wetland,Forest
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
42,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
46,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL
48,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
50,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
51,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
52,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
53,NULL,NULL,Forest,NULL,Non_Wetland,Forest
54,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Forest,Water,Non_Wetland,Grassland
56,NULL,NULL,Forest,Water,Non_Wetland,Bareland
57,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
58,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
59,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
60,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
61,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
62,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
75,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
81,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
82,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
86,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
98,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
99,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
105,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
107,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
111,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
113,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
