Value,AFRICA_2024_DynamicWorld_2024_37PCS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCS_M_R,AFRICA_2024_WorldCover_2021_37PCS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Water
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
50,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,NULL,Cropland,Water,Non_Wetland,Water
52,NULL,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Water,Wetland,Cropland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Water
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,Water
75,NULL,NULL,Bareland,Water,Non_Wetland,Forest
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
77,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
81,NULL,NULL,Built-up,NULL,Non_Wetland,Water
82,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
83,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
84,NULL,NULL,Built-up,Water,Non_Wetland,Water
85,NULL,NULL,Water,NULL,Water,Cropland
86,NULL,NULL,Water,Water,Water,Cropland
87,NULL,NULL,Water,Water,Water,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
95,NULL,NULL,Forest,Water,Non_Wetland,NULL
96,NULL,NULL,Forest,Water,Non_Wetland,Cropland
97,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
98,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
99,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
101,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
