Value,AFRICA_2024_DynamicWorld_2024_37NBG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBG_M_R,AFRICA_2024_GSW_Yearly_2021_37NBG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBG_M_R,AFRICA_2024_WorldCover_2021_37NBG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Cropland,NULL,Non_Wetland,Water
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Water,Non_Wetland,NULL
35,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,Bareland
39,NULL,NULL,Wetland,NULL,Wetland,Water
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Bareland,NULL,Non_Wetland,Water
52,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
53,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
56,NULL,NULL,Bareland,Water,Non_Wetland,Water
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
66,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
67,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
68,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest
70,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
72,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
73,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
77,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
100,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
101,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
102,NULL,Cropland,Wetland,NULL,Wetland,Cropland
103,NULL,Cropland,Wetland,NULL,Wetland,Forest
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
110,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
