Value,AFRICA_2024_DynamicWorld_2024_37QCU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QCU_M_R,AFRICA_2024_WorldCover_2021_37QCU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Water
18,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL
21,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Cropland,NULL,Non_Wetland,Water
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Cropland,Water,Non_Wetland,Forest
31,NULL,NULL,Wetland,NULL,Wetland,Bareland
32,NULL,NULL,Wetland,Water,Wetland,Grassland
33,NULL,NULL,Wetland,Water,Wetland,Bareland
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Bareland,Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
53,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
54,NULL,NULL,Bareland,Water,Non_Wetland,Forest
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
56,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
61,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
63,NULL,NULL,Water,NULL,Water,Grassland
64,NULL,NULL,Water,NULL,Water,Bareland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
68,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest
70,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
71,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
73,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
87,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
88,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
96,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
97,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
98,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
102,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
109,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
110,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
111,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
116,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
117,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
