Value,AFRICA_2024_DynamicWorld_2024_36PZT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZT_M_R,AFRICA_2024_GSW_Yearly_2021_36PZT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZT_M_R,AFRICA_2024_WorldCover_2021_36PZT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Cropland,Water,Non_Wetland,NULL
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Wetland,Water,Wetland,Forest
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Bareland,Water,Non_Wetland,NULL
45,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
46,NULL,NULL,Bareland,Water,Non_Wetland,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
53,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
55,NULL,NULL,Water,NULL,Water,NULL
56,NULL,NULL,Water,NULL,Water,Grassland
57,NULL,NULL,Water,NULL,Water,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
61,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
62,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
67,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Forest,Water,Non_Wetland,NULL
69,NULL,NULL,Forest,Water,Non_Wetland,Grassland
70,NULL,NULL,Forest,Water,Non_Wetland,Cropland
71,NULL,NULL,Forest,Water,Non_Wetland,Forest
72,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
73,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
78,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
102,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
103,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
104,NULL,Cropland,Wetland,NULL,Wetland,Grassland
105,NULL,Cropland,Wetland,NULL,Wetland,Cropland
106,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
107,NULL,Cropland,Wetland,Water,Wetland,Cropland
108,NULL,Cropland,Wetland,Water,Wetland,Water
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
118,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
