Value,AFRICA_2024_DynamicWorld_2024_37NBF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBF_M_R,AFRICA_2024_GSW_Yearly_2021_37NBF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBF_M_R,AFRICA_2024_WorldCover_2021_37NBF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,NULL
51,NULL,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Cropland
53,NULL,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,NULL,Wetland,NULL,Wetland,Bareland
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL
57,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,NULL,Wetland,Water,Wetland,NULL
61,NULL,NULL,Wetland,Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Wetland
63,NULL,NULL,Wetland,Water,Wetland,Bareland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Forest
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
97,NULL,NULL,Water,Water,Water,Bareland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
104,NULL,NULL,Forest,NULL,Non_Wetland,Forest
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
107,NULL,NULL,Forest,Water,Non_Wetland,Grassland
108,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
109,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
111,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
112,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
113,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
