Value,AFRICA_2024_DynamicWorld_2024_36NVK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,AFRICA_2024_WorldCover_2021_36NVK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Wetland,NULL,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
47,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
51,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
53,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
54,NULL,NULL,Forest,NULL,Non_Wetland,Forest
55,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
59,NULL,NULL,Forest,Water,Non_Wetland,Grassland
60,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
61,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
62,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
63,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
65,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
75,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
81,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
84,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
85,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
86,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
89,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
91,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
92,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
93,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
94,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
95,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
96,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
104,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
109,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
110,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
112,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
115,NULL,Built-up,Wetland,NULL,Wetland,NULL
116,NULL,Built-up,Wetland,NULL,Wetland,Grassland
117,NULL,Built-up,Wetland,NULL,Wetland,Forest
118,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
119,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
