Value,AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Water
63,NULL,NULL,Cropland,Water,Non_Wetland,Forest
64,NULL,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Cropland
66,NULL,NULL,Wetland,NULL,Wetland,Bareland
67,NULL,NULL,Wetland,NULL,Wetland,Water
68,NULL,NULL,Wetland,NULL,Wetland,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Wetland,Water,Wetland,Grassland
74,NULL,NULL,Wetland,Water,Wetland,Cropland
75,NULL,NULL,Wetland,Water,Wetland,Wetland
76,NULL,NULL,Wetland,Water,Wetland,Bareland
77,NULL,NULL,Wetland,Water,Wetland,Water
78,NULL,NULL,Wetland,Water,Wetland,Forest
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL
98,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,Forest
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
113,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
115,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,NULL,Built-up,Water,Non_Wetland,Forest
118,NULL,NULL,Water,NULL,Water,Grassland
119,NULL,NULL,Water,NULL,Water,Cropland
120,NULL,NULL,Water,Non_Water,Water,Grassland
121,NULL,NULL,Water,Non_Water,Water,Cropland
