Value,AFRICA_2024_DynamicWorld_2024_35NND_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,AFRICA_2024_GSW_Yearly_2021_35NND_M_R,AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,AFRICA_2024_WorldCover_2021_35NND_M_R
123,NULL,Water,NULL,NULL,Non_Wetland,Grassland
124,NULL,Water,NULL,NULL,Non_Wetland,Bareland
125,NULL,Water,NULL,NULL,Non_Wetland,Water
126,NULL,Water,NULL,NULL,Non_Wetland,Forest
127,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
128,NULL,Water,NULL,Water,Non_Wetland,NULL
129,NULL,Water,NULL,Water,Non_Wetland,Bareland
130,NULL,Water,NULL,Water,Non_Wetland,Water
131,NULL,Water,NULL,Water,Non_Wetland,Forest
132,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
133,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
134,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Water,Shrubland,NULL,Non_Wetland,Water
136,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
138,NULL,Water,Shrubland,Water,Non_Wetland,NULL
139,NULL,Water,Shrubland,Water,Non_Wetland,Water
140,NULL,Water,Shrubland,Water,Non_Wetland,Forest
141,NULL,Water,Grassland,NULL,Non_Wetland,NULL
142,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Water,Grassland,NULL,Non_Wetland,Water
144,NULL,Water,Grassland,NULL,Non_Wetland,Forest
145,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
146,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
147,NULL,Water,Grassland,Water,Non_Wetland,Water
148,NULL,Water,Grassland,Water,Non_Wetland,Forest
149,NULL,Water,Cropland,NULL,Non_Wetland,Water
150,NULL,Water,Cropland,NULL,Non_Wetland,Forest
151,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
152,NULL,Water,Wetland,NULL,Wetland,NULL
153,NULL,Water,Wetland,NULL,Wetland,Grassland
154,NULL,Water,Wetland,NULL,Wetland,Wetland
155,NULL,Water,Wetland,NULL,Wetland,Bareland
156,NULL,Water,Wetland,NULL,Wetland,Water
157,NULL,Water,Wetland,NULL,Wetland,Forest
158,NULL,Water,Wetland,Non_Water,Wetland,Grassland
159,NULL,Water,Wetland,Non_Water,Wetland,Wetland
160,NULL,Water,Wetland,Non_Water,Wetland,Bareland
161,NULL,Water,Wetland,Non_Water,Wetland,Water
162,NULL,Water,Wetland,Non_Water,Wetland,Forest
163,NULL,Water,Wetland,Water,Wetland,NULL
164,NULL,Water,Wetland,Water,Wetland,Grassland
165,NULL,Water,Wetland,Water,Wetland,Wetland
166,NULL,Water,Wetland,Water,Wetland,Bareland
167,NULL,Water,Wetland,Water,Wetland,Water
168,NULL,Water,Wetland,Water,Wetland,Forest
169,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
170,NULL,Water,Bareland,NULL,Non_Wetland,NULL
171,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
172,NULL,Water,Bareland,NULL,Non_Wetland,Water
173,NULL,Water,Bareland,NULL,Non_Wetland,Forest
174,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
175,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
176,NULL,Water,Bareland,Water,Non_Wetland,Water
177,NULL,Water,Bareland,Water,Non_Wetland,Forest
178,NULL,Water,Built-up,NULL,Non_Wetland,NULL
179,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Water,Built-up,NULL,Non_Wetland,Water
182,NULL,Water,Built-up,NULL,Non_Wetland,Forest
183,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
184,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
185,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
186,NULL,Water,Built-up,Water,Non_Wetland,NULL
187,NULL,Water,Built-up,Water,Non_Wetland,Bareland
188,NULL,Water,Built-up,Water,Non_Wetland,Water
189,NULL,Water,Built-up,Water,Non_Wetland,Forest
190,NULL,Water,Water,NULL,Water,NULL
191,NULL,Water,Water,NULL,Water,Grassland
192,NULL,Water,Water,NULL,Water,Wetland
193,NULL,Water,Water,NULL,Water,Bareland
194,NULL,Water,Water,NULL,Water,Water
195,NULL,Water,Water,NULL,Water,Forest
196,NULL,Water,Water,Non_Water,Water,Grassland
197,NULL,Water,Water,Non_Water,Water,Wetland
198,NULL,Water,Water,Non_Water,Water,Bareland
199,NULL,Water,Water,Non_Water,Water,Water
200,NULL,Water,Water,Non_Water,Water,Forest
201,NULL,Water,Water,Water,Water,NULL
202,NULL,Water,Water,Water,Water,Grassland
203,NULL,Water,Water,Water,Water,Wetland
204,NULL,Water,Water,Water,Water,Bareland
205,NULL,Water,Water,Water,Water,Water
206,NULL,Water,Water,Water,Water,Forest
207,NULL,Water,Forest,NULL,Non_Wetland,NULL
208,NULL,Water,Forest,NULL,Non_Wetland,Grassland
209,NULL,Water,Forest,NULL,Non_Wetland,Bareland
210,NULL,Water,Forest,NULL,Non_Wetland,Water
211,NULL,Water,Forest,NULL,Non_Wetland,Forest
212,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
213,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
214,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
215,NULL,Water,Forest,Non_Water,Non_Wetland,Water
216,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
217,NULL,Water,Forest,Water,Non_Wetland,NULL
218,NULL,Water,Forest,Water,Non_Wetland,Grassland
219,NULL,Water,Forest,Water,Non_Wetland,Wetland
220,NULL,Water,Forest,Water,Non_Wetland,Bareland
221,NULL,Water,Forest,Water,Non_Wetland,Water
222,NULL,Water,Forest,Water,Non_Wetland,Forest
223,NULL,Forest,NULL,NULL,Non_Wetland,NULL
224,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
225,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
226,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
227,NULL,Forest,NULL,NULL,Non_Wetland,Forest
228,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
229,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
230,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
231,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
234,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
235,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
236,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
237,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
238,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
239,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
240,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
241,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
242,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
243,NULL,Forest,Cropland,Water,Non_Wetland,Forest
244,NULL,Forest,Wetland,NULL,Wetland,NULL
245,NULL,Forest,Wetland,NULL,Wetland,Grassland
246,NULL,Forest,Wetland,NULL,Wetland,Water
247,NULL,Forest,Wetland,NULL,Wetland,Forest
248,NULL,Forest,Wetland,Non_Water,Wetland,NULL
249,NULL,Forest,Wetland,Non_Water,Wetland,Water
250,NULL,Forest,Wetland,Non_Water,Wetland,Forest
251,NULL,Forest,Wetland,Water,Wetland,NULL
252,NULL,Forest,Wetland,Water,Wetland,Grassland
253,NULL,Forest,Wetland,Water,Wetland,Water
254,NULL,Forest,Wetland,Water,Wetland,Forest
255,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
256,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
258,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
259,NULL,Forest,Bareland,Water,Non_Wetland,Forest
260,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
261,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
262,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
263,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
264,NULL,Forest,Water,NULL,Water,NULL
265,NULL,Forest,Water,NULL,Water,Forest
266,NULL,Forest,Water,Non_Water,Water,NULL
267,NULL,Forest,Water,Non_Water,Water,Forest
268,NULL,Forest,Water,Water,Water,Water
269,NULL,Forest,Water,Water,Water,Forest
270,NULL,Forest,Forest,NULL,Non_Wetland,NULL
271,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
272,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
273,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
274,NULL,Forest,Forest,NULL,Non_Wetland,Water
275,NULL,Forest,Forest,NULL,Non_Wetland,Forest
276,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
277,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
278,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
279,NULL,Forest,Forest,Water,Non_Wetland,Grassland
280,NULL,Forest,Forest,Water,Non_Wetland,Water
281,NULL,Forest,Forest,Water,Non_Wetland,Forest
282,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
284,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
285,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Wetland,NULL,Wetland,Grassland
287,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
288,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
289,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
290,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
291,Grassland,Water,Wetland,Non_Water,Wetland,Forest
292,Grassland,Water,Water,Water,Water,Forest
293,Grassland,Forest,Wetland,NULL,Wetland,Grassland
294,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
295,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
296,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
297,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
298,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
299,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
300,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
301,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
302,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
303,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
304,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
305,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
306,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
307,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
308,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
309,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
310,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
311,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
312,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
313,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
314,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
315,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
316,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
317,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
318,Wetland,Water,Wetland,NULL,Wetland,Forest
319,Wetland,Water,Wetland,Water,Wetland,Water
320,Wetland,Water,Water,NULL,Water,Forest
321,Wetland,Forest,Wetland,NULL,Wetland,Forest
322,Water,NULL,NULL,NULL,Non_Wetland,NULL
323,Water,NULL,NULL,NULL,Non_Wetland,Grassland
324,Water,NULL,NULL,NULL,Non_Wetland,Forest
325,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
326,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
327,Water,NULL,Cropland,NULL,Non_Wetland,NULL
328,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
329,Water,NULL,Cropland,NULL,Non_Wetland,Forest
330,Water,NULL,Wetland,NULL,Wetland,Grassland
331,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
332,Water,NULL,Built-up,NULL,Non_Wetland,Built-up
333,Water,NULL,Built-up,NULL,Non_Wetland,Forest
334,Water,NULL,Forest,NULL,Non_Wetland,NULL
335,Water,NULL,Forest,NULL,Non_Wetland,Grassland
336,Water,NULL,Forest,NULL,Non_Wetland,Built-up
337,Water,NULL,Forest,NULL,Non_Wetland,Forest
338,Water,Cropland,Forest,NULL,Non_Wetland,NULL
339,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
340,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
341,Water,Water,Shrubland,NULL,Non_Wetland,Water
342,Water,Water,Shrubland,NULL,Non_Wetland,Forest
343,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
344,Water,Water,Shrubland,Water,Non_Wetland,Bareland
345,Water,Water,Shrubland,Water,Non_Wetland,Water
346,Water,Water,Grassland,NULL,Non_Wetland,Forest
347,Water,Water,Wetland,NULL,Wetland,Grassland
348,Water,Water,Wetland,NULL,Wetland,Wetland
349,Water,Water,Wetland,NULL,Wetland,Bareland
350,Water,Water,Wetland,NULL,Wetland,Water
351,Water,Water,Wetland,NULL,Wetland,Forest
352,Water,Water,Wetland,Non_Water,Wetland,Wetland
353,Water,Water,Wetland,Non_Water,Wetland,Bareland
354,Water,Water,Wetland,Non_Water,Wetland,Water
355,Water,Water,Wetland,Non_Water,Wetland,Forest
356,Water,Water,Wetland,Water,Wetland,Bareland
357,Water,Water,Wetland,Water,Wetland,Water
358,Water,Water,Wetland,Water,Wetland,Forest
359,Water,Water,Built-up,NULL,Non_Wetland,Water
360,Water,Water,Built-up,Water,Non_Wetland,Water
361,Water,Water,Water,NULL,Water,Grassland
362,Water,Water,Water,NULL,Water,Bareland
363,Water,Water,Water,NULL,Water,Water
364,Water,Water,Water,NULL,Water,Forest
365,Water,Water,Water,Non_Water,Water,Water
366,Water,Water,Water,Water,Water,Grassland
367,Water,Water,Water,Water,Water,Wetland
368,Water,Water,Water,Water,Water,Bareland
369,Water,Water,Water,Water,Water,Water
370,Water,Water,Water,Water,Water,Forest
371,Water,Water,Forest,NULL,Non_Wetland,Grassland
372,Water,Water,Forest,NULL,Non_Wetland,Bareland
373,Water,Water,Forest,NULL,Non_Wetland,Water
374,Water,Water,Forest,NULL,Non_Wetland,Forest
375,Water,Water,Forest,Non_Water,Non_Wetland,Water
376,Water,Water,Forest,Non_Water,Non_Wetland,Forest
377,Water,Water,Forest,Water,Non_Wetland,Water
378,Water,Water,Forest,Water,Non_Wetland,Forest
379,Water,Forest,NULL,NULL,Non_Wetland,NULL
380,Water,Forest,NULL,NULL,Non_Wetland,Grassland
381,Water,Forest,NULL,NULL,Non_Wetland,Forest
382,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
383,Water,Forest,Cropland,NULL,Non_Wetland,NULL
384,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
385,Water,Forest,Cropland,NULL,Non_Wetland,Forest
386,Water,Forest,Wetland,NULL,Wetland,Forest
387,Water,Forest,Built-up,NULL,Non_Wetland,Forest
388,Water,Forest,Forest,NULL,Non_Wetland,NULL
389,Water,Forest,Forest,NULL,Non_Wetland,Grassland
390,Water,Forest,Forest,NULL,Non_Wetland,Built-up
391,Water,Forest,Forest,NULL,Non_Wetland,Forest
392,Forest,NULL,NULL,NULL,Non_Wetland,NULL
393,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
394,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
395,Forest,NULL,NULL,NULL,Non_Wetland,Forest
396,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
397,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
398,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
399,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
400,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
401,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
402,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
403,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
404,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
405,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
406,Forest,NULL,Wetland,NULL,Wetland,Grassland
407,Forest,NULL,Wetland,NULL,Wetland,Forest
408,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
409,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
410,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
411,Forest,NULL,Forest,NULL,Non_Wetland,NULL
412,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
413,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
414,Forest,NULL,Forest,NULL,Non_Wetland,Forest
415,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
416,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
417,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
418,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
419,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
420,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
421,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
422,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
423,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
424,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
425,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
426,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
427,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
428,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
429,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
430,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
431,Forest,Water,NULL,NULL,Non_Wetland,Forest
432,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
433,Forest,Water,Shrubland,NULL,Non_Wetland,Built-up
434,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
435,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
436,Forest,Water,Grassland,NULL,Non_Wetland,Forest
437,Forest,Water,Wetland,NULL,Wetland,Grassland
438,Forest,Water,Wetland,NULL,Wetland,Wetland
439,Forest,Water,Wetland,NULL,Wetland,Bareland
440,Forest,Water,Wetland,NULL,Wetland,Water
441,Forest,Water,Wetland,NULL,Wetland,Forest
442,Forest,Water,Wetland,Non_Water,Wetland,Forest
443,Forest,Water,Wetland,Water,Wetland,Water
444,Forest,Water,Wetland,Water,Wetland,Forest
445,Forest,Water,Water,NULL,Water,Water
446,Forest,Water,Water,NULL,Water,Forest
447,Forest,Water,Water,Non_Water,Water,Water
448,Forest,Water,Water,Water,Water,Bareland
449,Forest,Water,Water,Water,Water,Water
450,Forest,Water,Water,Water,Water,Forest
451,Forest,Water,Forest,NULL,Non_Wetland,Grassland
452,Forest,Water,Forest,NULL,Non_Wetland,Water
453,Forest,Water,Forest,NULL,Non_Wetland,Forest
454,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
455,Forest,Water,Forest,Water,Non_Wetland,Water
456,Forest,Water,Forest,Water,Non_Wetland,Forest
457,Forest,Forest,NULL,NULL,Non_Wetland,NULL
