Value,AFRICA_2024_DynamicWorld_2024_38NKL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKL_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKL_M_R,AFRICA_2024_GSW_Yearly_2021_38NKL_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKL_M_R,AFRICA_2024_WorldCover_2021_38NKL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Grassland,Water,Non_Wetland,NULL
23,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Wetland,NULL,Wetland,NULL
31,NULL,NULL,Wetland,Water,Wetland,Bareland
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
41,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
46,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
47,NULL,NULL,Water,NULL,Water,Bareland
48,NULL,NULL,Water,Water,Water,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,Forest
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
53,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
54,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
55,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
56,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
58,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
59,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
61,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
62,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
63,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
64,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
65,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
66,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
67,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
68,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
69,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
70,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
71,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
72,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
76,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
77,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
79,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
80,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
81,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
82,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
83,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
89,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
91,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
92,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
93,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
94,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
97,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
98,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
99,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
101,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
102,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
103,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
104,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
105,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
106,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
107,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
108,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
109,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
110,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
112,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
113,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
114,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
115,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Water,Grassland,NULL,Non_Wetland,NULL
117,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
118,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
