Value,AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,AFRICA_2024_WorldCover_2021_36PYQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Cropland
31,NULL,NULL,Wetland,NULL,Wetland,Forest
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
35,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
40,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
41,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
42,NULL,NULL,Bareland,Water,Non_Wetland,Water
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
44,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
47,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
48,NULL,NULL,Water,NULL,Water,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
52,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Forest,Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Water,Non_Wetland,Cropland
60,NULL,NULL,Forest,Water,Non_Wetland,Water
61,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
62,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
63,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
65,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
78,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
83,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
84,NULL,Cropland,Wetland,NULL,Wetland,Grassland
85,NULL,Cropland,Wetland,NULL,Wetland,Forest
86,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
93,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
99,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
100,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
105,NULL,Cropland,Forest,NULL,Non_Wetland,Water
106,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
107,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
108,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
110,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
114,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
