Value,AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,AFRICA_2024_WorldCover_2021_37PBQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Water,Non_Wetland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
54,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
55,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
56,NULL,NULL,Bareland,Water,Non_Wetland,Forest
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Water,NULL,Water,Grassland
64,NULL,NULL,Water,NULL,Water,Forest
65,NULL,NULL,Water,Water,Water,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
69,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
70,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
71,NULL,NULL,Forest,NULL,Non_Wetland,Forest
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
74,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
76,NULL,NULL,Forest,Water,Non_Wetland,NULL
77,NULL,NULL,Forest,Water,Non_Wetland,Grassland
78,NULL,NULL,Forest,Water,Non_Wetland,Forest
79,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
80,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
83,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
108,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
113,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
