Value,AFRICA_2024_DynamicWorld_2024_36PZV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZV_M_R,AFRICA_2024_GSW_Yearly_2021_36PZV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZV_M_R,AFRICA_2024_WorldCover_2021_36PZV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,Water,Wetland,Grassland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Forest
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Water,NULL,Water,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
82,NULL,NULL,Forest,Water,Non_Wetland,Cropland
83,NULL,NULL,Forest,Water,Non_Wetland,Forest
84,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
85,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
97,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
104,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
105,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
112,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
113,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
114,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
115,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
117,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
118,NULL,Cropland,Wetland,NULL,Wetland,Grassland
