Value,AFRICA_2024_DynamicWorld_2024_35PQK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQK_M_R,AFRICA_2024_GSW_Yearly_2021_35PQK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQK_M_R,AFRICA_2024_WorldCover_2021_35PQK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
45,NULL,NULL,Wetland,NULL,Wetland,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,Built-up
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,NULL,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,Water,Wetland,Wetland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
71,NULL,NULL,Water,NULL,Water,Wetland
72,NULL,NULL,Water,Non_Water,Water,Wetland
73,NULL,NULL,Water,Water,Water,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
82,NULL,NULL,Forest,Water,Non_Wetland,Grassland
83,NULL,NULL,Forest,Water,Non_Wetland,Wetland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
86,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
96,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
104,NULL,Cropland,Wetland,NULL,Wetland,Grassland
105,NULL,Cropland,Wetland,NULL,Wetland,Wetland
106,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
107,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
108,NULL,Cropland,Wetland,Water,Wetland,Wetland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
110,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
111,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
113,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
114,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
115,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
116,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
117,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
118,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
119,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
120,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
