Value,AFRICA_2024_DynamicWorld_2024_38PLU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLU_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLU_M_R,AFRICA_2024_GSW_Yearly_2021_38PLU_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLU_M_R,AFRICA_2024_WorldCover_2021_38PLU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Water,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
50,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,NULL,Wetland,NULL,NULL,NULL
52,NULL,NULL,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,NULL,NULL,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Cropland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,NULL,Wetland,Non_Water,NULL,NULL
60,NULL,NULL,Wetland,Non_Water,NULL,Wetland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,NULL,Wetland,Water,NULL,NULL
65,NULL,NULL,Wetland,Water,NULL,Wetland
66,NULL,NULL,Wetland,Water,NULL,Bareland
67,NULL,NULL,Wetland,Water,Wetland,NULL
68,NULL,NULL,Wetland,Water,Wetland,Wetland
69,NULL,NULL,Wetland,Water,Wetland,Bareland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
83,NULL,NULL,Bareland,NULL,Non_Wetland,Water
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL
90,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
91,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
92,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
94,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
95,NULL,NULL,Bareland,Water,Non_Wetland,Water
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
105,NULL,NULL,Built-up,Water,Non_Wetland,NULL
106,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
107,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
108,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
109,NULL,NULL,Water,NULL,NULL,NULL
110,NULL,NULL,Water,NULL,NULL,Water
111,NULL,NULL,Water,NULL,Water,Bareland
112,NULL,NULL,Water,Water,NULL,NULL
113,NULL,NULL,Water,Water,NULL,Bareland
114,NULL,NULL,Water,Water,NULL,Water
115,NULL,NULL,Water,Water,Water,Bareland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
120,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
