Value,AFRICA_2024_DynamicWorld_2024_36NZK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,AFRICA_2024_WorldCover_2021_36NZK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,Water,Non_Wetland,NULL
20,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Wetland,NULL,Wetland,NULL
27,NULL,NULL,Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
30,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Bareland,Water,Non_Wetland,NULL
40,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
41,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
46,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
47,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
50,NULL,NULL,Water,NULL,Water,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Forest
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
58,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
61,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
62,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
63,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
64,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
65,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
66,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
67,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
68,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
69,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
71,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
72,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
73,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
74,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
75,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
76,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
77,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
78,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
79,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
80,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
81,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
82,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
84,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
85,NULL,Wetland,Wetland,NULL,Wetland,Wetland
86,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
87,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
91,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
92,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
93,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
95,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
96,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
98,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
99,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
101,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
102,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
103,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
105,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
106,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
