Value,AFRICA_2024_DynamicWorld_2024_36QZD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QZD_M_R,AFRICA_2024_WorldCover_2021_36QZD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Wetland,NULL,Wetland,Cropland
43,NULL,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,NULL,Wetland,Water,Wetland,Cropland
45,NULL,NULL,Wetland,Water,Wetland,Bareland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
52,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
65,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
75,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
79,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
82,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
97,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
113,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
