Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,SIBERIA_2024_WorldCover_2021_44WNA_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,Grassland,NULL,Non_Wetland,Water
42,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,Grassland,Non_Water,Non_Wetland,Grassland
44,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
46,NULL,Grassland,Non_Water,Non_Wetland,Bareland
47,NULL,Grassland,Non_Water,Non_Wetland,Water
48,NULL,Grassland,Non_Water,Non_Wetland,Forest
49,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,Grassland,Water,Non_Wetland,Wetland
51,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
52,NULL,Grassland,Water,Non_Wetland,Bareland
53,NULL,Grassland,Water,Non_Wetland,Water
54,NULL,Grassland,Water,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Water,Wetland,Bareland
71,NULL,Wetland,Water,Wetland,Water
72,NULL,Wetland,Water,Wetland,Forest
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
92,NULL,Bareland,NULL,Non_Wetland,Grassland
93,NULL,Bareland,NULL,Non_Wetland,Wetland
94,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Bareland,NULL,Non_Wetland,Bareland
96,NULL,Bareland,NULL,Non_Wetland,Built-up
97,NULL,Bareland,NULL,Non_Wetland,Water
98,NULL,Bareland,NULL,Non_Wetland,Forest
99,NULL,Bareland,Non_Water,Non_Wetland,Grassland
100,NULL,Bareland,Non_Water,Non_Wetland,Wetland
101,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Bareland,Non_Water,Non_Wetland,Bareland
103,NULL,Bareland,Non_Water,Non_Wetland,Water
104,NULL,Bareland,Non_Water,Non_Wetland,Forest
105,NULL,Bareland,Water,Non_Wetland,Grassland
106,NULL,Bareland,Water,Non_Wetland,Wetland
107,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
108,NULL,Bareland,Water,Non_Wetland,Bareland
109,NULL,Bareland,Water,Non_Wetland,Water
110,NULL,Bareland,Water,Non_Wetland,Forest
111,NULL,Built-up,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,Built-up,NULL,Non_Wetland,Bareland
115,NULL,Built-up,NULL,Non_Wetland,Built-up
116,NULL,Built-up,NULL,Non_Wetland,Water
117,NULL,Built-up,NULL,Non_Wetland,Forest
118,NULL,Built-up,Non_Water,Non_Wetland,Grassland
119,NULL,Built-up,Non_Water,Non_Wetland,Wetland
120,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Built-up,Non_Water,Non_Wetland,Bareland
122,NULL,Built-up,Non_Water,Non_Wetland,Water
123,NULL,Built-up,Non_Water,Non_Wetland,Forest
124,NULL,Built-up,Water,Non_Wetland,Grassland
125,NULL,Built-up,Water,Non_Wetland,Wetland
126,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
127,NULL,Built-up,Water,Non_Wetland,Bareland
128,NULL,Built-up,Water,Non_Wetland,Water
129,NULL,Built-up,Water,Non_Wetland,Forest
130,NULL,Water,NULL,Water,Grassland
131,NULL,Water,NULL,Water,Wetland
132,NULL,Water,NULL,Water,Lichens_and_Mosses
133,NULL,Water,NULL,Water,Bareland
134,NULL,Water,NULL,Water,Water
135,NULL,Water,NULL,Water,Forest
136,NULL,Water,Non_Water,Water,Grassland
137,NULL,Water,Non_Water,Water,Wetland
138,NULL,Water,Non_Water,Water,Lichens_and_Mosses
139,NULL,Water,Non_Water,Water,Bareland
140,NULL,Water,Non_Water,Water,Water
141,NULL,Water,Non_Water,Water,Forest
142,NULL,Water,Water,Water,Grassland
143,NULL,Water,Water,Water,Wetland
144,NULL,Water,Water,Water,Lichens_and_Mosses
145,NULL,Water,Water,Water,Bareland
146,NULL,Water,Water,Water,Water
147,NULL,Water,Water,Water,Forest
148,NULL,Forest,NULL,Non_Wetland,Grassland
149,NULL,Forest,NULL,Non_Wetland,Wetland
150,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,NULL,Non_Wetland,Bareland
152,NULL,Forest,NULL,Non_Wetland,Built-up
153,NULL,Forest,NULL,Non_Wetland,Water
154,NULL,Forest,NULL,Non_Wetland,Forest
155,NULL,Forest,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Non_Water,Non_Wetland,Wetland
157,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Forest,Non_Water,Non_Wetland,Bareland
159,NULL,Forest,Non_Water,Non_Wetland,Water
160,NULL,Forest,Non_Water,Non_Wetland,Forest
161,NULL,Forest,Water,Non_Wetland,Grassland
162,NULL,Forest,Water,Non_Wetland,Wetland
163,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
164,NULL,Forest,Water,Non_Wetland,Bareland
165,NULL,Forest,Water,Non_Wetland,Water
166,NULL,Forest,Water,Non_Wetland,Forest
167,Wetland,NULL,NULL,Non_Wetland,Grassland
168,Wetland,NULL,NULL,Non_Wetland,Wetland
