Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXU_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXU_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXU_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXU_M_R,SIBERIA_2024_WorldCover_2021_42WXU_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Water,Non_Wetland,Wetland
6,NULL,NULL,Water,Non_Wetland,Forest
7,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,Shrubland,Water,Non_Wetland,Wetland
16,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,Grassland,NULL,Non_Wetland,Wetland
19,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,Grassland,Non_Water,Non_Wetland,Water
27,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,Grassland,Water,Non_Wetland,Wetland
30,NULL,Grassland,Water,Non_Wetland,Bareland
31,NULL,Grassland,Water,Non_Wetland,Water
32,NULL,Grassland,Water,Non_Wetland,Forest
33,NULL,Wetland,NULL,NULL,Wetland
34,NULL,Wetland,NULL,Wetland,NULL
35,NULL,Wetland,NULL,Wetland,Grassland
36,NULL,Wetland,NULL,Wetland,Wetland
37,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
38,NULL,Wetland,NULL,Wetland,Bareland
39,NULL,Wetland,NULL,Wetland,Water
40,NULL,Wetland,NULL,Wetland,Forest
41,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,Wetland,Non_Water,Wetland,Wetland
43,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
44,NULL,Wetland,Non_Water,Wetland,Bareland
45,NULL,Wetland,Non_Water,Wetland,Water
46,NULL,Wetland,Non_Water,Wetland,Forest
47,NULL,Wetland,Water,NULL,Grassland
48,NULL,Wetland,Water,NULL,Water
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
52,NULL,Wetland,Water,Wetland,Bareland
53,NULL,Wetland,Water,Wetland,Water
54,NULL,Wetland,Water,Wetland,Forest
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
63,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
64,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
65,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
66,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
67,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
69,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
75,NULL,Bareland,NULL,Non_Wetland,NULL
76,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,Bareland,NULL,Non_Wetland,Wetland
78,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,Bareland,NULL,Non_Wetland,Built-up
81,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,Bareland,Non_Water,Non_Wetland,Wetland
85,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,Bareland,Non_Water,Non_Wetland,Water
88,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,Bareland,Water,Non_Wetland,Wetland
91,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,Non_Wetland,Wetland
97,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Water,NULL,NULL,NULL
104,NULL,Water,NULL,NULL,Water
105,NULL,Water,NULL,Water,Grassland
106,NULL,Water,NULL,Water,Wetland
107,NULL,Water,NULL,Water,Lichens_and_Mosses
108,NULL,Water,NULL,Water,Water
109,NULL,Water,NULL,Water,Forest
110,NULL,Water,Non_Water,Water,Grassland
111,NULL,Water,Non_Water,Water,Wetland
112,NULL,Water,Non_Water,Water,Lichens_and_Mosses
113,NULL,Water,Non_Water,Water,Water
114,NULL,Water,Non_Water,Water,Forest
115,NULL,Water,Water,NULL,Water
116,NULL,Water,Water,Water,Grassland
117,NULL,Water,Water,Water,Wetland
118,NULL,Water,Water,Water,Bareland
119,NULL,Water,Water,Water,Water
120,NULL,Water,Water,Water,Forest
121,NULL,Forest,NULL,Non_Wetland,NULL
122,NULL,Forest,NULL,Non_Wetland,Grassland
123,NULL,Forest,NULL,Non_Wetland,Wetland
124,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,Forest,NULL,Non_Wetland,Bareland
126,NULL,Forest,NULL,Non_Wetland,Built-up
127,NULL,Forest,NULL,Non_Wetland,Water
128,NULL,Forest,NULL,Non_Wetland,Forest
129,NULL,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,Forest,Non_Water,Non_Wetland,Wetland
131,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,Forest,Non_Water,Non_Wetland,Bareland
133,NULL,Forest,Non_Water,Non_Wetland,Water
134,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,Forest,Water,Non_Wetland,Grassland
136,NULL,Forest,Water,Non_Wetland,Wetland
137,NULL,Forest,Water,Non_Wetland,Bareland
138,NULL,Forest,Water,Non_Wetland,Water
139,NULL,Forest,Water,Non_Wetland,Forest
140,Cropland,Shrubland,NULL,Non_Wetland,Grassland
141,Cropland,Shrubland,NULL,Non_Wetland,Wetland
142,Cropland,Grassland,NULL,Non_Wetland,Grassland
143,Cropland,Grassland,NULL,Non_Wetland,Wetland
144,Cropland,Wetland,NULL,Wetland,Grassland
145,Cropland,Wetland,NULL,Wetland,Wetland
146,Cropland,Wetland,NULL,Wetland,Forest
147,Cropland,Wetland,Non_Water,Wetland,Grassland
148,Cropland,Wetland,Non_Water,Wetland,Wetland
149,Cropland,Wetland,Water,Wetland,Wetland
150,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
151,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
152,Cropland,Bareland,NULL,Non_Wetland,Grassland
153,Cropland,Bareland,NULL,Non_Wetland,Wetland
154,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
155,Cropland,Bareland,NULL,Non_Wetland,Forest
156,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
157,Cropland,Forest,NULL,Non_Wetland,Grassland
158,Cropland,Forest,NULL,Non_Wetland,Wetland
159,Cropland,Forest,NULL,Non_Wetland,Forest
160,Wetland,NULL,NULL,Non_Wetland,Grassland
161,Wetland,NULL,NULL,Non_Wetland,Wetland
162,Wetland,NULL,NULL,Non_Wetland,Water
163,Wetland,NULL,NULL,Non_Wetland,Forest
164,Wetland,NULL,Non_Water,Non_Wetland,Wetland
165,Wetland,NULL,Non_Water,Non_Wetland,Water
166,Wetland,NULL,Non_Water,Non_Wetland,Forest
167,Wetland,NULL,Water,Non_Wetland,Grassland
168,Wetland,NULL,Water,Non_Wetland,Wetland
169,Wetland,NULL,Water,Non_Wetland,Water
170,Wetland,NULL,Water,Non_Wetland,Forest
