Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFT_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFT_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFT_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFT_M_R,SIBERIA_2024_WorldCover_2021_43WFT_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Water
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,Non_Water,Non_Wetland,Bareland
44,NULL,Grassland,Non_Water,Non_Wetland,Water
45,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
49,NULL,Grassland,Water,Non_Wetland,Bareland
50,NULL,Grassland,Water,Non_Wetland,Water
51,NULL,Grassland,Water,Non_Wetland,Forest
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
55,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,Wetland,NULL,Wetland,Water
57,NULL,Wetland,NULL,Wetland,Forest
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Non_Water,Wetland,Bareland
62,NULL,Wetland,Non_Water,Wetland,Water
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Bareland,NULL,Non_Wetland,Water
91,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,Bareland,Non_Water,Non_Wetland,Wetland
94,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Bareland,Non_Water,Non_Wetland,Bareland
96,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,Built-up,NULL,Non_Wetland,Bareland
108,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,Built-up,Non_Water,Non_Wetland,Water
115,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,Built-up,Water,Non_Wetland,Wetland
117,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Water,Non_Wetland,Bareland
119,NULL,Built-up,Water,Non_Wetland,Water
120,NULL,Water,NULL,Water,Grassland
121,NULL,Water,NULL,Water,Wetland
122,NULL,Water,NULL,Water,Lichens_and_Mosses
123,NULL,Water,NULL,Water,Bareland
124,NULL,Water,NULL,Water,Water
125,NULL,Water,NULL,Water,Forest
126,NULL,Water,Non_Water,Water,Grassland
127,NULL,Water,Non_Water,Water,Wetland
128,NULL,Water,Non_Water,Water,Lichens_and_Mosses
129,NULL,Water,Non_Water,Water,Bareland
130,NULL,Water,Non_Water,Water,Water
131,NULL,Water,Non_Water,Water,Forest
132,NULL,Water,Water,Water,Grassland
133,NULL,Water,Water,Water,Wetland
134,NULL,Water,Water,Water,Lichens_and_Mosses
135,NULL,Water,Water,Water,Bareland
136,NULL,Water,Water,Water,Water
137,NULL,Water,Water,Water,Forest
138,NULL,Forest,NULL,Non_Wetland,Grassland
139,NULL,Forest,NULL,Non_Wetland,Wetland
140,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
141,NULL,Forest,NULL,Non_Wetland,Bareland
142,NULL,Forest,NULL,Non_Wetland,Water
143,NULL,Forest,NULL,Non_Wetland,Forest
144,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Non_Water,Non_Wetland,Wetland
146,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
147,NULL,Forest,Non_Water,Non_Wetland,Bareland
148,NULL,Forest,Non_Water,Non_Wetland,Water
149,NULL,Forest,Non_Water,Non_Wetland,Forest
150,NULL,Forest,Water,Non_Wetland,Grassland
151,NULL,Forest,Water,Non_Wetland,Wetland
152,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Forest,Water,Non_Wetland,Bareland
154,NULL,Forest,Water,Non_Wetland,Water
155,NULL,Forest,Water,Non_Wetland,Forest
156,Wetland,NULL,NULL,Non_Wetland,Grassland
157,Wetland,NULL,NULL,Non_Wetland,Wetland
158,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
159,Wetland,NULL,NULL,Non_Wetland,Bareland
160,Wetland,NULL,NULL,Non_Wetland,Water
161,Wetland,NULL,NULL,Non_Wetland,Forest
162,Wetland,NULL,Non_Water,Non_Wetland,Grassland
163,Wetland,NULL,Non_Water,Non_Wetland,Wetland
164,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
165,Wetland,NULL,Non_Water,Non_Wetland,Water
166,Wetland,NULL,Non_Water,Non_Wetland,Forest
167,Wetland,NULL,Water,Non_Wetland,Grassland
168,Wetland,NULL,Water,Non_Wetland,Wetland
