Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUJ_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUJ_M_R,SIBERIA_2024_WorldCover_2021_45VUJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,Non_Water,Non_Wetland,Forest
39,NULL,Cropland,Water,Non_Wetland,Water
40,NULL,Cropland,Water,Non_Wetland,Forest
41,NULL,Wetland,NULL,Wetland,NULL
42,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
45,NULL,Wetland,NULL,Wetland,Bareland
46,NULL,Wetland,NULL,Wetland,Water
47,NULL,Wetland,NULL,Wetland,Forest
48,NULL,Wetland,Non_Water,Wetland,NULL
49,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,Wetland,Non_Water,Wetland,Water
52,NULL,Wetland,Non_Water,Wetland,Forest
53,NULL,Wetland,Water,Wetland,NULL
54,NULL,Wetland,Water,Wetland,Grassland
55,NULL,Wetland,Water,Wetland,Wetland
56,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
57,NULL,Wetland,Water,Wetland,Bareland
58,NULL,Wetland,Water,Wetland,Water
59,NULL,Wetland,Water,Wetland,Forest
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
64,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,Bareland,NULL,Non_Wetland,Wetland
67,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
68,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,Bareland,NULL,Non_Wetland,Built-up
70,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,Bareland,Non_Water,Non_Wetland,NULL
73,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,Bareland,Non_Water,Non_Wetland,Wetland
75,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,Bareland,Non_Water,Non_Wetland,Forest
78,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,Bareland,Water,Non_Wetland,Wetland
80,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,Bareland,Water,Non_Wetland,Forest
84,NULL,Built-up,NULL,Non_Wetland,NULL
85,NULL,Built-up,NULL,Non_Wetland,Grassland
86,NULL,Built-up,NULL,Non_Wetland,Wetland
87,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,Built-up,NULL,Non_Wetland,Built-up
90,NULL,Built-up,NULL,Non_Wetland,Water
91,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,Built-up,Non_Water,Non_Wetland,Wetland
93,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Built-up,Non_Water,Non_Wetland,Forest
95,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,Built-up,Water,Non_Wetland,Wetland
97,NULL,Built-up,Water,Non_Wetland,Bareland
98,NULL,Built-up,Water,Non_Wetland,Forest
99,NULL,Water,NULL,Water,NULL
100,NULL,Water,NULL,Water,Grassland
101,NULL,Water,NULL,Water,Wetland
102,NULL,Water,NULL,Water,Bareland
103,NULL,Water,NULL,Water,Water
104,NULL,Water,NULL,Water,Forest
105,NULL,Water,Non_Water,Water,Grassland
106,NULL,Water,Non_Water,Water,Wetland
107,NULL,Water,Non_Water,Water,Water
108,NULL,Water,Non_Water,Water,Forest
109,NULL,Water,Water,Water,NULL
110,NULL,Water,Water,Water,Grassland
111,NULL,Water,Water,Water,Wetland
112,NULL,Water,Water,Water,Bareland
113,NULL,Water,Water,Water,Water
114,NULL,Water,Water,Water,Forest
115,NULL,Forest,NULL,Non_Wetland,NULL
116,NULL,Forest,NULL,Non_Wetland,Grassland
117,NULL,Forest,NULL,Non_Wetland,Wetland
118,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
119,NULL,Forest,NULL,Non_Wetland,Bareland
120,NULL,Forest,NULL,Non_Wetland,Water
121,NULL,Forest,NULL,Non_Wetland,Forest
122,NULL,Forest,Non_Water,Non_Wetland,NULL
123,NULL,Forest,Non_Water,Non_Wetland,Grassland
124,NULL,Forest,Non_Water,Non_Wetland,Wetland
125,NULL,Forest,Non_Water,Non_Wetland,Water
126,NULL,Forest,Non_Water,Non_Wetland,Forest
127,NULL,Forest,Water,Non_Wetland,NULL
128,NULL,Forest,Water,Non_Wetland,Grassland
129,NULL,Forest,Water,Non_Wetland,Wetland
130,NULL,Forest,Water,Non_Wetland,Water
131,NULL,Forest,Water,Non_Wetland,Forest
132,Cropland,NULL,NULL,Non_Wetland,NULL
133,Cropland,NULL,NULL,Non_Wetland,Wetland
134,Cropland,NULL,NULL,Non_Wetland,Forest
135,Cropland,Shrubland,NULL,Non_Wetland,NULL
136,Cropland,Shrubland,NULL,Non_Wetland,Grassland
137,Cropland,Shrubland,NULL,Non_Wetland,Wetland
138,Cropland,Shrubland,NULL,Non_Wetland,Forest
139,Cropland,Grassland,NULL,Non_Wetland,Forest
140,Cropland,Wetland,NULL,Wetland,NULL
141,Cropland,Wetland,NULL,Wetland,Grassland
142,Cropland,Wetland,NULL,Wetland,Wetland
143,Cropland,Wetland,NULL,Wetland,Forest
144,Cropland,Wetland,Non_Water,Wetland,Wetland
145,Cropland,Wetland,Non_Water,Wetland,Forest
146,Cropland,Bareland,NULL,Non_Wetland,NULL
147,Cropland,Bareland,NULL,Non_Wetland,Grassland
148,Cropland,Bareland,NULL,Non_Wetland,Wetland
149,Cropland,Bareland,NULL,Non_Wetland,Forest
150,Cropland,Built-up,NULL,Non_Wetland,Forest
151,Cropland,Forest,NULL,Non_Wetland,NULL
152,Cropland,Forest,NULL,Non_Wetland,Grassland
153,Cropland,Forest,NULL,Non_Wetland,Wetland
154,Cropland,Forest,NULL,Non_Wetland,Forest
155,Wetland,NULL,NULL,Non_Wetland,NULL
156,Wetland,NULL,NULL,Non_Wetland,Grassland
157,Wetland,NULL,NULL,Non_Wetland,Wetland
158,Wetland,NULL,NULL,Non_Wetland,Water
159,Wetland,NULL,NULL,Non_Wetland,Forest
160,Wetland,NULL,Non_Water,Non_Wetland,Grassland
161,Wetland,NULL,Non_Water,Non_Wetland,Wetland
162,Wetland,NULL,Non_Water,Non_Wetland,Water
163,Wetland,NULL,Non_Water,Non_Wetland,Forest
164,Wetland,NULL,Water,Non_Wetland,Grassland
165,Wetland,NULL,Water,Non_Wetland,Wetland
166,Wetland,NULL,Water,Non_Wetland,Water
167,Wetland,NULL,Water,Non_Wetland,Forest
168,Wetland,Shrubland,NULL,Non_Wetland,NULL
169,Wetland,Shrubland,NULL,Non_Wetland,Grassland
170,Wetland,Shrubland,NULL,Non_Wetland,Wetland
171,Wetland,Shrubland,NULL,Non_Wetland,Water
172,Wetland,Shrubland,NULL,Non_Wetland,Forest
173,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
174,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
175,Wetland,Shrubland,Non_Water,Non_Wetland,Water
176,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
177,Wetland,Shrubland,Water,Non_Wetland,Grassland
178,Wetland,Shrubland,Water,Non_Wetland,Wetland
179,Wetland,Shrubland,Water,Non_Wetland,Water
180,Wetland,Shrubland,Water,Non_Wetland,Forest
181,Wetland,Grassland,NULL,Non_Wetland,Grassland
182,Wetland,Grassland,NULL,Non_Wetland,Wetland
183,Wetland,Grassland,NULL,Non_Wetland,Forest
184,Wetland,Grassland,Water,Non_Wetland,Grassland
185,Wetland,Grassland,Water,Non_Wetland,Forest
186,Wetland,Cropland,NULL,Non_Wetland,Grassland
187,Wetland,Cropland,NULL,Non_Wetland,Wetland
188,Wetland,Cropland,NULL,Non_Wetland,Forest
189,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
190,Wetland,Cropland,Water,Non_Wetland,Wetland
191,Wetland,Wetland,NULL,Wetland,NULL
192,Wetland,Wetland,NULL,Wetland,Grassland
193,Wetland,Wetland,NULL,Wetland,Wetland
194,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
195,Wetland,Wetland,NULL,Wetland,Bareland
196,Wetland,Wetland,NULL,Wetland,Water
197,Wetland,Wetland,NULL,Wetland,Forest
198,Wetland,Wetland,Non_Water,Wetland,NULL
199,Wetland,Wetland,Non_Water,Wetland,Grassland
200,Wetland,Wetland,Non_Water,Wetland,Wetland
201,Wetland,Wetland,Non_Water,Wetland,Water
202,Wetland,Wetland,Non_Water,Wetland,Forest
203,Wetland,Wetland,Water,Wetland,NULL
204,Wetland,Wetland,Water,Wetland,Grassland
205,Wetland,Wetland,Water,Wetland,Wetland
206,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
207,Wetland,Wetland,Water,Wetland,Bareland
208,Wetland,Wetland,Water,Wetland,Water
209,Wetland,Wetland,Water,Wetland,Forest
210,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
211,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
212,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
213,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
214,Wetland,Bareland,NULL,Non_Wetland,NULL
215,Wetland,Bareland,NULL,Non_Wetland,Grassland
216,Wetland,Bareland,NULL,Non_Wetland,Wetland
217,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
218,Wetland,Bareland,NULL,Non_Wetland,Bareland
219,Wetland,Bareland,NULL,Non_Wetland,Built-up
220,Wetland,Bareland,NULL,Non_Wetland,Water
221,Wetland,Bareland,NULL,Non_Wetland,Forest
222,Wetland,Bareland,Non_Water,Non_Wetland,NULL
223,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
224,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
225,Wetland,Bareland,Non_Water,Non_Wetland,Water
226,Wetland,Bareland,Non_Water,Non_Wetland,Forest
227,Wetland,Bareland,Water,Non_Wetland,Grassland
228,Wetland,Bareland,Water,Non_Wetland,Wetland
229,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
230,Wetland,Bareland,Water,Non_Wetland,Bareland
231,Wetland,Bareland,Water,Non_Wetland,Water
232,Wetland,Bareland,Water,Non_Wetland,Forest
233,Wetland,Built-up,NULL,Non_Wetland,Grassland
234,Wetland,Built-up,NULL,Non_Wetland,Wetland
235,Wetland,Built-up,NULL,Non_Wetland,Water
236,Wetland,Built-up,NULL,Non_Wetland,Forest
237,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
238,Wetland,Built-up,Non_Water,Non_Wetland,Water
239,Wetland,Built-up,Non_Water,Non_Wetland,Forest
240,Wetland,Built-up,Water,Non_Wetland,Wetland
241,Wetland,Built-up,Water,Non_Wetland,Water
242,Wetland,Built-up,Water,Non_Wetland,Forest
243,Wetland,Water,NULL,Water,NULL
244,Wetland,Water,NULL,Water,Grassland
245,Wetland,Water,NULL,Water,Wetland
246,Wetland,Water,NULL,Water,Water
247,Wetland,Water,NULL,Water,Forest
248,Wetland,Water,Non_Water,Water,Grassland
249,Wetland,Water,Non_Water,Water,Wetland
250,Wetland,Water,Non_Water,Water,Water
251,Wetland,Water,Non_Water,Water,Forest
252,Wetland,Water,Water,Water,NULL
253,Wetland,Water,Water,Water,Grassland
254,Wetland,Water,Water,Water,Wetland
255,Wetland,Water,Water,Water,Bareland
256,Wetland,Water,Water,Water,Water
257,Wetland,Water,Water,Water,Forest
258,Wetland,Forest,NULL,Non_Wetland,NULL
259,Wetland,Forest,NULL,Non_Wetland,Grassland
260,Wetland,Forest,NULL,Non_Wetland,Wetland
261,Wetland,Forest,NULL,Non_Wetland,Water
262,Wetland,Forest,NULL,Non_Wetland,Forest
263,Wetland,Forest,Non_Water,Non_Wetland,NULL
264,Wetland,Forest,Non_Water,Non_Wetland,Grassland
265,Wetland,Forest,Non_Water,Non_Wetland,Wetland
266,Wetland,Forest,Non_Water,Non_Wetland,Water
267,Wetland,Forest,Non_Water,Non_Wetland,Forest
268,Wetland,Forest,Water,Non_Wetland,NULL
269,Wetland,Forest,Water,Non_Wetland,Grassland
270,Wetland,Forest,Water,Non_Wetland,Wetland
