Value,SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,SIBERIA_2024_WorldCover_2021_41WPR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
37,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
40,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
43,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Grassland,NULL,Non_Wetland,Water
51,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
59,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
60,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
61,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
62,NULL,NULL,Grassland,Water,Non_Wetland,Water
63,NULL,NULL,Grassland,Water,Non_Wetland,Forest
64,NULL,NULL,Wetland,NULL,Wetland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
68,NULL,NULL,Wetland,NULL,Wetland,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,Water
70,NULL,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
71,NULL,NULL,Wetland,NULL,Wetland,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
75,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
76,NULL,NULL,Wetland,Non_Water,Wetland,Water
77,NULL,NULL,Wetland,Non_Water,Wetland,Forest
78,NULL,NULL,Wetland,Water,Wetland,Grassland
79,NULL,NULL,Wetland,Water,Wetland,Wetland
80,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
81,NULL,NULL,Wetland,Water,Wetland,Bareland
82,NULL,NULL,Wetland,Water,Wetland,Water
83,NULL,NULL,Wetland,Water,Wetland,Forest
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
93,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
97,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
98,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
99,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
100,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
101,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
103,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
104,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Permanent_ice_and_snow
105,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
107,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
108,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
109,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
111,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
