Value,SIBERIA_2024_ESA_CALU_2024_42WVA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVA_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVA_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVA_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVA_M_R,SIBERIA_2024_WorldCover_2021_42WVA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
41,NULL,NULL,Shrubland,Water,Non_Wetland,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
43,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Grassland,NULL,Non_Wetland,Water
51,NULL,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
52,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
59,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
60,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
61,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
63,NULL,NULL,Grassland,Water,Non_Wetland,Water
64,NULL,NULL,Grassland,Water,Non_Wetland,Forest
65,NULL,NULL,Wetland,NULL,NULL,Wetland
66,NULL,NULL,Wetland,NULL,NULL,Bareland
67,NULL,NULL,Wetland,NULL,NULL,Water
68,NULL,NULL,Wetland,NULL,Wetland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
72,NULL,NULL,Wetland,NULL,Wetland,Bareland
73,NULL,NULL,Wetland,NULL,Wetland,Water
74,NULL,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
75,NULL,NULL,Wetland,NULL,Wetland,Forest
76,NULL,NULL,Wetland,Non_Water,NULL,Wetland
77,NULL,NULL,Wetland,Non_Water,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,NULL,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
80,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
82,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
83,NULL,NULL,Wetland,Non_Water,Wetland,Water
84,NULL,NULL,Wetland,Non_Water,Wetland,Forest
85,NULL,NULL,Wetland,Water,NULL,Wetland
86,NULL,NULL,Wetland,Water,NULL,Bareland
87,NULL,NULL,Wetland,Water,NULL,Water
88,NULL,NULL,Wetland,Water,Wetland,Grassland
89,NULL,NULL,Wetland,Water,Wetland,Wetland
90,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
91,NULL,NULL,Wetland,Water,Wetland,Bareland
92,NULL,NULL,Wetland,Water,Wetland,Water
93,NULL,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
94,NULL,NULL,Wetland,Water,Wetland,Forest
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
103,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
104,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
105,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
106,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
107,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
108,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
109,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
110,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
111,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
112,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
113,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
