Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,SIBERIA_2024_WorldCover_2021_44WPS_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,Wetland,NULL,Wetland,NULL
38,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
41,NULL,Wetland,NULL,Wetland,Bareland
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
52,NULL,Wetland,Water,Wetland,Bareland
53,NULL,Wetland,Water,Wetland,Water
54,NULL,Wetland,Water,Wetland,Forest
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
59,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
60,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,Bareland,NULL,Non_Wetland,Wetland
63,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
64,NULL,Bareland,NULL,Non_Wetland,Bareland
65,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,Bareland,Non_Water,Non_Wetland,Wetland
69,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,Bareland,Non_Water,Non_Wetland,Water
71,NULL,Bareland,Non_Water,Non_Wetland,Forest
72,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,Bareland,Water,Non_Wetland,Wetland
74,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,Water,Non_Wetland,Bareland
76,NULL,Bareland,Water,Non_Wetland,Water
77,NULL,Bareland,Water,Non_Wetland,Forest
78,NULL,Built-up,NULL,Non_Wetland,Grassland
79,NULL,Built-up,NULL,Non_Wetland,Wetland
80,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Built-up,NULL,Non_Wetland,Bareland
82,NULL,Built-up,NULL,Non_Wetland,Forest
83,NULL,Built-up,Non_Water,Non_Wetland,Grassland
84,NULL,Built-up,Non_Water,Non_Wetland,Forest
85,NULL,Built-up,Water,Non_Wetland,Forest
86,NULL,Water,NULL,Water,Grassland
87,NULL,Water,NULL,Water,Wetland
88,NULL,Water,NULL,Water,Lichens_and_Mosses
89,NULL,Water,NULL,Water,Water
90,NULL,Water,NULL,Water,Forest
91,NULL,Water,Non_Water,Water,Grassland
92,NULL,Water,Non_Water,Water,Wetland
93,NULL,Water,Non_Water,Water,Water
94,NULL,Water,Non_Water,Water,Forest
95,NULL,Water,Water,Water,Grassland
96,NULL,Water,Water,Water,Wetland
97,NULL,Water,Water,Water,Water
98,NULL,Water,Water,Water,Forest
99,NULL,Forest,NULL,Non_Wetland,NULL
100,NULL,Forest,NULL,Non_Wetland,Grassland
101,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Forest,NULL,Non_Wetland,Water
104,NULL,Forest,NULL,Non_Wetland,Forest
105,NULL,Forest,Non_Water,Non_Wetland,NULL
106,NULL,Forest,Non_Water,Non_Wetland,Grassland
107,NULL,Forest,Non_Water,Non_Wetland,Wetland
108,NULL,Forest,Non_Water,Non_Wetland,Forest
109,NULL,Forest,Water,Non_Wetland,Grassland
110,NULL,Forest,Water,Non_Wetland,Wetland
111,NULL,Forest,Water,Non_Wetland,Forest
112,Cropland,NULL,NULL,Non_Wetland,NULL
113,Cropland,NULL,NULL,Non_Wetland,Grassland
114,Cropland,NULL,NULL,Non_Wetland,Wetland
115,Cropland,NULL,NULL,Non_Wetland,Forest
116,Cropland,NULL,Non_Water,Non_Wetland,Grassland
117,Cropland,NULL,Non_Water,Non_Wetland,Forest
118,Cropland,NULL,Water,Non_Wetland,Grassland
119,Cropland,NULL,Water,Non_Wetland,Wetland
120,Cropland,NULL,Water,Non_Wetland,Forest
121,Cropland,Shrubland,NULL,Non_Wetland,NULL
122,Cropland,Shrubland,NULL,Non_Wetland,Grassland
123,Cropland,Shrubland,NULL,Non_Wetland,Wetland
124,Cropland,Shrubland,NULL,Non_Wetland,Forest
125,Cropland,Grassland,NULL,Non_Wetland,Grassland
126,Cropland,Grassland,NULL,Non_Wetland,Wetland
127,Cropland,Wetland,NULL,Wetland,NULL
128,Cropland,Wetland,NULL,Wetland,Grassland
129,Cropland,Wetland,NULL,Wetland,Wetland
130,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
131,Cropland,Wetland,NULL,Wetland,Forest
132,Cropland,Wetland,Non_Water,Wetland,Grassland
133,Cropland,Wetland,Non_Water,Wetland,Wetland
134,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
135,Cropland,Bareland,NULL,Non_Wetland,NULL
136,Cropland,Bareland,NULL,Non_Wetland,Grassland
137,Cropland,Bareland,NULL,Non_Wetland,Wetland
138,Cropland,Bareland,NULL,Non_Wetland,Forest
139,Cropland,Built-up,NULL,Non_Wetland,Forest
140,Cropland,Water,NULL,Water,Wetland
141,Cropland,Water,Water,Water,Wetland
142,Cropland,Forest,NULL,Non_Wetland,NULL
143,Cropland,Forest,NULL,Non_Wetland,Grassland
144,Cropland,Forest,NULL,Non_Wetland,Wetland
145,Cropland,Forest,NULL,Non_Wetland,Forest
146,Cropland,Forest,Non_Water,Non_Wetland,Grassland
147,Cropland,Forest,Non_Water,Non_Wetland,Forest
148,Cropland,Forest,Water,Non_Wetland,Grassland
149,Cropland,Forest,Water,Non_Wetland,Forest
150,Wetland,NULL,NULL,Non_Wetland,NULL
151,Wetland,NULL,NULL,Non_Wetland,Grassland
152,Wetland,NULL,NULL,Non_Wetland,Wetland
153,Wetland,NULL,NULL,Non_Wetland,Water
154,Wetland,NULL,NULL,Non_Wetland,Forest
155,Wetland,NULL,Non_Water,Non_Wetland,Wetland
156,Wetland,NULL,Non_Water,Non_Wetland,Water
157,Wetland,NULL,Non_Water,Non_Wetland,Forest
158,Wetland,NULL,Water,Non_Wetland,Grassland
159,Wetland,NULL,Water,Non_Wetland,Wetland
160,Wetland,NULL,Water,Non_Wetland,Water
161,Wetland,NULL,Water,Non_Wetland,Forest
162,Wetland,Shrubland,NULL,Non_Wetland,NULL
163,Wetland,Shrubland,NULL,Non_Wetland,Grassland
164,Wetland,Shrubland,NULL,Non_Wetland,Wetland
165,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
166,Wetland,Shrubland,NULL,Non_Wetland,Water
167,Wetland,Shrubland,NULL,Non_Wetland,Forest
168,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
169,Wetland,Shrubland,Non_Water,Non_Wetland,Water
170,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
171,Wetland,Shrubland,Water,Non_Wetland,Grassland
172,Wetland,Shrubland,Water,Non_Wetland,Wetland
173,Wetland,Shrubland,Water,Non_Wetland,Water
174,Wetland,Shrubland,Water,Non_Wetland,Forest
175,Wetland,Grassland,NULL,Non_Wetland,Grassland
176,Wetland,Grassland,NULL,Non_Wetland,Wetland
177,Wetland,Grassland,NULL,Non_Wetland,Forest
178,Wetland,Grassland,Water,Non_Wetland,Grassland
179,Wetland,Grassland,Water,Non_Wetland,Wetland
180,Wetland,Cropland,NULL,Non_Wetland,Grassland
181,Wetland,Cropland,NULL,Non_Wetland,Forest
182,Wetland,Wetland,NULL,Wetland,NULL
183,Wetland,Wetland,NULL,Wetland,Grassland
184,Wetland,Wetland,NULL,Wetland,Wetland
185,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
186,Wetland,Wetland,NULL,Wetland,Bareland
187,Wetland,Wetland,NULL,Wetland,Water
188,Wetland,Wetland,NULL,Wetland,Forest
189,Wetland,Wetland,Non_Water,Wetland,Grassland
190,Wetland,Wetland,Non_Water,Wetland,Wetland
191,Wetland,Wetland,Non_Water,Wetland,Bareland
192,Wetland,Wetland,Non_Water,Wetland,Water
193,Wetland,Wetland,Non_Water,Wetland,Forest
194,Wetland,Wetland,Water,Wetland,Grassland
195,Wetland,Wetland,Water,Wetland,Wetland
196,Wetland,Wetland,Water,Wetland,Bareland
197,Wetland,Wetland,Water,Wetland,Water
198,Wetland,Wetland,Water,Wetland,Forest
199,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
200,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
201,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
202,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
203,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
204,Wetland,Bareland,NULL,Non_Wetland,NULL
205,Wetland,Bareland,NULL,Non_Wetland,Grassland
206,Wetland,Bareland,NULL,Non_Wetland,Wetland
207,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
208,Wetland,Bareland,NULL,Non_Wetland,Bareland
209,Wetland,Bareland,NULL,Non_Wetland,Water
210,Wetland,Bareland,NULL,Non_Wetland,Forest
211,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
212,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
213,Wetland,Bareland,Non_Water,Non_Wetland,Water
214,Wetland,Bareland,Non_Water,Non_Wetland,Forest
215,Wetland,Bareland,Water,Non_Wetland,Grassland
216,Wetland,Bareland,Water,Non_Wetland,Wetland
217,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
218,Wetland,Bareland,Water,Non_Wetland,Water
219,Wetland,Bareland,Water,Non_Wetland,Forest
220,Wetland,Built-up,NULL,Non_Wetland,Grassland
221,Wetland,Built-up,NULL,Non_Wetland,Wetland
222,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
223,Wetland,Built-up,NULL,Non_Wetland,Forest
224,Wetland,Built-up,Water,Non_Wetland,Grassland
225,Wetland,Water,NULL,Water,Wetland
226,Wetland,Water,NULL,Water,Water
227,Wetland,Water,NULL,Water,Forest
228,Wetland,Water,Non_Water,Water,Wetland
229,Wetland,Water,Non_Water,Water,Water
230,Wetland,Water,Non_Water,Water,Forest
231,Wetland,Water,Water,Water,Grassland
232,Wetland,Water,Water,Water,Wetland
233,Wetland,Water,Water,Water,Lichens_and_Mosses
234,Wetland,Water,Water,Water,Bareland
235,Wetland,Water,Water,Water,Water
236,Wetland,Water,Water,Water,Forest
237,Wetland,Forest,NULL,Non_Wetland,NULL
238,Wetland,Forest,NULL,Non_Wetland,Grassland
239,Wetland,Forest,NULL,Non_Wetland,Wetland
240,Wetland,Forest,NULL,Non_Wetland,Water
241,Wetland,Forest,NULL,Non_Wetland,Forest
242,Wetland,Forest,Non_Water,Non_Wetland,Grassland
243,Wetland,Forest,Non_Water,Non_Wetland,Wetland
244,Wetland,Forest,Non_Water,Non_Wetland,Water
245,Wetland,Forest,Non_Water,Non_Wetland,Forest
246,Wetland,Forest,Water,Non_Wetland,Grassland
247,Wetland,Forest,Water,Non_Wetland,Wetland
248,Wetland,Forest,Water,Non_Wetland,Water
249,Wetland,Forest,Water,Non_Wetland,Forest
250,Bareland,NULL,NULL,Non_Wetland,Grassland
251,Bareland,NULL,NULL,Non_Wetland,Wetland
252,Bareland,NULL,NULL,Non_Wetland,Water
253,Bareland,NULL,NULL,Non_Wetland,Forest
254,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
255,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
256,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
257,Bareland,Wetland,NULL,Wetland,Water
258,Bareland,Wetland,NULL,Wetland,Forest
259,Bareland,Wetland,Water,Wetland,Grassland
260,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
261,Bareland,Wetland,Water,Wetland,Bareland
262,Bareland,Wetland,Water,Wetland,Water
263,Bareland,Wetland,Water,Wetland,Forest
264,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
265,Bareland,Bareland,NULL,Non_Wetland,Grassland
266,Bareland,Bareland,NULL,Non_Wetland,Wetland
