Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNK_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNK_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNK_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNK_M_R,SIBERIA_2024_WorldCover_2021_41VNK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,Cropland,Non_Water,Non_Wetland,Wetland
51,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,Cropland,Water,Non_Wetland,Wetland
54,NULL,Cropland,Water,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,NULL
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Cropland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Bareland
60,NULL,Wetland,NULL,Wetland,Built-up
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Cropland
66,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,NULL
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Wetland
72,NULL,Wetland,Water,Wetland,Water
73,NULL,Wetland,Water,Wetland,Forest
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Cropland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,Bareland,Non_Water,Non_Wetland,NULL
96,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,Bareland,Non_Water,Non_Wetland,Forest
102,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,Bareland,Water,Non_Wetland,Wetland
104,NULL,Bareland,Water,Non_Wetland,Bareland
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,NULL
107,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,Non_Wetland,Cropland
109,NULL,Built-up,NULL,Non_Wetland,Wetland
110,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
111,NULL,Built-up,NULL,Non_Wetland,Bareland
112,NULL,Built-up,NULL,Non_Wetland,Built-up
113,NULL,Built-up,NULL,Non_Wetland,Water
114,NULL,Built-up,NULL,Non_Wetland,Forest
115,NULL,Built-up,Non_Water,Non_Wetland,Grassland
116,NULL,Built-up,Non_Water,Non_Wetland,Wetland
117,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Non_Water,Non_Wetland,Bareland
119,NULL,Built-up,Non_Water,Non_Wetland,Water
120,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Water,Non_Wetland,Wetland
123,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,Water,Non_Wetland,Bareland
125,NULL,Built-up,Water,Non_Wetland,Water
126,NULL,Built-up,Water,Non_Wetland,Forest
127,NULL,Water,NULL,Water,NULL
128,NULL,Water,NULL,Water,Grassland
129,NULL,Water,NULL,Water,Wetland
130,NULL,Water,NULL,Water,Water
131,NULL,Water,NULL,Water,Forest
132,NULL,Water,Non_Water,Water,Grassland
133,NULL,Water,Non_Water,Water,Wetland
134,NULL,Water,Non_Water,Water,Lichens_and_Mosses
135,NULL,Water,Non_Water,Water,Water
136,NULL,Water,Non_Water,Water,Forest
137,NULL,Water,Water,Water,NULL
138,NULL,Water,Water,Water,Grassland
139,NULL,Water,Water,Water,Wetland
140,NULL,Water,Water,Water,Water
141,NULL,Water,Water,Water,Forest
142,NULL,Forest,NULL,Non_Wetland,NULL
143,NULL,Forest,NULL,Non_Wetland,Grassland
144,NULL,Forest,NULL,Non_Wetland,Cropland
145,NULL,Forest,NULL,Non_Wetland,Wetland
146,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
147,NULL,Forest,NULL,Non_Wetland,Bareland
148,NULL,Forest,NULL,Non_Wetland,Built-up
149,NULL,Forest,NULL,Non_Wetland,Water
150,NULL,Forest,NULL,Non_Wetland,Forest
151,NULL,Forest,Non_Water,Non_Wetland,NULL
152,NULL,Forest,Non_Water,Non_Wetland,Grassland
153,NULL,Forest,Non_Water,Non_Wetland,Wetland
154,NULL,Forest,Non_Water,Non_Wetland,Water
155,NULL,Forest,Non_Water,Non_Wetland,Forest
156,NULL,Forest,Water,Non_Wetland,NULL
157,NULL,Forest,Water,Non_Wetland,Grassland
158,NULL,Forest,Water,Non_Wetland,Wetland
159,NULL,Forest,Water,Non_Wetland,Water
160,NULL,Forest,Water,Non_Wetland,Forest
161,Cropland,NULL,NULL,Non_Wetland,NULL
162,Cropland,NULL,NULL,Non_Wetland,Grassland
163,Cropland,NULL,NULL,Non_Wetland,Wetland
164,Cropland,NULL,NULL,Non_Wetland,Forest
165,Cropland,Shrubland,NULL,Non_Wetland,NULL
166,Cropland,Shrubland,NULL,Non_Wetland,Grassland
167,Cropland,Shrubland,NULL,Non_Wetland,Wetland
168,Cropland,Shrubland,NULL,Non_Wetland,Built-up
169,Cropland,Shrubland,NULL,Non_Wetland,Forest
170,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
171,Cropland,Grassland,NULL,Non_Wetland,Grassland
172,Cropland,Grassland,NULL,Non_Wetland,Forest
173,Cropland,Cropland,NULL,Non_Wetland,NULL
174,Cropland,Cropland,NULL,Non_Wetland,Grassland
175,Cropland,Cropland,NULL,Non_Wetland,Wetland
176,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
177,Cropland,Cropland,NULL,Non_Wetland,Forest
178,Cropland,Wetland,NULL,Wetland,NULL
179,Cropland,Wetland,NULL,Wetland,Grassland
180,Cropland,Wetland,NULL,Wetland,Wetland
181,Cropland,Wetland,NULL,Wetland,Built-up
182,Cropland,Wetland,NULL,Wetland,Water
183,Cropland,Wetland,NULL,Wetland,Forest
184,Cropland,Wetland,Non_Water,Wetland,Grassland
185,Cropland,Wetland,Non_Water,Wetland,Wetland
186,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
188,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
189,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
190,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
191,Cropland,Bareland,NULL,Non_Wetland,NULL
192,Cropland,Bareland,NULL,Non_Wetland,Grassland
193,Cropland,Bareland,NULL,Non_Wetland,Wetland
194,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
195,Cropland,Bareland,NULL,Non_Wetland,Bareland
196,Cropland,Bareland,NULL,Non_Wetland,Built-up
197,Cropland,Bareland,NULL,Non_Wetland,Forest
198,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
199,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
200,Cropland,Bareland,Non_Water,Non_Wetland,Forest
201,Cropland,Built-up,NULL,Non_Wetland,Grassland
202,Cropland,Built-up,NULL,Non_Wetland,Wetland
203,Cropland,Built-up,NULL,Non_Wetland,Built-up
204,Cropland,Built-up,NULL,Non_Wetland,Forest
205,Cropland,Water,NULL,Water,Grassland
206,Cropland,Water,NULL,Water,Forest
207,Cropland,Forest,NULL,Non_Wetland,NULL
208,Cropland,Forest,NULL,Non_Wetland,Grassland
209,Cropland,Forest,NULL,Non_Wetland,Wetland
210,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
211,Cropland,Forest,NULL,Non_Wetland,Built-up
212,Cropland,Forest,NULL,Non_Wetland,Water
213,Cropland,Forest,NULL,Non_Wetland,Forest
214,Cropland,Forest,Non_Water,Non_Wetland,Grassland
215,Cropland,Forest,Non_Water,Non_Wetland,Wetland
216,Cropland,Forest,Non_Water,Non_Wetland,Forest
217,Wetland,NULL,NULL,Non_Wetland,NULL
218,Wetland,NULL,NULL,Non_Wetland,Grassland
219,Wetland,NULL,NULL,Non_Wetland,Wetland
220,Wetland,NULL,NULL,Non_Wetland,Water
221,Wetland,NULL,NULL,Non_Wetland,Forest
222,Wetland,NULL,Non_Water,Non_Wetland,Grassland
223,Wetland,NULL,Non_Water,Non_Wetland,Wetland
224,Wetland,NULL,Non_Water,Non_Wetland,Water
225,Wetland,NULL,Non_Water,Non_Wetland,Forest
226,Wetland,NULL,Water,Non_Wetland,Grassland
227,Wetland,NULL,Water,Non_Wetland,Wetland
228,Wetland,NULL,Water,Non_Wetland,Water
229,Wetland,NULL,Water,Non_Wetland,Forest
230,Wetland,Shrubland,NULL,Non_Wetland,NULL
231,Wetland,Shrubland,NULL,Non_Wetland,Grassland
232,Wetland,Shrubland,NULL,Non_Wetland,Wetland
233,Wetland,Shrubland,NULL,Non_Wetland,Water
234,Wetland,Shrubland,NULL,Non_Wetland,Forest
235,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
236,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
237,Wetland,Shrubland,Non_Water,Non_Wetland,Water
238,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
239,Wetland,Shrubland,Water,Non_Wetland,Grassland
240,Wetland,Shrubland,Water,Non_Wetland,Wetland
241,Wetland,Shrubland,Water,Non_Wetland,Water
242,Wetland,Shrubland,Water,Non_Wetland,Forest
243,Wetland,Grassland,NULL,Non_Wetland,Grassland
244,Wetland,Grassland,NULL,Non_Wetland,Cropland
245,Wetland,Grassland,NULL,Non_Wetland,Wetland
246,Wetland,Grassland,NULL,Non_Wetland,Water
247,Wetland,Grassland,NULL,Non_Wetland,Forest
248,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
249,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
250,Wetland,Grassland,Non_Water,Non_Wetland,Water
251,Wetland,Grassland,Water,Non_Wetland,Grassland
252,Wetland,Grassland,Water,Non_Wetland,Wetland
253,Wetland,Grassland,Water,Non_Wetland,Water
254,Wetland,Cropland,NULL,Non_Wetland,Grassland
255,Wetland,Cropland,NULL,Non_Wetland,Wetland
256,Wetland,Cropland,NULL,Non_Wetland,Bareland
257,Wetland,Cropland,NULL,Non_Wetland,Water
258,Wetland,Cropland,NULL,Non_Wetland,Forest
259,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
260,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
261,Wetland,Cropland,Non_Water,Non_Wetland,Water
