Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WES_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WES_M_R,SIBERIA_2024_GSW_Yearly_2021_43WES_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WES_M_R,SIBERIA_2024_WorldCover_2021_43WES_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,Water,Non_Wetland,Wetland
6,NULL,NULL,Water,Non_Wetland,Forest
7,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
15,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,Shrubland,Water,Non_Wetland,Water
21,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,Grassland,NULL,Non_Wetland,Wetland
24,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,Grassland,Non_Water,Non_Wetland,Wetland
30,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,Grassland,Non_Water,Non_Wetland,Water
33,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,Grassland,Water,Non_Wetland,Wetland
36,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,Wetland,NULL,NULL,Grassland
40,NULL,Wetland,NULL,NULL,Wetland
41,NULL,Wetland,NULL,NULL,Water
42,NULL,Wetland,NULL,NULL,Forest
43,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,Wetland,NULL,Wetland,Wetland
45,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
46,NULL,Wetland,NULL,Wetland,Bareland
47,NULL,Wetland,NULL,Wetland,Water
48,NULL,Wetland,NULL,Wetland,Forest
49,NULL,Wetland,Non_Water,NULL,Water
50,NULL,Wetland,Non_Water,Wetland,Grassland
51,NULL,Wetland,Non_Water,Wetland,Wetland
52,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
53,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,Wetland,Water,NULL,Water
57,NULL,Wetland,Water,Wetland,Grassland
58,NULL,Wetland,Water,Wetland,Wetland
59,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
60,NULL,Wetland,Water,Wetland,Bareland
61,NULL,Wetland,Water,Wetland,Water
62,NULL,Wetland,Water,Wetland,Forest
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Bareland,NULL,Non_Wetland,Wetland
79,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,Bareland,NULL,Non_Wetland,Bareland
81,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,Bareland,Non_Water,Non_Wetland,Wetland
85,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,Bareland,Non_Water,Non_Wetland,Water
88,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,Bareland,Water,Non_Wetland,Wetland
91,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,Non_Wetland,Wetland
97,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,Built-up,NULL,Non_Wetland,Water
100,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,Built-up,Non_Water,Non_Wetland,Grassland
102,NULL,Built-up,Non_Water,Non_Wetland,Wetland
103,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,Non_Water,Non_Wetland,Bareland
105,NULL,Built-up,Water,Non_Wetland,Grassland
106,NULL,Built-up,Water,Non_Wetland,Wetland
107,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
108,NULL,Built-up,Water,Non_Wetland,Bareland
109,NULL,Built-up,Water,Non_Wetland,Water
110,NULL,Water,NULL,Water,Grassland
111,NULL,Water,NULL,Water,Wetland
112,NULL,Water,NULL,Water,Lichens_and_Mosses
113,NULL,Water,NULL,Water,Water
114,NULL,Water,Non_Water,Water,Grassland
115,NULL,Water,Non_Water,Water,Wetland
116,NULL,Water,Non_Water,Water,Lichens_and_Mosses
117,NULL,Water,Non_Water,Water,Water
118,NULL,Water,Water,NULL,Water
119,NULL,Water,Water,Water,Grassland
120,NULL,Water,Water,Water,Wetland
121,NULL,Water,Water,Water,Lichens_and_Mosses
122,NULL,Water,Water,Water,Bareland
123,NULL,Water,Water,Water,Water
124,NULL,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Forest,NULL,Non_Wetland,Bareland
128,NULL,Forest,NULL,Non_Wetland,Water
129,NULL,Forest,NULL,Non_Wetland,Forest
130,NULL,Forest,Non_Water,Non_Wetland,Grassland
131,NULL,Forest,Non_Water,Non_Wetland,Wetland
132,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
133,NULL,Forest,Non_Water,Non_Wetland,Bareland
134,NULL,Forest,Non_Water,Non_Wetland,Water
135,NULL,Forest,Non_Water,Non_Wetland,Forest
136,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,Forest,Water,Non_Wetland,Wetland
138,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
139,NULL,Forest,Water,Non_Wetland,Bareland
140,NULL,Forest,Water,Non_Wetland,Water
141,NULL,Forest,Water,Non_Wetland,Forest
142,Wetland,NULL,NULL,Non_Wetland,Grassland
143,Wetland,NULL,NULL,Non_Wetland,Wetland
144,Wetland,NULL,NULL,Non_Wetland,Bareland
145,Wetland,NULL,NULL,Non_Wetland,Water
146,Wetland,NULL,NULL,Non_Wetland,Forest
147,Wetland,NULL,Non_Water,Non_Wetland,Wetland
148,Wetland,NULL,Non_Water,Non_Wetland,Water
149,Wetland,NULL,Non_Water,Non_Wetland,Forest
150,Wetland,NULL,Water,Non_Wetland,Grassland
151,Wetland,NULL,Water,Non_Wetland,Wetland
152,Wetland,NULL,Water,Non_Wetland,Bareland
153,Wetland,NULL,Water,Non_Wetland,Water
154,Wetland,NULL,Water,Non_Wetland,Forest
155,Wetland,Shrubland,NULL,Non_Wetland,Grassland
156,Wetland,Shrubland,NULL,Non_Wetland,Wetland
157,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
158,Wetland,Shrubland,NULL,Non_Wetland,Bareland
159,Wetland,Shrubland,NULL,Non_Wetland,Water
160,Wetland,Shrubland,NULL,Non_Wetland,Forest
161,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
162,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
163,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
164,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
165,Wetland,Shrubland,Non_Water,Non_Wetland,Water
166,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
167,Wetland,Shrubland,Water,Non_Wetland,Grassland
168,Wetland,Shrubland,Water,Non_Wetland,Wetland
169,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
