Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVQ_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVQ_M_R,SIBERIA_2024_WorldCover_2021_42VVQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,Cropland,Non_Water,Non_Wetland,Wetland
51,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
52,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,Cropland,Water,Non_Wetland,Wetland
56,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
57,NULL,Cropland,Water,Non_Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,NULL
59,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
62,NULL,Wetland,NULL,Wetland,Bareland
63,NULL,Wetland,NULL,Wetland,Built-up
64,NULL,Wetland,NULL,Wetland,Water
65,NULL,Wetland,NULL,Wetland,Forest
66,NULL,Wetland,Non_Water,Wetland,NULL
67,NULL,Wetland,Non_Water,Wetland,Grassland
68,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Non_Water,Wetland,Bareland
71,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,Wetland,Water,Wetland,NULL
74,NULL,Wetland,Water,Wetland,Grassland
75,NULL,Wetland,Water,Wetland,Wetland
76,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
77,NULL,Wetland,Water,Wetland,Bareland
78,NULL,Wetland,Water,Wetland,Water
79,NULL,Wetland,Water,Wetland,Forest
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
98,NULL,Bareland,NULL,Non_Wetland,NULL
99,NULL,Bareland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,NULL,Non_Wetland,Cropland
101,NULL,Bareland,NULL,Non_Wetland,Wetland
102,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,NULL,Non_Wetland,Bareland
104,NULL,Bareland,NULL,Non_Wetland,Built-up
105,NULL,Bareland,NULL,Non_Wetland,Water
106,NULL,Bareland,NULL,Non_Wetland,Forest
107,NULL,Bareland,Non_Water,Non_Wetland,Grassland
108,NULL,Bareland,Non_Water,Non_Wetland,Wetland
109,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Non_Water,Non_Wetland,Bareland
111,NULL,Bareland,Non_Water,Non_Wetland,Water
112,NULL,Bareland,Non_Water,Non_Wetland,Forest
113,NULL,Bareland,Water,Non_Wetland,Grassland
114,NULL,Bareland,Water,Non_Wetland,Wetland
115,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Bareland,Water,Non_Wetland,Bareland
117,NULL,Bareland,Water,Non_Wetland,Water
118,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
119,NULL,Bareland,Water,Non_Wetland,Forest
120,NULL,Built-up,NULL,Non_Wetland,NULL
121,NULL,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Built-up,NULL,Non_Wetland,Wetland
123,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Built-up,NULL,Non_Wetland,Water
127,NULL,Built-up,NULL,Non_Wetland,Forest
128,NULL,Built-up,Non_Water,Non_Wetland,Grassland
129,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
130,NULL,Built-up,Non_Water,Non_Wetland,Bareland
131,NULL,Built-up,Non_Water,Non_Wetland,Built-up
132,NULL,Built-up,Non_Water,Non_Wetland,Forest
133,NULL,Built-up,Water,Non_Wetland,Grassland
134,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
135,NULL,Built-up,Water,Non_Wetland,Bareland
136,NULL,Built-up,Water,Non_Wetland,Water
137,NULL,Water,NULL,Water,Grassland
138,NULL,Water,NULL,Water,Wetland
139,NULL,Water,NULL,Water,Lichens_and_Mosses
140,NULL,Water,NULL,Water,Bareland
141,NULL,Water,NULL,Water,Water
142,NULL,Water,NULL,Water,Forest
143,NULL,Water,Non_Water,Water,Grassland
144,NULL,Water,Non_Water,Water,Wetland
145,NULL,Water,Non_Water,Water,Lichens_and_Mosses
146,NULL,Water,Non_Water,Water,Bareland
147,NULL,Water,Non_Water,Water,Water
148,NULL,Water,Non_Water,Water,Forest
149,NULL,Water,Water,Water,NULL
150,NULL,Water,Water,Water,Grassland
151,NULL,Water,Water,Water,Wetland
152,NULL,Water,Water,Water,Lichens_and_Mosses
153,NULL,Water,Water,Water,Water
154,NULL,Water,Water,Water,Forest
155,NULL,Forest,NULL,Non_Wetland,NULL
156,NULL,Forest,NULL,Non_Wetland,Grassland
157,NULL,Forest,NULL,Non_Wetland,Wetland
158,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,Forest,NULL,Non_Wetland,Bareland
160,NULL,Forest,NULL,Non_Wetland,Built-up
161,NULL,Forest,NULL,Non_Wetland,Water
162,NULL,Forest,NULL,Non_Wetland,Forest
163,NULL,Forest,Non_Water,Non_Wetland,NULL
164,NULL,Forest,Non_Water,Non_Wetland,Grassland
165,NULL,Forest,Non_Water,Non_Wetland,Wetland
166,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
167,NULL,Forest,Non_Water,Non_Wetland,Bareland
168,NULL,Forest,Non_Water,Non_Wetland,Forest
169,NULL,Forest,Water,Non_Wetland,NULL
170,NULL,Forest,Water,Non_Wetland,Grassland
171,NULL,Forest,Water,Non_Wetland,Wetland
172,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Forest,Water,Non_Wetland,Water
174,NULL,Forest,Water,Non_Wetland,Forest
175,Cropland,NULL,NULL,Non_Wetland,Grassland
176,Cropland,NULL,NULL,Non_Wetland,Forest
177,Cropland,Shrubland,NULL,Non_Wetland,Grassland
178,Cropland,Shrubland,NULL,Non_Wetland,Forest
179,Cropland,Grassland,NULL,Non_Wetland,Grassland
180,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
181,Cropland,Cropland,NULL,Non_Wetland,Grassland
182,Cropland,Cropland,NULL,Non_Wetland,Bareland
183,Cropland,Cropland,NULL,Non_Wetland,Forest
184,Cropland,Wetland,NULL,Wetland,NULL
185,Cropland,Wetland,NULL,Wetland,Grassland
186,Cropland,Wetland,NULL,Wetland,Wetland
187,Cropland,Wetland,NULL,Wetland,Forest
188,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
189,Cropland,Bareland,NULL,Non_Wetland,NULL
190,Cropland,Bareland,NULL,Non_Wetland,Grassland
191,Cropland,Bareland,NULL,Non_Wetland,Wetland
192,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
193,Cropland,Bareland,NULL,Non_Wetland,Bareland
194,Cropland,Bareland,NULL,Non_Wetland,Water
195,Cropland,Bareland,NULL,Non_Wetland,Forest
196,Cropland,Bareland,Water,Non_Wetland,Grassland
197,Cropland,Bareland,Water,Non_Wetland,Bareland
198,Cropland,Built-up,NULL,Non_Wetland,Grassland
199,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
200,Cropland,Built-up,NULL,Non_Wetland,Bareland
201,Cropland,Built-up,NULL,Non_Wetland,Forest
202,Cropland,Built-up,Water,Non_Wetland,Bareland
203,Cropland,Water,Water,Water,Water
204,Cropland,Forest,NULL,Non_Wetland,Grassland
205,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
206,Cropland,Forest,NULL,Non_Wetland,Forest
207,Wetland,NULL,NULL,Non_Wetland,NULL
208,Wetland,NULL,NULL,Non_Wetland,Grassland
209,Wetland,NULL,NULL,Non_Wetland,Wetland
210,Wetland,NULL,NULL,Non_Wetland,Bareland
211,Wetland,NULL,NULL,Non_Wetland,Water
212,Wetland,NULL,NULL,Non_Wetland,Forest
213,Wetland,NULL,Non_Water,Non_Wetland,Grassland
214,Wetland,NULL,Non_Water,Non_Wetland,Wetland
215,Wetland,NULL,Non_Water,Non_Wetland,Water
216,Wetland,NULL,Non_Water,Non_Wetland,Forest
217,Wetland,NULL,Water,Non_Wetland,Wetland
218,Wetland,NULL,Water,Non_Wetland,Water
219,Wetland,NULL,Water,Non_Wetland,Forest
220,Wetland,Shrubland,NULL,Non_Wetland,NULL
221,Wetland,Shrubland,NULL,Non_Wetland,Grassland
222,Wetland,Shrubland,NULL,Non_Wetland,Wetland
223,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Shrubland,NULL,Non_Wetland,Bareland
225,Wetland,Shrubland,NULL,Non_Wetland,Water
226,Wetland,Shrubland,NULL,Non_Wetland,Forest
227,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
228,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
229,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
230,Wetland,Shrubland,Non_Water,Non_Wetland,Water
231,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
232,Wetland,Shrubland,Water,Non_Wetland,Grassland
233,Wetland,Shrubland,Water,Non_Wetland,Wetland
234,Wetland,Shrubland,Water,Non_Wetland,Water
235,Wetland,Shrubland,Water,Non_Wetland,Forest
236,Wetland,Grassland,NULL,Non_Wetland,Grassland
237,Wetland,Grassland,NULL,Non_Wetland,Wetland
238,Wetland,Grassland,NULL,Non_Wetland,Forest
239,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
240,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
241,Wetland,Grassland,Water,Non_Wetland,Grassland
242,Wetland,Grassland,Water,Non_Wetland,Water
243,Wetland,Cropland,NULL,Non_Wetland,NULL
244,Wetland,Cropland,NULL,Non_Wetland,Grassland
245,Wetland,Cropland,NULL,Non_Wetland,Wetland
246,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
247,Wetland,Cropland,NULL,Non_Wetland,Bareland
248,Wetland,Cropland,NULL,Non_Wetland,Forest
249,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
250,Wetland,Cropland,Non_Water,Non_Wetland,Forest
251,Wetland,Wetland,NULL,Wetland,NULL
252,Wetland,Wetland,NULL,Wetland,Grassland
253,Wetland,Wetland,NULL,Wetland,Wetland
254,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
255,Wetland,Wetland,NULL,Wetland,Bareland
256,Wetland,Wetland,NULL,Wetland,Water
257,Wetland,Wetland,NULL,Wetland,Forest
258,Wetland,Wetland,Non_Water,Wetland,NULL
