Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,SIBERIA_2024_WorldCover_2021_45VUG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,Shrubland,Water,Non_Wetland,Wetland
17,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,Grassland,Non_Water,Non_Wetland,Forest
26,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,Cropland,NULL,Non_Wetland,Wetland
29,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,Cropland,NULL,Non_Wetland,Forest
31,NULL,Cropland,Non_Water,Non_Wetland,Grassland
32,NULL,Cropland,Non_Water,Non_Wetland,Wetland
33,NULL,Cropland,Non_Water,Non_Wetland,Forest
34,NULL,Cropland,Water,Non_Wetland,Wetland
35,NULL,Cropland,Water,Non_Wetland,Forest
36,NULL,Wetland,NULL,Wetland,NULL
37,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,Wetland,NULL,Wetland,Water
40,NULL,Wetland,NULL,Wetland,Forest
41,NULL,Wetland,Non_Water,Wetland,NULL
42,NULL,Wetland,Non_Water,Wetland,Grassland
43,NULL,Wetland,Non_Water,Wetland,Wetland
44,NULL,Wetland,Non_Water,Wetland,Forest
45,NULL,Wetland,Water,Wetland,NULL
46,NULL,Wetland,Water,Wetland,Grassland
47,NULL,Wetland,Water,Wetland,Wetland
48,NULL,Wetland,Water,Wetland,Water
49,NULL,Wetland,Water,Wetland,Forest
50,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
51,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
52,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
53,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
54,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
56,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
60,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,Bareland,Non_Water,Non_Wetland,Wetland
63,NULL,Bareland,Non_Water,Non_Wetland,Forest
64,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,Bareland,Water,Non_Wetland,Wetland
66,NULL,Bareland,Water,Non_Wetland,Forest
67,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,Built-up,NULL,Non_Wetland,Wetland
69,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
70,NULL,Built-up,NULL,Non_Wetland,Bareland
71,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,Built-up,Non_Water,Non_Wetland,Forest
73,NULL,Water,NULL,Water,NULL
74,NULL,Water,NULL,Water,Grassland
75,NULL,Water,NULL,Water,Wetland
76,NULL,Water,NULL,Water,Forest
77,NULL,Water,Non_Water,Water,Wetland
78,NULL,Water,Water,Water,Grassland
79,NULL,Water,Water,Water,Wetland
80,NULL,Water,Water,Water,Bareland
81,NULL,Water,Water,Water,Water
82,NULL,Water,Water,Water,Forest
83,NULL,Forest,NULL,Non_Wetland,NULL
84,NULL,Forest,NULL,Non_Wetland,Grassland
85,NULL,Forest,NULL,Non_Wetland,Wetland
86,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Forest,NULL,Non_Wetland,Water
88,NULL,Forest,NULL,Non_Wetland,Forest
89,NULL,Forest,Non_Water,Non_Wetland,Grassland
90,NULL,Forest,Non_Water,Non_Wetland,Wetland
91,NULL,Forest,Non_Water,Non_Wetland,Water
92,NULL,Forest,Non_Water,Non_Wetland,Forest
93,NULL,Forest,Water,Non_Wetland,Grassland
94,NULL,Forest,Water,Non_Wetland,Wetland
95,NULL,Forest,Water,Non_Wetland,Water
96,NULL,Forest,Water,Non_Wetland,Forest
97,Cropland,NULL,NULL,Non_Wetland,Wetland
98,Cropland,NULL,NULL,Non_Wetland,Forest
99,Cropland,NULL,Water,Non_Wetland,Forest
100,Cropland,Shrubland,NULL,Non_Wetland,NULL
101,Cropland,Shrubland,NULL,Non_Wetland,Grassland
102,Cropland,Shrubland,NULL,Non_Wetland,Wetland
103,Cropland,Shrubland,NULL,Non_Wetland,Forest
104,Cropland,Wetland,NULL,Wetland,NULL
105,Cropland,Wetland,NULL,Wetland,Grassland
106,Cropland,Wetland,NULL,Wetland,Wetland
107,Cropland,Wetland,NULL,Wetland,Forest
108,Cropland,Wetland,Non_Water,Wetland,Wetland
109,Cropland,Bareland,NULL,Non_Wetland,NULL
110,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,Cropland,Bareland,NULL,Non_Wetland,Wetland
112,Cropland,Bareland,NULL,Non_Wetland,Forest
113,Cropland,Water,Water,Water,Water
114,Cropland,Forest,NULL,Non_Wetland,NULL
115,Cropland,Forest,NULL,Non_Wetland,Grassland
116,Cropland,Forest,NULL,Non_Wetland,Wetland
117,Cropland,Forest,NULL,Non_Wetland,Forest
118,Wetland,NULL,NULL,Non_Wetland,NULL
119,Wetland,NULL,NULL,Non_Wetland,Grassland
120,Wetland,NULL,NULL,Non_Wetland,Wetland
121,Wetland,NULL,NULL,Non_Wetland,Water
122,Wetland,NULL,NULL,Non_Wetland,Forest
123,Wetland,NULL,Non_Water,Non_Wetland,Wetland
124,Wetland,NULL,Non_Water,Non_Wetland,Water
125,Wetland,NULL,Non_Water,Non_Wetland,Forest
126,Wetland,NULL,Water,Non_Wetland,Wetland
127,Wetland,NULL,Water,Non_Wetland,Water
128,Wetland,NULL,Water,Non_Wetland,Forest
129,Wetland,Shrubland,NULL,Non_Wetland,NULL
130,Wetland,Shrubland,NULL,Non_Wetland,Grassland
131,Wetland,Shrubland,NULL,Non_Wetland,Wetland
132,Wetland,Shrubland,NULL,Non_Wetland,Water
133,Wetland,Shrubland,NULL,Non_Wetland,Forest
134,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
135,Wetland,Shrubland,Non_Water,Non_Wetland,Water
136,Wetland,Shrubland,Water,Non_Wetland,Wetland
137,Wetland,Shrubland,Water,Non_Wetland,Water
138,Wetland,Shrubland,Water,Non_Wetland,Forest
139,Wetland,Grassland,NULL,Non_Wetland,Grassland
140,Wetland,Grassland,NULL,Non_Wetland,Wetland
141,Wetland,Grassland,NULL,Non_Wetland,Water
142,Wetland,Grassland,NULL,Non_Wetland,Forest
143,Wetland,Cropland,NULL,Non_Wetland,Grassland
144,Wetland,Cropland,NULL,Non_Wetland,Wetland
145,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
146,Wetland,Cropland,NULL,Non_Wetland,Water
147,Wetland,Cropland,NULL,Non_Wetland,Forest
148,Wetland,Cropland,Non_Water,Non_Wetland,Water
149,Wetland,Cropland,Non_Water,Non_Wetland,Forest
150,Wetland,Cropland,Water,Non_Wetland,Wetland
151,Wetland,Cropland,Water,Non_Wetland,Water
152,Wetland,Cropland,Water,Non_Wetland,Forest
153,Wetland,Wetland,NULL,Wetland,NULL
154,Wetland,Wetland,NULL,Wetland,Grassland
155,Wetland,Wetland,NULL,Wetland,Wetland
156,Wetland,Wetland,NULL,Wetland,Bareland
157,Wetland,Wetland,NULL,Wetland,Water
158,Wetland,Wetland,NULL,Wetland,Forest
159,Wetland,Wetland,Non_Water,Wetland,NULL
160,Wetland,Wetland,Non_Water,Wetland,Grassland
161,Wetland,Wetland,Non_Water,Wetland,Wetland
162,Wetland,Wetland,Non_Water,Wetland,Water
163,Wetland,Wetland,Non_Water,Wetland,Forest
164,Wetland,Wetland,Water,Wetland,NULL
165,Wetland,Wetland,Water,Wetland,Grassland
166,Wetland,Wetland,Water,Wetland,Wetland
167,Wetland,Wetland,Water,Wetland,Bareland
168,Wetland,Wetland,Water,Wetland,Water
169,Wetland,Wetland,Water,Wetland,Forest
170,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
171,Wetland,Bareland,NULL,Non_Wetland,NULL
172,Wetland,Bareland,NULL,Non_Wetland,Grassland
173,Wetland,Bareland,NULL,Non_Wetland,Wetland
174,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
175,Wetland,Bareland,NULL,Non_Wetland,Water
176,Wetland,Bareland,NULL,Non_Wetland,Forest
177,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
178,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
179,Wetland,Bareland,Non_Water,Non_Wetland,Water
180,Wetland,Bareland,Non_Water,Non_Wetland,Forest
181,Wetland,Bareland,Water,Non_Wetland,Grassland
182,Wetland,Bareland,Water,Non_Wetland,Wetland
183,Wetland,Bareland,Water,Non_Wetland,Bareland
184,Wetland,Bareland,Water,Non_Wetland,Water
185,Wetland,Bareland,Water,Non_Wetland,Forest
186,Wetland,Built-up,NULL,Non_Wetland,Grassland
187,Wetland,Built-up,NULL,Non_Wetland,Wetland
188,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
189,Wetland,Built-up,NULL,Non_Wetland,Water
190,Wetland,Built-up,NULL,Non_Wetland,Forest
191,Wetland,Built-up,Non_Water,Non_Wetland,Forest
192,Wetland,Built-up,Water,Non_Wetland,Wetland
193,Wetland,Built-up,Water,Non_Wetland,Water
194,Wetland,Water,NULL,Water,NULL
195,Wetland,Water,NULL,Water,Grassland
196,Wetland,Water,NULL,Water,Wetland
197,Wetland,Water,NULL,Water,Water
198,Wetland,Water,NULL,Water,Forest
199,Wetland,Water,Non_Water,Water,Wetland
200,Wetland,Water,Non_Water,Water,Water
201,Wetland,Water,Non_Water,Water,Forest
202,Wetland,Water,Water,Water,NULL
203,Wetland,Water,Water,Water,Grassland
204,Wetland,Water,Water,Water,Wetland
205,Wetland,Water,Water,Water,Bareland
206,Wetland,Water,Water,Water,Water
207,Wetland,Water,Water,Water,Forest
208,Wetland,Forest,NULL,Non_Wetland,NULL
209,Wetland,Forest,NULL,Non_Wetland,Grassland
210,Wetland,Forest,NULL,Non_Wetland,Wetland
211,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
212,Wetland,Forest,NULL,Non_Wetland,Water
213,Wetland,Forest,NULL,Non_Wetland,Forest
214,Wetland,Forest,Non_Water,Non_Wetland,Grassland
215,Wetland,Forest,Non_Water,Non_Wetland,Wetland
216,Wetland,Forest,Non_Water,Non_Wetland,Water
217,Wetland,Forest,Non_Water,Non_Wetland,Forest
218,Wetland,Forest,Water,Non_Wetland,NULL
219,Wetland,Forest,Water,Non_Wetland,Grassland
220,Wetland,Forest,Water,Non_Wetland,Wetland
221,Wetland,Forest,Water,Non_Wetland,Water
222,Wetland,Forest,Water,Non_Wetland,Forest
223,Bareland,NULL,NULL,Non_Wetland,Water
224,Bareland,NULL,NULL,Non_Wetland,Forest
225,Bareland,NULL,Water,Non_Wetland,Water
226,Bareland,Wetland,NULL,Wetland,Grassland
227,Bareland,Wetland,NULL,Wetland,Wetland
228,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
229,Bareland,Wetland,NULL,Wetland,Bareland
230,Bareland,Wetland,NULL,Wetland,Water
231,Bareland,Wetland,NULL,Wetland,Forest
232,Bareland,Wetland,Non_Water,Wetland,Grassland
233,Bareland,Wetland,Non_Water,Wetland,Bareland
234,Bareland,Wetland,Non_Water,Wetland,Water
235,Bareland,Wetland,Non_Water,Wetland,Forest
236,Bareland,Wetland,Water,Wetland,Grassland
237,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
238,Bareland,Wetland,Water,Wetland,Bareland
239,Bareland,Wetland,Water,Wetland,Water
240,Bareland,Bareland,NULL,Non_Wetland,Grassland
241,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
242,Bareland,Bareland,NULL,Non_Wetland,Bareland
243,Bareland,Bareland,NULL,Non_Wetland,Water
244,Bareland,Bareland,NULL,Non_Wetland,Forest
245,Bareland,Bareland,Water,Non_Wetland,Grassland
246,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
247,Bareland,Bareland,Water,Non_Wetland,Bareland
248,Bareland,Bareland,Water,Non_Wetland,Water
249,Bareland,Built-up,NULL,Non_Wetland,Bareland
250,Bareland,Built-up,NULL,Non_Wetland,Forest
251,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
252,Bareland,Water,NULL,Water,Bareland
253,Bareland,Water,NULL,Water,Water
254,Bareland,Water,NULL,Water,Forest
255,Bareland,Water,Water,Water,Lichens_and_Mosses
256,Bareland,Water,Water,Water,Bareland
257,Bareland,Water,Water,Water,Water
258,Bareland,Water,Water,Water,Forest
259,Bareland,Forest,NULL,Non_Wetland,Water
260,Bareland,Forest,NULL,Non_Wetland,Forest
261,Bareland,Forest,Non_Water,Non_Wetland,Water
262,Bareland,Forest,Water,Non_Wetland,Grassland
263,Bareland,Forest,Water,Non_Wetland,Water
264,Water,NULL,NULL,Non_Wetland,Grassland
265,Water,NULL,NULL,Non_Wetland,Wetland
266,Water,NULL,NULL,Non_Wetland,Water
267,Water,NULL,NULL,Non_Wetland,Forest
268,Water,NULL,Non_Water,Non_Wetland,Wetland
269,Water,NULL,Non_Water,Non_Wetland,Water
270,Water,NULL,Non_Water,Non_Wetland,Forest
271,Water,NULL,Water,Non_Wetland,Grassland
272,Water,NULL,Water,Non_Wetland,Wetland
273,Water,NULL,Water,Non_Wetland,Water
