Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLN_M_R,SIBERIA_2024_WorldCover_2021_44VLN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,Grassland,Water,Non_Wetland,Wetland
36,NULL,Grassland,Water,Non_Wetland,Forest
37,NULL,Wetland,NULL,Wetland,NULL
38,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,Wetland,NULL,Wetland,Bareland
41,NULL,Wetland,NULL,Wetland,Built-up
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,NULL
50,NULL,Wetland,Water,Wetland,Grassland
51,NULL,Wetland,Water,Wetland,Wetland
52,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
53,NULL,Wetland,Water,Wetland,Water
54,NULL,Wetland,Water,Wetland,Forest
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
59,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
60,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
61,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
62,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
63,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
64,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
65,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Bareland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,NULL,Non_Wetland,Built-up
71,NULL,Bareland,NULL,Non_Wetland,Water
72,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
73,NULL,Bareland,NULL,Non_Wetland,Forest
74,NULL,Bareland,Non_Water,Non_Wetland,Grassland
75,NULL,Bareland,Non_Water,Non_Wetland,Wetland
76,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,Bareland,Non_Water,Non_Wetland,Bareland
78,NULL,Bareland,Non_Water,Non_Wetland,Built-up
79,NULL,Bareland,Non_Water,Non_Wetland,Water
80,NULL,Bareland,Non_Water,Non_Wetland,Forest
81,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,Bareland,Water,Non_Wetland,Wetland
83,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,Bareland,Water,Non_Wetland,Bareland
85,NULL,Bareland,Water,Non_Wetland,Water
86,NULL,Bareland,Water,Non_Wetland,Forest
87,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,Built-up,Non_Water,Non_Wetland,Forest
95,NULL,Built-up,Water,Non_Wetland,Water
96,NULL,Water,NULL,Water,NULL
97,NULL,Water,NULL,Water,Grassland
98,NULL,Water,NULL,Water,Wetland
99,NULL,Water,NULL,Water,Water
100,NULL,Water,NULL,Water,Forest
101,NULL,Water,Non_Water,Water,Grassland
102,NULL,Water,Non_Water,Water,Wetland
103,NULL,Water,Non_Water,Water,Forest
104,NULL,Water,Water,Water,NULL
105,NULL,Water,Water,Water,Grassland
106,NULL,Water,Water,Water,Wetland
107,NULL,Water,Water,Water,Lichens_and_Mosses
108,NULL,Water,Water,Water,Water
109,NULL,Water,Water,Water,Forest
110,NULL,Forest,NULL,Non_Wetland,NULL
111,NULL,Forest,NULL,Non_Wetland,Grassland
112,NULL,Forest,NULL,Non_Wetland,Wetland
113,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,Forest,NULL,Non_Wetland,Bareland
115,NULL,Forest,NULL,Non_Wetland,Built-up
116,NULL,Forest,NULL,Non_Wetland,Water
117,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,Forest,Non_Water,Non_Wetland,NULL
119,NULL,Forest,Non_Water,Non_Wetland,Grassland
120,NULL,Forest,Non_Water,Non_Wetland,Wetland
121,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Forest,Non_Water,Non_Wetland,Water
123,NULL,Forest,Non_Water,Non_Wetland,Forest
124,NULL,Forest,Water,Non_Wetland,NULL
125,NULL,Forest,Water,Non_Wetland,Grassland
126,NULL,Forest,Water,Non_Wetland,Wetland
127,NULL,Forest,Water,Non_Wetland,Bareland
128,NULL,Forest,Water,Non_Wetland,Water
129,NULL,Forest,Water,Non_Wetland,Forest
130,Cropland,NULL,NULL,Non_Wetland,NULL
131,Cropland,NULL,NULL,Non_Wetland,Grassland
132,Cropland,NULL,NULL,Non_Wetland,Wetland
133,Cropland,NULL,NULL,Non_Wetland,Forest
134,Cropland,NULL,Non_Water,Non_Wetland,Forest
135,Cropland,NULL,Water,Non_Wetland,Forest
136,Cropland,Shrubland,NULL,Non_Wetland,NULL
137,Cropland,Shrubland,NULL,Non_Wetland,Grassland
138,Cropland,Shrubland,NULL,Non_Wetland,Wetland
139,Cropland,Shrubland,NULL,Non_Wetland,Bareland
140,Cropland,Shrubland,NULL,Non_Wetland,Forest
141,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
142,Cropland,Shrubland,Water,Non_Wetland,Grassland
143,Cropland,Shrubland,Water,Non_Wetland,Forest
144,Cropland,Grassland,NULL,Non_Wetland,NULL
145,Cropland,Grassland,NULL,Non_Wetland,Grassland
146,Cropland,Grassland,NULL,Non_Wetland,Wetland
147,Cropland,Grassland,NULL,Non_Wetland,Forest
148,Cropland,Grassland,Water,Non_Wetland,Forest
149,Cropland,Wetland,NULL,Wetland,NULL
150,Cropland,Wetland,NULL,Wetland,Grassland
151,Cropland,Wetland,NULL,Wetland,Wetland
152,Cropland,Wetland,NULL,Wetland,Built-up
153,Cropland,Wetland,NULL,Wetland,Forest
154,Cropland,Wetland,Non_Water,Wetland,Grassland
155,Cropland,Wetland,Non_Water,Wetland,Wetland
156,Cropland,Wetland,Non_Water,Wetland,Forest
157,Cropland,Wetland,Water,Wetland,NULL
158,Cropland,Wetland,Water,Wetland,Grassland
159,Cropland,Wetland,Water,Wetland,Wetland
160,Cropland,Wetland,Water,Wetland,Forest
161,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
162,Cropland,Bareland,NULL,Non_Wetland,NULL
163,Cropland,Bareland,NULL,Non_Wetland,Grassland
164,Cropland,Bareland,NULL,Non_Wetland,Wetland
165,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
166,Cropland,Bareland,NULL,Non_Wetland,Bareland
167,Cropland,Bareland,NULL,Non_Wetland,Built-up
168,Cropland,Bareland,NULL,Non_Wetland,Water
169,Cropland,Bareland,NULL,Non_Wetland,Forest
170,Cropland,Bareland,Non_Water,Non_Wetland,Forest
171,Cropland,Bareland,Water,Non_Wetland,Bareland
172,Cropland,Bareland,Water,Non_Wetland,Forest
173,Cropland,Built-up,NULL,Non_Wetland,Grassland
174,Cropland,Built-up,NULL,Non_Wetland,Wetland
175,Cropland,Built-up,NULL,Non_Wetland,Built-up
176,Cropland,Built-up,NULL,Non_Wetland,Forest
177,Cropland,Water,NULL,Water,Grassland
178,Cropland,Water,NULL,Water,Wetland
179,Cropland,Water,Water,Water,Forest
180,Cropland,Forest,NULL,Non_Wetland,NULL
181,Cropland,Forest,NULL,Non_Wetland,Grassland
182,Cropland,Forest,NULL,Non_Wetland,Wetland
183,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
184,Cropland,Forest,NULL,Non_Wetland,Bareland
185,Cropland,Forest,NULL,Non_Wetland,Forest
186,Cropland,Forest,Non_Water,Non_Wetland,Grassland
187,Cropland,Forest,Non_Water,Non_Wetland,Forest
188,Cropland,Forest,Water,Non_Wetland,Grassland
189,Cropland,Forest,Water,Non_Wetland,Wetland
190,Cropland,Forest,Water,Non_Wetland,Forest
191,Wetland,NULL,NULL,Non_Wetland,NULL
192,Wetland,NULL,NULL,Non_Wetland,Grassland
193,Wetland,NULL,NULL,Non_Wetland,Wetland
194,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
195,Wetland,NULL,NULL,Non_Wetland,Bareland
196,Wetland,NULL,NULL,Non_Wetland,Built-up
197,Wetland,NULL,NULL,Non_Wetland,Water
198,Wetland,NULL,NULL,Non_Wetland,Forest
199,Wetland,NULL,Non_Water,Non_Wetland,Grassland
200,Wetland,NULL,Non_Water,Non_Wetland,Wetland
201,Wetland,NULL,Non_Water,Non_Wetland,Water
202,Wetland,NULL,Non_Water,Non_Wetland,Forest
203,Wetland,NULL,Water,Non_Wetland,Grassland
204,Wetland,NULL,Water,Non_Wetland,Wetland
205,Wetland,NULL,Water,Non_Wetland,Water
206,Wetland,NULL,Water,Non_Wetland,Forest
207,Wetland,Shrubland,NULL,Non_Wetland,NULL
208,Wetland,Shrubland,NULL,Non_Wetland,Grassland
209,Wetland,Shrubland,NULL,Non_Wetland,Wetland
210,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
211,Wetland,Shrubland,NULL,Non_Wetland,Bareland
212,Wetland,Shrubland,NULL,Non_Wetland,Built-up
213,Wetland,Shrubland,NULL,Non_Wetland,Water
214,Wetland,Shrubland,NULL,Non_Wetland,Forest
215,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
216,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
217,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
218,Wetland,Shrubland,Non_Water,Non_Wetland,Water
219,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
220,Wetland,Shrubland,Water,Non_Wetland,NULL
221,Wetland,Shrubland,Water,Non_Wetland,Grassland
222,Wetland,Shrubland,Water,Non_Wetland,Wetland
223,Wetland,Shrubland,Water,Non_Wetland,Water
224,Wetland,Shrubland,Water,Non_Wetland,Forest
225,Wetland,Grassland,NULL,Non_Wetland,NULL
226,Wetland,Grassland,NULL,Non_Wetland,Grassland
227,Wetland,Grassland,NULL,Non_Wetland,Wetland
228,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
229,Wetland,Grassland,NULL,Non_Wetland,Bareland
230,Wetland,Grassland,NULL,Non_Wetland,Built-up
231,Wetland,Grassland,NULL,Non_Wetland,Water
232,Wetland,Grassland,NULL,Non_Wetland,Forest
233,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
234,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
235,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
236,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
237,Wetland,Grassland,Non_Water,Non_Wetland,Water
238,Wetland,Grassland,Non_Water,Non_Wetland,Forest
239,Wetland,Grassland,Water,Non_Wetland,Grassland
240,Wetland,Grassland,Water,Non_Wetland,Wetland
241,Wetland,Grassland,Water,Non_Wetland,Built-up
242,Wetland,Grassland,Water,Non_Wetland,Water
243,Wetland,Grassland,Water,Non_Wetland,Forest
244,Wetland,Wetland,NULL,Wetland,NULL
245,Wetland,Wetland,NULL,Wetland,Grassland
246,Wetland,Wetland,NULL,Wetland,Wetland
247,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
248,Wetland,Wetland,NULL,Wetland,Bareland
249,Wetland,Wetland,NULL,Wetland,Built-up
250,Wetland,Wetland,NULL,Wetland,Water
251,Wetland,Wetland,NULL,Wetland,Forest
252,Wetland,Wetland,Non_Water,Wetland,NULL
253,Wetland,Wetland,Non_Water,Wetland,Grassland
254,Wetland,Wetland,Non_Water,Wetland,Wetland
255,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
256,Wetland,Wetland,Non_Water,Wetland,Built-up
257,Wetland,Wetland,Non_Water,Wetland,Water
258,Wetland,Wetland,Non_Water,Wetland,Forest
259,Wetland,Wetland,Water,Wetland,NULL
260,Wetland,Wetland,Water,Wetland,Grassland
261,Wetland,Wetland,Water,Wetland,Wetland
262,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
263,Wetland,Wetland,Water,Wetland,Bareland
264,Wetland,Wetland,Water,Wetland,Built-up
265,Wetland,Wetland,Water,Wetland,Water
