Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVM_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVM_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVM_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVM_M_R,SIBERIA_2024_WorldCover_2021_45WVM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
27,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,Grassland,Non_Water,Non_Wetland,Wetland
30,NULL,Grassland,Non_Water,Non_Wetland,Forest
31,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,Grassland,Water,Non_Wetland,Wetland
33,NULL,Grassland,Water,Non_Wetland,Forest
34,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,Cropland,NULL,Non_Wetland,Wetland
36,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,Wetland,NULL,Wetland,NULL
39,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Water
52,NULL,Wetland,Water,Wetland,Forest
53,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
57,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
58,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,Bareland,NULL,Non_Wetland,Wetland
61,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,Bareland,NULL,Non_Wetland,Forest
63,NULL,Bareland,Non_Water,Non_Wetland,Grassland
64,NULL,Bareland,Non_Water,Non_Wetland,Wetland
65,NULL,Bareland,Non_Water,Non_Wetland,Forest
66,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,Bareland,Water,Non_Wetland,Wetland
68,NULL,Bareland,Water,Non_Wetland,Forest
69,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,Built-up,NULL,Non_Wetland,Wetland
71,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Built-up,NULL,Non_Wetland,Forest
73,NULL,Built-up,Non_Water,Non_Wetland,Grassland
74,NULL,Built-up,Non_Water,Non_Wetland,Wetland
75,NULL,Built-up,Non_Water,Non_Wetland,Forest
76,NULL,Built-up,Water,Non_Wetland,Forest
77,NULL,Water,NULL,Water,Grassland
78,NULL,Water,NULL,Water,Wetland
79,NULL,Water,NULL,Water,Water
80,NULL,Water,NULL,Water,Forest
81,NULL,Water,Non_Water,Water,Wetland
82,NULL,Water,Water,Water,Grassland
83,NULL,Water,Water,Water,Wetland
84,NULL,Water,Water,Water,Water
85,NULL,Water,Water,Water,Forest
86,NULL,Forest,NULL,Non_Wetland,NULL
87,NULL,Forest,NULL,Non_Wetland,Grassland
88,NULL,Forest,NULL,Non_Wetland,Wetland
89,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Forest,NULL,Non_Wetland,Water
91,NULL,Forest,NULL,Non_Wetland,Forest
92,NULL,Forest,Non_Water,Non_Wetland,Grassland
93,NULL,Forest,Non_Water,Non_Wetland,Wetland
94,NULL,Forest,Non_Water,Non_Wetland,Forest
95,NULL,Forest,Water,Non_Wetland,Grassland
96,NULL,Forest,Water,Non_Wetland,Wetland
97,NULL,Forest,Water,Non_Wetland,Water
98,NULL,Forest,Water,Non_Wetland,Forest
99,Cropland,NULL,NULL,Non_Wetland,Grassland
100,Cropland,NULL,NULL,Non_Wetland,Forest
101,Cropland,Shrubland,NULL,Non_Wetland,Grassland
102,Cropland,Shrubland,NULL,Non_Wetland,Wetland
103,Cropland,Shrubland,NULL,Non_Wetland,Forest
104,Cropland,Grassland,NULL,Non_Wetland,Grassland
105,Cropland,Grassland,NULL,Non_Wetland,Forest
106,Cropland,Wetland,NULL,Wetland,NULL
107,Cropland,Wetland,NULL,Wetland,Grassland
108,Cropland,Wetland,NULL,Wetland,Wetland
109,Cropland,Wetland,NULL,Wetland,Forest
110,Cropland,Wetland,Non_Water,Wetland,Grassland
111,Cropland,Wetland,Non_Water,Wetland,Wetland
112,Cropland,Bareland,NULL,Non_Wetland,Grassland
113,Cropland,Bareland,NULL,Non_Wetland,Wetland
114,Cropland,Bareland,NULL,Non_Wetland,Forest
115,Cropland,Forest,NULL,Non_Wetland,NULL
116,Cropland,Forest,NULL,Non_Wetland,Grassland
117,Cropland,Forest,NULL,Non_Wetland,Wetland
118,Cropland,Forest,NULL,Non_Wetland,Forest
119,Wetland,NULL,NULL,Non_Wetland,NULL
120,Wetland,NULL,NULL,Non_Wetland,Grassland
121,Wetland,NULL,NULL,Non_Wetland,Wetland
122,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
123,Wetland,NULL,NULL,Non_Wetland,Water
124,Wetland,NULL,NULL,Non_Wetland,Forest
125,Wetland,NULL,Non_Water,Non_Wetland,Grassland
126,Wetland,NULL,Non_Water,Non_Wetland,Wetland
127,Wetland,NULL,Non_Water,Non_Wetland,Water
128,Wetland,NULL,Non_Water,Non_Wetland,Forest
129,Wetland,NULL,Water,Non_Wetland,Grassland
130,Wetland,NULL,Water,Non_Wetland,Wetland
131,Wetland,NULL,Water,Non_Wetland,Water
132,Wetland,NULL,Water,Non_Wetland,Forest
133,Wetland,Shrubland,NULL,Non_Wetland,NULL
134,Wetland,Shrubland,NULL,Non_Wetland,Grassland
135,Wetland,Shrubland,NULL,Non_Wetland,Wetland
136,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
137,Wetland,Shrubland,NULL,Non_Wetland,Water
138,Wetland,Shrubland,NULL,Non_Wetland,Forest
139,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
140,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
141,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
142,Wetland,Shrubland,Water,Non_Wetland,Grassland
143,Wetland,Shrubland,Water,Non_Wetland,Wetland
144,Wetland,Shrubland,Water,Non_Wetland,Water
145,Wetland,Shrubland,Water,Non_Wetland,Forest
146,Wetland,Grassland,NULL,Non_Wetland,NULL
147,Wetland,Grassland,NULL,Non_Wetland,Grassland
148,Wetland,Grassland,NULL,Non_Wetland,Wetland
149,Wetland,Grassland,NULL,Non_Wetland,Forest
150,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
151,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
152,Wetland,Grassland,Non_Water,Non_Wetland,Forest
153,Wetland,Grassland,Water,Non_Wetland,Grassland
154,Wetland,Grassland,Water,Non_Wetland,Wetland
155,Wetland,Grassland,Water,Non_Wetland,Forest
156,Wetland,Wetland,NULL,Wetland,NULL
157,Wetland,Wetland,NULL,Wetland,Grassland
158,Wetland,Wetland,NULL,Wetland,Wetland
159,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
160,Wetland,Wetland,NULL,Wetland,Water
161,Wetland,Wetland,NULL,Wetland,Forest
162,Wetland,Wetland,Non_Water,Wetland,NULL
163,Wetland,Wetland,Non_Water,Wetland,Grassland
164,Wetland,Wetland,Non_Water,Wetland,Wetland
165,Wetland,Wetland,Non_Water,Wetland,Water
166,Wetland,Wetland,Non_Water,Wetland,Forest
167,Wetland,Wetland,Water,Wetland,NULL
168,Wetland,Wetland,Water,Wetland,Grassland
169,Wetland,Wetland,Water,Wetland,Wetland
170,Wetland,Wetland,Water,Wetland,Water
171,Wetland,Wetland,Water,Wetland,Forest
172,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
173,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
174,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
175,Wetland,Bareland,NULL,Non_Wetland,NULL
176,Wetland,Bareland,NULL,Non_Wetland,Grassland
177,Wetland,Bareland,NULL,Non_Wetland,Wetland
178,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
179,Wetland,Bareland,NULL,Non_Wetland,Water
180,Wetland,Bareland,NULL,Non_Wetland,Forest
181,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
182,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
183,Wetland,Bareland,Non_Water,Non_Wetland,Water
184,Wetland,Bareland,Non_Water,Non_Wetland,Forest
185,Wetland,Bareland,Water,Non_Wetland,Grassland
186,Wetland,Bareland,Water,Non_Wetland,Wetland
187,Wetland,Bareland,Water,Non_Wetland,Water
188,Wetland,Bareland,Water,Non_Wetland,Forest
189,Wetland,Built-up,NULL,Non_Wetland,Grassland
190,Wetland,Built-up,NULL,Non_Wetland,Wetland
191,Wetland,Built-up,NULL,Non_Wetland,Water
192,Wetland,Built-up,NULL,Non_Wetland,Forest
193,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
194,Wetland,Built-up,Water,Non_Wetland,Wetland
195,Wetland,Built-up,Water,Non_Wetland,Forest
196,Wetland,Water,NULL,Water,Grassland
197,Wetland,Water,NULL,Water,Wetland
198,Wetland,Water,NULL,Water,Water
199,Wetland,Water,NULL,Water,Forest
200,Wetland,Water,Non_Water,Water,Grassland
201,Wetland,Water,Non_Water,Water,Wetland
202,Wetland,Water,Non_Water,Water,Water
203,Wetland,Water,Non_Water,Water,Forest
204,Wetland,Water,Water,Water,Grassland
205,Wetland,Water,Water,Water,Wetland
206,Wetland,Water,Water,Water,Water
207,Wetland,Water,Water,Water,Forest
208,Wetland,Forest,NULL,Non_Wetland,NULL
209,Wetland,Forest,NULL,Non_Wetland,Grassland
210,Wetland,Forest,NULL,Non_Wetland,Wetland
211,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
212,Wetland,Forest,NULL,Non_Wetland,Bareland
213,Wetland,Forest,NULL,Non_Wetland,Water
214,Wetland,Forest,NULL,Non_Wetland,Forest
215,Wetland,Forest,Non_Water,Non_Wetland,Grassland
216,Wetland,Forest,Non_Water,Non_Wetland,Wetland
217,Wetland,Forest,Non_Water,Non_Wetland,Water
218,Wetland,Forest,Non_Water,Non_Wetland,Forest
219,Wetland,Forest,Water,Non_Wetland,Grassland
220,Wetland,Forest,Water,Non_Wetland,Wetland
221,Wetland,Forest,Water,Non_Wetland,Water
222,Wetland,Forest,Water,Non_Wetland,Forest
223,Bareland,NULL,NULL,Non_Wetland,Grassland
224,Bareland,NULL,NULL,Non_Wetland,Wetland
225,Bareland,NULL,NULL,Non_Wetland,Water
226,Bareland,NULL,NULL,Non_Wetland,Forest
227,Bareland,NULL,Non_Water,Non_Wetland,Forest
228,Bareland,NULL,Water,Non_Wetland,Wetland
229,Bareland,NULL,Water,Non_Wetland,Forest
230,Bareland,Shrubland,NULL,Non_Wetland,Forest
231,Bareland,Grassland,NULL,Non_Wetland,Grassland
232,Bareland,Grassland,NULL,Non_Wetland,Forest
233,Bareland,Wetland,NULL,Wetland,Grassland
234,Bareland,Wetland,NULL,Wetland,Wetland
235,Bareland,Wetland,NULL,Wetland,Water
236,Bareland,Wetland,NULL,Wetland,Forest
237,Bareland,Wetland,Non_Water,Wetland,Forest
238,Bareland,Wetland,Water,Wetland,Grassland
239,Bareland,Wetland,Water,Wetland,Wetland
240,Bareland,Wetland,Water,Wetland,Water
241,Bareland,Wetland,Water,Wetland,Forest
242,Bareland,Bareland,NULL,Non_Wetland,Forest
243,Bareland,Water,NULL,Water,Wetland
244,Bareland,Water,NULL,Water,Water
245,Bareland,Water,NULL,Water,Forest
246,Bareland,Water,Non_Water,Water,Forest
247,Bareland,Water,Water,Water,Grassland
248,Bareland,Water,Water,Water,Wetland
249,Bareland,Water,Water,Water,Water
250,Bareland,Water,Water,Water,Forest
251,Bareland,Forest,NULL,Non_Wetland,Grassland
252,Bareland,Forest,NULL,Non_Wetland,Wetland
253,Bareland,Forest,NULL,Non_Wetland,Water
254,Bareland,Forest,NULL,Non_Wetland,Forest
255,Bareland,Forest,Non_Water,Non_Wetland,Water
256,Bareland,Forest,Non_Water,Non_Wetland,Forest
257,Bareland,Forest,Water,Non_Wetland,Grassland
258,Bareland,Forest,Water,Non_Wetland,Wetland
259,Bareland,Forest,Water,Non_Wetland,Water
260,Bareland,Forest,Water,Non_Wetland,Forest
261,Water,NULL,NULL,Non_Wetland,Grassland
262,Water,NULL,NULL,Non_Wetland,Wetland
263,Water,NULL,NULL,Non_Wetland,Water
264,Water,NULL,NULL,Non_Wetland,Forest
265,Water,NULL,Non_Water,Non_Wetland,Grassland
266,Water,NULL,Non_Water,Non_Wetland,Wetland
267,Water,NULL,Non_Water,Non_Wetland,Water
268,Water,NULL,Non_Water,Non_Wetland,Forest
269,Water,NULL,Water,Non_Wetland,Grassland
270,Water,NULL,Water,Non_Wetland,Wetland
271,Water,NULL,Water,Non_Wetland,Water
