Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,SIBERIA_2024_WorldCover_2021_45WWM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Grassland,Water,Non_Wetland,Water
43,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Non_Water,Wetland,Water
57,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,Wetland,Water,Wetland,Grassland
59,NULL,Wetland,Water,Wetland,Wetland
60,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Water,Wetland,Bareland
62,NULL,Wetland,Water,Wetland,Water
63,NULL,Wetland,Water,Wetland,Forest
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
73,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,Bareland,NULL,Non_Wetland,Water
79,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Bareland,Non_Water,Non_Wetland,Bareland
84,NULL,Bareland,Non_Water,Non_Wetland,Water
85,NULL,Bareland,Non_Water,Non_Wetland,Forest
86,NULL,Bareland,Water,Non_Wetland,Grassland
87,NULL,Bareland,Water,Non_Wetland,Wetland
88,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,Water,Non_Wetland,Bareland
90,NULL,Bareland,Water,Non_Wetland,Water
91,NULL,Bareland,Water,Non_Wetland,Forest
92,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Built-up,NULL,Non_Wetland,Wetland
94,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Built-up,NULL,Non_Wetland,Forest
97,NULL,Built-up,Non_Water,Non_Wetland,Wetland
98,NULL,Built-up,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,Water,Non_Wetland,Wetland
100,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Built-up,Water,Non_Wetland,Bareland
102,NULL,Built-up,Water,Non_Wetland,Water
103,NULL,Built-up,Water,Non_Wetland,Forest
104,NULL,Water,NULL,Water,Grassland
105,NULL,Water,NULL,Water,Wetland
106,NULL,Water,NULL,Water,Lichens_and_Mosses
107,NULL,Water,NULL,Water,Bareland
108,NULL,Water,NULL,Water,Water
109,NULL,Water,NULL,Water,Forest
110,NULL,Water,Non_Water,Water,Wetland
111,NULL,Water,Non_Water,Water,Water
112,NULL,Water,Water,Water,Grassland
113,NULL,Water,Water,Water,Wetland
114,NULL,Water,Water,Water,Lichens_and_Mosses
115,NULL,Water,Water,Water,Bareland
116,NULL,Water,Water,Water,Water
117,NULL,Water,Water,Water,Forest
118,NULL,Forest,NULL,Non_Wetland,NULL
119,NULL,Forest,NULL,Non_Wetland,Grassland
120,NULL,Forest,NULL,Non_Wetland,Wetland
121,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
122,NULL,Forest,NULL,Non_Wetland,Bareland
123,NULL,Forest,NULL,Non_Wetland,Water
124,NULL,Forest,NULL,Non_Wetland,Forest
125,NULL,Forest,Non_Water,Non_Wetland,Grassland
126,NULL,Forest,Non_Water,Non_Wetland,Wetland
127,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
128,NULL,Forest,Non_Water,Non_Wetland,Bareland
129,NULL,Forest,Non_Water,Non_Wetland,Water
130,NULL,Forest,Non_Water,Non_Wetland,Forest
131,NULL,Forest,Water,Non_Wetland,Grassland
132,NULL,Forest,Water,Non_Wetland,Wetland
133,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
134,NULL,Forest,Water,Non_Wetland,Water
135,NULL,Forest,Water,Non_Wetland,Forest
136,Cropland,NULL,NULL,Non_Wetland,Grassland
137,Cropland,NULL,NULL,Non_Wetland,Wetland
138,Cropland,NULL,NULL,Non_Wetland,Forest
139,Cropland,Shrubland,NULL,Non_Wetland,Grassland
140,Cropland,Shrubland,NULL,Non_Wetland,Wetland
141,Cropland,Shrubland,NULL,Non_Wetland,Forest
142,Cropland,Grassland,NULL,Non_Wetland,Grassland
143,Cropland,Wetland,NULL,Wetland,NULL
144,Cropland,Wetland,NULL,Wetland,Grassland
145,Cropland,Wetland,NULL,Wetland,Wetland
146,Cropland,Wetland,NULL,Wetland,Forest
147,Cropland,Wetland,Non_Water,Wetland,Grassland
148,Cropland,Wetland,Non_Water,Wetland,Wetland
149,Cropland,Wetland,Water,Wetland,Wetland
150,Cropland,Wetland,Water,Wetland,Forest
151,Cropland,Bareland,NULL,Non_Wetland,Grassland
152,Cropland,Bareland,NULL,Non_Wetland,Wetland
153,Cropland,Bareland,NULL,Non_Wetland,Bareland
154,Cropland,Bareland,NULL,Non_Wetland,Forest
155,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
156,Cropland,Bareland,Water,Non_Wetland,Bareland
157,Cropland,Forest,NULL,Non_Wetland,NULL
158,Cropland,Forest,NULL,Non_Wetland,Grassland
159,Cropland,Forest,NULL,Non_Wetland,Wetland
160,Cropland,Forest,NULL,Non_Wetland,Forest
161,Cropland,Forest,Non_Water,Non_Wetland,Wetland
162,Wetland,NULL,NULL,Non_Wetland,NULL
163,Wetland,NULL,NULL,Non_Wetland,Grassland
164,Wetland,NULL,NULL,Non_Wetland,Wetland
165,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
166,Wetland,NULL,NULL,Non_Wetland,Water
167,Wetland,NULL,NULL,Non_Wetland,Forest
168,Wetland,NULL,Non_Water,Non_Wetland,Wetland
169,Wetland,NULL,Non_Water,Non_Wetland,Water
170,Wetland,NULL,Non_Water,Non_Wetland,Forest
171,Wetland,NULL,Water,Non_Wetland,Grassland
172,Wetland,NULL,Water,Non_Wetland,Wetland
173,Wetland,NULL,Water,Non_Wetland,Water
174,Wetland,NULL,Water,Non_Wetland,Forest
175,Wetland,Shrubland,NULL,Non_Wetland,NULL
176,Wetland,Shrubland,NULL,Non_Wetland,Grassland
177,Wetland,Shrubland,NULL,Non_Wetland,Wetland
178,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
179,Wetland,Shrubland,NULL,Non_Wetland,Water
180,Wetland,Shrubland,NULL,Non_Wetland,Forest
181,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
182,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
183,Wetland,Shrubland,Non_Water,Non_Wetland,Water
184,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
185,Wetland,Shrubland,Water,Non_Wetland,Grassland
186,Wetland,Shrubland,Water,Non_Wetland,Wetland
187,Wetland,Shrubland,Water,Non_Wetland,Water
188,Wetland,Shrubland,Water,Non_Wetland,Forest
189,Wetland,Grassland,NULL,Non_Wetland,NULL
190,Wetland,Grassland,NULL,Non_Wetland,Grassland
191,Wetland,Grassland,NULL,Non_Wetland,Wetland
192,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
193,Wetland,Grassland,NULL,Non_Wetland,Water
194,Wetland,Grassland,NULL,Non_Wetland,Forest
195,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
196,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
197,Wetland,Grassland,Non_Water,Non_Wetland,Forest
198,Wetland,Grassland,Water,Non_Wetland,Grassland
199,Wetland,Grassland,Water,Non_Wetland,Wetland
200,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Grassland,Water,Non_Wetland,Water
202,Wetland,Grassland,Water,Non_Wetland,Forest
203,Wetland,Wetland,NULL,Wetland,NULL
204,Wetland,Wetland,NULL,Wetland,Grassland
205,Wetland,Wetland,NULL,Wetland,Wetland
206,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
207,Wetland,Wetland,NULL,Wetland,Water
208,Wetland,Wetland,NULL,Wetland,Forest
209,Wetland,Wetland,Non_Water,Wetland,Grassland
210,Wetland,Wetland,Non_Water,Wetland,Wetland
211,Wetland,Wetland,Non_Water,Wetland,Water
212,Wetland,Wetland,Non_Water,Wetland,Forest
213,Wetland,Wetland,Water,Wetland,Grassland
214,Wetland,Wetland,Water,Wetland,Wetland
215,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
216,Wetland,Wetland,Water,Wetland,Bareland
217,Wetland,Wetland,Water,Wetland,Water
218,Wetland,Wetland,Water,Wetland,Forest
219,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
220,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
221,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
222,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
223,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
224,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
225,Wetland,Bareland,NULL,Non_Wetland,NULL
226,Wetland,Bareland,NULL,Non_Wetland,Grassland
227,Wetland,Bareland,NULL,Non_Wetland,Wetland
228,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
229,Wetland,Bareland,NULL,Non_Wetland,Bareland
230,Wetland,Bareland,NULL,Non_Wetland,Water
231,Wetland,Bareland,NULL,Non_Wetland,Forest
232,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
233,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
234,Wetland,Bareland,Non_Water,Non_Wetland,Water
235,Wetland,Bareland,Non_Water,Non_Wetland,Forest
236,Wetland,Bareland,Water,Non_Wetland,Grassland
237,Wetland,Bareland,Water,Non_Wetland,Wetland
238,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
239,Wetland,Bareland,Water,Non_Wetland,Bareland
240,Wetland,Bareland,Water,Non_Wetland,Water
241,Wetland,Bareland,Water,Non_Wetland,Forest
242,Wetland,Built-up,NULL,Non_Wetland,Grassland
243,Wetland,Built-up,NULL,Non_Wetland,Wetland
244,Wetland,Built-up,NULL,Non_Wetland,Water
245,Wetland,Built-up,NULL,Non_Wetland,Forest
246,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
247,Wetland,Built-up,Non_Water,Non_Wetland,Forest
248,Wetland,Built-up,Water,Non_Wetland,Wetland
249,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
250,Wetland,Built-up,Water,Non_Wetland,Water
251,Wetland,Built-up,Water,Non_Wetland,Forest
252,Wetland,Water,NULL,Water,Grassland
253,Wetland,Water,NULL,Water,Wetland
254,Wetland,Water,NULL,Water,Lichens_and_Mosses
255,Wetland,Water,NULL,Water,Water
256,Wetland,Water,NULL,Water,Forest
257,Wetland,Water,Non_Water,Water,Wetland
258,Wetland,Water,Non_Water,Water,Water
259,Wetland,Water,Non_Water,Water,Forest
260,Wetland,Water,Water,Water,Grassland
261,Wetland,Water,Water,Water,Wetland
262,Wetland,Water,Water,Water,Lichens_and_Mosses
263,Wetland,Water,Water,Water,Bareland
