Value,SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,SIBERIA_2024_WorldCover_2021_42WXD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
7,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Water
14,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
21,NULL,NULL,Grassland,Water,Non_Wetland,Water
22,NULL,NULL,Wetland,NULL,NULL,NULL
23,NULL,NULL,Wetland,NULL,NULL,Water
24,NULL,NULL,Wetland,NULL,Wetland,Grassland
25,NULL,NULL,Wetland,NULL,Wetland,Wetland
26,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
27,NULL,NULL,Wetland,NULL,Wetland,Bareland
28,NULL,NULL,Wetland,NULL,Wetland,Water
29,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
30,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
31,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
32,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
33,NULL,NULL,Wetland,Non_Water,Wetland,Water
34,NULL,NULL,Wetland,Water,NULL,Water
35,NULL,NULL,Wetland,Water,Wetland,Grassland
36,NULL,NULL,Wetland,Water,Wetland,Wetland
37,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
38,NULL,NULL,Wetland,Water,Wetland,Bareland
39,NULL,NULL,Wetland,Water,Wetland,Water
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
49,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
51,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
52,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
53,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Water
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
64,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
66,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,Water
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
80,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
82,NULL,NULL,Water,NULL,NULL,NULL
83,NULL,NULL,Water,NULL,NULL,Bareland
84,NULL,NULL,Water,NULL,NULL,Water
85,NULL,NULL,Water,NULL,Water,Grassland
86,NULL,NULL,Water,NULL,Water,Wetland
87,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
88,NULL,NULL,Water,NULL,Water,Bareland
89,NULL,NULL,Water,NULL,Water,Water
90,NULL,NULL,Water,Non_Water,NULL,Bareland
91,NULL,NULL,Water,Non_Water,Water,Grassland
92,NULL,NULL,Water,Non_Water,Water,Wetland
93,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
94,NULL,NULL,Water,Non_Water,Water,Bareland
95,NULL,NULL,Water,Non_Water,Water,Water
96,NULL,NULL,Water,Water,NULL,Water
97,NULL,NULL,Water,Water,Water,Grassland
98,NULL,NULL,Water,Water,Water,Wetland
99,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
100,NULL,NULL,Water,Water,Water,Bareland
101,NULL,NULL,Water,Water,Water,Water
102,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Wetland
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
106,NULL,NULL,Forest,Water,Non_Wetland,Wetland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
119,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
122,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
123,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
124,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
125,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
127,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
128,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
130,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
131,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
132,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
133,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
134,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
135,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
136,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
137,NULL,Wetland,Grassland,Water,Non_Wetland,Water
138,NULL,Wetland,Wetland,NULL,NULL,Wetland
139,NULL,Wetland,Wetland,NULL,NULL,Bareland
140,NULL,Wetland,Wetland,NULL,NULL,Water
141,NULL,Wetland,Wetland,NULL,Wetland,Grassland
142,NULL,Wetland,Wetland,NULL,Wetland,Wetland
143,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
144,NULL,Wetland,Wetland,NULL,Wetland,Bareland
145,NULL,Wetland,Wetland,NULL,Wetland,Water
146,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
147,NULL,Wetland,Wetland,Non_Water,NULL,Bareland
148,NULL,Wetland,Wetland,Non_Water,NULL,Water
149,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
150,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
151,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
152,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
153,NULL,Wetland,Wetland,Non_Water,Wetland,Water
154,NULL,Wetland,Wetland,Water,NULL,Bareland
155,NULL,Wetland,Wetland,Water,NULL,Water
156,NULL,Wetland,Wetland,Water,Wetland,Grassland
157,NULL,Wetland,Wetland,Water,Wetland,Wetland
158,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
159,NULL,Wetland,Wetland,Water,Wetland,Bareland
160,NULL,Wetland,Wetland,Water,Wetland,Water
161,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
162,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
163,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
164,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
165,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
166,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
167,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
168,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
169,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
170,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
171,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
172,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
173,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
174,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
175,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
176,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
178,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
179,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
180,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
181,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
182,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
183,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
184,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
185,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
