Value,SIBERIA_2024_ESA_CALU_2024_45XWB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XWB_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XWB_M_R,SIBERIA_2024_GSW_Yearly_2021_45XWB_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XWB_M_R,SIBERIA_2024_WorldCover_2021_45XWB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,NULL,Wetland,NULL,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,NULL,Wetland,NULL,Wetland,Water
53,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
55,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
56,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
57,NULL,NULL,Wetland,Non_Water,Wetland,Water
58,NULL,NULL,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Wetland
60,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
61,NULL,NULL,Wetland,Water,Wetland,Bareland
62,NULL,NULL,Wetland,Water,Wetland,Water
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Water
86,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
97,NULL,NULL,Bareland,Water,Non_Wetland,Water
98,NULL,NULL,Bareland,Water,Non_Wetland,Forest
99,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Water
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
108,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
109,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,Water
112,NULL,NULL,Water,NULL,Water,Grassland
