Value,SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,SIBERIA_2024_WorldCover_2021_42WXE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Water
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Water
18,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,Water,Non_Wetland,Water
28,NULL,NULL,Wetland,NULL,NULL,NULL
29,NULL,NULL,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,NULL,NULL,Wetland
31,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
32,NULL,NULL,Wetland,NULL,NULL,Bareland
33,NULL,NULL,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,NULL,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Wetland
36,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
37,NULL,NULL,Wetland,NULL,Wetland,Bareland
38,NULL,NULL,Wetland,NULL,Wetland,Built-up
39,NULL,NULL,Wetland,NULL,Wetland,Water
