Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,SIBERIA_2024_WorldCover_2021_41VPF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Cropland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,Cropland,NULL,Non_Wetland,Water
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,Cropland,Non_Water,Non_Wetland,Wetland
44,NULL,Cropland,Non_Water,Non_Wetland,Bareland
45,NULL,Cropland,Non_Water,Non_Wetland,Water
46,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,Cropland,Water,Non_Wetland,Wetland
49,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,Cropland,Water,Non_Wetland,Water
51,NULL,Wetland,NULL,Wetland,NULL
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Water
56,NULL,Wetland,NULL,Wetland,Forest
57,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Cropland
60,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Cropland
65,NULL,Wetland,Water,Wetland,Wetland
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,Bareland,NULL,Non_Wetland,Water
78,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,Bareland,Non_Water,Non_Wetland,Cropland
81,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,Bareland,Non_Water,Non_Wetland,Water
84,NULL,Bareland,Non_Water,Non_Wetland,Forest
85,NULL,Bareland,Water,Non_Wetland,Grassland
86,NULL,Bareland,Water,Non_Wetland,Wetland
87,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,Built-up,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,Non_Wetland,Cropland
91,NULL,Built-up,NULL,Non_Wetland,Wetland
92,NULL,Built-up,NULL,Non_Wetland,Bareland
93,NULL,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Built-up,NULL,Non_Wetland,Water
95,NULL,Built-up,NULL,Non_Wetland,Forest
96,NULL,Built-up,Non_Water,Non_Wetland,Grassland
97,NULL,Built-up,Non_Water,Non_Wetland,Wetland
98,NULL,Built-up,Non_Water,Non_Wetland,Built-up
99,NULL,Built-up,Non_Water,Non_Wetland,Forest
100,NULL,Built-up,Water,Non_Wetland,Grassland
101,NULL,Built-up,Water,Non_Wetland,Wetland
102,NULL,Built-up,Water,Non_Wetland,Bareland
103,NULL,Built-up,Water,Non_Wetland,Built-up
104,NULL,Built-up,Water,Non_Wetland,Water
105,NULL,Built-up,Water,Non_Wetland,Forest
106,NULL,Water,NULL,Water,Grassland
107,NULL,Water,NULL,Water,Wetland
108,NULL,Water,NULL,Water,Bareland
109,NULL,Water,NULL,Water,Water
110,NULL,Water,NULL,Water,Forest
111,NULL,Water,Non_Water,Water,Grassland
112,NULL,Water,Non_Water,Water,Wetland
113,NULL,Water,Non_Water,Water,Water
114,NULL,Water,Water,Water,NULL
115,NULL,Water,Water,Water,Grassland
116,NULL,Water,Water,Water,Wetland
117,NULL,Water,Water,Water,Bareland
118,NULL,Water,Water,Water,Water
119,NULL,Water,Water,Water,Forest
120,NULL,Forest,NULL,Non_Wetland,NULL
121,NULL,Forest,NULL,Non_Wetland,Grassland
122,NULL,Forest,NULL,Non_Wetland,Cropland
123,NULL,Forest,NULL,Non_Wetland,Wetland
124,NULL,Forest,NULL,Non_Wetland,Bareland
125,NULL,Forest,NULL,Non_Wetland,Built-up
126,NULL,Forest,NULL,Non_Wetland,Water
127,NULL,Forest,NULL,Non_Wetland,Forest
128,NULL,Forest,Non_Water,Non_Wetland,NULL
129,NULL,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,Forest,Non_Water,Non_Wetland,Cropland
131,NULL,Forest,Non_Water,Non_Wetland,Wetland
132,NULL,Forest,Non_Water,Non_Wetland,Forest
133,NULL,Forest,Water,Non_Wetland,Grassland
134,NULL,Forest,Water,Non_Wetland,Cropland
135,NULL,Forest,Water,Non_Wetland,Wetland
136,NULL,Forest,Water,Non_Wetland,Water
137,NULL,Forest,Water,Non_Wetland,Forest
138,Cropland,NULL,NULL,Non_Wetland,NULL
139,Cropland,NULL,NULL,Non_Wetland,Grassland
140,Cropland,NULL,NULL,Non_Wetland,Cropland
141,Cropland,NULL,NULL,Non_Wetland,Wetland
142,Cropland,NULL,NULL,Non_Wetland,Forest
143,Cropland,Shrubland,NULL,Non_Wetland,Grassland
144,Cropland,Shrubland,NULL,Non_Wetland,Cropland
145,Cropland,Shrubland,NULL,Non_Wetland,Wetland
146,Cropland,Shrubland,NULL,Non_Wetland,Built-up
147,Cropland,Shrubland,NULL,Non_Wetland,Forest
148,Cropland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Grassland,NULL,Non_Wetland,Cropland
150,Cropland,Grassland,NULL,Non_Wetland,Wetland
151,Cropland,Grassland,NULL,Non_Wetland,Forest
152,Cropland,Cropland,NULL,Non_Wetland,NULL
153,Cropland,Cropland,NULL,Non_Wetland,Grassland
154,Cropland,Cropland,NULL,Non_Wetland,Cropland
155,Cropland,Cropland,NULL,Non_Wetland,Wetland
156,Cropland,Cropland,NULL,Non_Wetland,Built-up
157,Cropland,Cropland,NULL,Non_Wetland,Water
158,Cropland,Cropland,NULL,Non_Wetland,Forest
159,Cropland,Wetland,NULL,Wetland,NULL
160,Cropland,Wetland,NULL,Wetland,Grassland
161,Cropland,Wetland,NULL,Wetland,Wetland
162,Cropland,Wetland,NULL,Wetland,Forest
163,Cropland,Bareland,NULL,Non_Wetland,NULL
164,Cropland,Bareland,NULL,Non_Wetland,Grassland
165,Cropland,Bareland,NULL,Non_Wetland,Cropland
166,Cropland,Bareland,NULL,Non_Wetland,Wetland
167,Cropland,Bareland,NULL,Non_Wetland,Built-up
168,Cropland,Bareland,NULL,Non_Wetland,Forest
169,Cropland,Built-up,NULL,Non_Wetland,Grassland
170,Cropland,Built-up,NULL,Non_Wetland,Cropland
171,Cropland,Built-up,NULL,Non_Wetland,Wetland
172,Cropland,Built-up,NULL,Non_Wetland,Built-up
173,Cropland,Built-up,NULL,Non_Wetland,Forest
174,Cropland,Forest,NULL,Non_Wetland,NULL
175,Cropland,Forest,NULL,Non_Wetland,Grassland
176,Cropland,Forest,NULL,Non_Wetland,Cropland
177,Cropland,Forest,NULL,Non_Wetland,Wetland
178,Cropland,Forest,NULL,Non_Wetland,Built-up
179,Cropland,Forest,NULL,Non_Wetland,Forest
180,Wetland,NULL,NULL,Non_Wetland,Grassland
181,Wetland,NULL,NULL,Non_Wetland,Wetland
182,Wetland,NULL,NULL,Non_Wetland,Forest
183,Wetland,NULL,Non_Water,Non_Wetland,Grassland
184,Wetland,NULL,Non_Water,Non_Wetland,Cropland
185,Wetland,NULL,Non_Water,Non_Wetland,Wetland
186,Wetland,NULL,Non_Water,Non_Wetland,Forest
187,Wetland,NULL,Water,Non_Wetland,Cropland
188,Wetland,NULL,Water,Non_Wetland,Forest
189,Wetland,Shrubland,NULL,Non_Wetland,Grassland
190,Wetland,Shrubland,NULL,Non_Wetland,Cropland
191,Wetland,Shrubland,NULL,Non_Wetland,Wetland
192,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,Wetland,Cropland,NULL,Non_Wetland,Grassland
196,Wetland,Cropland,NULL,Non_Wetland,Cropland
197,Wetland,Cropland,NULL,Non_Wetland,Wetland
198,Wetland,Cropland,NULL,Non_Wetland,Forest
199,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
200,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
201,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
202,Wetland,Cropland,Water,Non_Wetland,Grassland
203,Wetland,Wetland,NULL,Wetland,NULL
204,Wetland,Wetland,NULL,Wetland,Grassland
205,Wetland,Wetland,NULL,Wetland,Cropland
206,Wetland,Wetland,NULL,Wetland,Wetland
207,Wetland,Wetland,NULL,Wetland,Water
208,Wetland,Wetland,NULL,Wetland,Forest
209,Wetland,Wetland,Non_Water,Wetland,NULL
210,Wetland,Wetland,Non_Water,Wetland,Grassland
211,Wetland,Wetland,Non_Water,Wetland,Cropland
212,Wetland,Wetland,Non_Water,Wetland,Wetland
213,Wetland,Wetland,Non_Water,Wetland,Water
214,Wetland,Wetland,Non_Water,Wetland,Forest
215,Wetland,Wetland,Water,Wetland,Grassland
216,Wetland,Wetland,Water,Wetland,Cropland
217,Wetland,Wetland,Water,Wetland,Wetland
218,Wetland,Wetland,Water,Wetland,Water
219,Wetland,Wetland,Water,Wetland,Forest
220,Wetland,Bareland,NULL,Non_Wetland,NULL
221,Wetland,Bareland,NULL,Non_Wetland,Grassland
222,Wetland,Bareland,NULL,Non_Wetland,Wetland
223,Wetland,Bareland,NULL,Non_Wetland,Water
224,Wetland,Bareland,NULL,Non_Wetland,Forest
225,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
226,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
227,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
228,Wetland,Bareland,Non_Water,Non_Wetland,Forest
229,Wetland,Bareland,Water,Non_Wetland,Grassland
230,Wetland,Bareland,Water,Non_Wetland,Cropland
231,Wetland,Bareland,Water,Non_Wetland,Wetland
232,Wetland,Bareland,Water,Non_Wetland,Water
233,Wetland,Bareland,Water,Non_Wetland,Forest
234,Wetland,Built-up,NULL,Non_Wetland,Grassland
235,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
236,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
237,Wetland,Water,NULL,Water,NULL
238,Wetland,Water,NULL,Water,Grassland
239,Wetland,Water,NULL,Water,Wetland
240,Wetland,Water,NULL,Water,Water
241,Wetland,Water,NULL,Water,Forest
242,Wetland,Water,Non_Water,Water,Grassland
243,Wetland,Water,Non_Water,Water,Wetland
244,Wetland,Water,Non_Water,Water,Water
245,Wetland,Water,Water,Water,Grassland
246,Wetland,Water,Water,Water,Wetland
247,Wetland,Water,Water,Water,Water
248,Wetland,Water,Water,Water,Forest
249,Wetland,Forest,NULL,Non_Wetland,NULL
250,Wetland,Forest,NULL,Non_Wetland,Grassland
251,Wetland,Forest,NULL,Non_Wetland,Cropland
252,Wetland,Forest,NULL,Non_Wetland,Wetland
253,Wetland,Forest,NULL,Non_Wetland,Water
254,Wetland,Forest,NULL,Non_Wetland,Forest
255,Wetland,Forest,Non_Water,Non_Wetland,Grassland
256,Wetland,Forest,Non_Water,Non_Wetland,Cropland
257,Wetland,Forest,Non_Water,Non_Wetland,Wetland
258,Wetland,Forest,Non_Water,Non_Wetland,Water
259,Wetland,Forest,Non_Water,Non_Wetland,Forest
260,Wetland,Forest,Water,Non_Wetland,NULL
261,Wetland,Forest,Water,Non_Wetland,Grassland
262,Wetland,Forest,Water,Non_Wetland,Cropland
263,Wetland,Forest,Water,Non_Wetland,Wetland
264,Wetland,Forest,Water,Non_Wetland,Water
265,Wetland,Forest,Water,Non_Wetland,Forest
266,Bareland,Bareland,NULL,Non_Wetland,Grassland
267,Bareland,Bareland,NULL,Non_Wetland,Bareland
268,Bareland,Bareland,NULL,Non_Wetland,Built-up
269,Bareland,Built-up,NULL,Non_Wetland,Bareland
270,Bareland,Built-up,NULL,Non_Wetland,Forest
271,Built-up,NULL,NULL,Non_Wetland,Grassland
272,Built-up,NULL,NULL,Non_Wetland,Cropland
273,Built-up,NULL,NULL,Non_Wetland,Wetland
