Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMQ_M_R,SIBERIA_2024_WorldCover_2021_44VMQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,NULL
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
49,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,Wetland,NULL,Wetland,NULL
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
57,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,NULL
68,NULL,Wetland,Water,Wetland,Grassland
69,NULL,Wetland,Water,Wetland,Wetland
70,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,Wetland,Water,Wetland,Bareland
72,NULL,Wetland,Water,Wetland,Water
73,NULL,Wetland,Water,Wetland,Forest
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Bareland,NULL,Non_Wetland,Built-up
92,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,NULL
95,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,Bareland,Non_Water,Non_Wetland,Built-up
100,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,Bareland,Non_Water,Non_Wetland,Forest
102,NULL,Bareland,Water,Non_Wetland,NULL
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Built-up
108,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,Built-up,NULL,Non_Wetland,NULL
111,NULL,Built-up,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,Non_Wetland,Cropland
113,NULL,Built-up,NULL,Non_Wetland,Wetland
114,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
115,NULL,Built-up,NULL,Non_Wetland,Bareland
116,NULL,Built-up,NULL,Non_Wetland,Built-up
117,NULL,Built-up,NULL,Non_Wetland,Water
118,NULL,Built-up,NULL,Non_Wetland,Forest
119,NULL,Built-up,Non_Water,Non_Wetland,NULL
120,NULL,Built-up,Non_Water,Non_Wetland,Grassland
121,NULL,Built-up,Non_Water,Non_Wetland,Wetland
122,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
123,NULL,Built-up,Non_Water,Non_Wetland,Bareland
124,NULL,Built-up,Non_Water,Non_Wetland,Built-up
125,NULL,Built-up,Non_Water,Non_Wetland,Water
126,NULL,Built-up,Non_Water,Non_Wetland,Forest
127,NULL,Built-up,Water,Non_Wetland,Grassland
128,NULL,Built-up,Water,Non_Wetland,Wetland
129,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
130,NULL,Built-up,Water,Non_Wetland,Bareland
131,NULL,Built-up,Water,Non_Wetland,Built-up
132,NULL,Built-up,Water,Non_Wetland,Water
133,NULL,Built-up,Water,Non_Wetland,Forest
134,NULL,Water,NULL,Water,NULL
135,NULL,Water,NULL,Water,Grassland
136,NULL,Water,NULL,Water,Wetland
137,NULL,Water,NULL,Water,Lichens_and_Mosses
138,NULL,Water,NULL,Water,Bareland
139,NULL,Water,NULL,Water,Water
140,NULL,Water,NULL,Water,Forest
141,NULL,Water,Non_Water,Water,Wetland
142,NULL,Water,Non_Water,Water,Water
143,NULL,Water,Non_Water,Water,Forest
144,NULL,Water,Water,Water,NULL
145,NULL,Water,Water,Water,Grassland
146,NULL,Water,Water,Water,Wetland
147,NULL,Water,Water,Water,Lichens_and_Mosses
148,NULL,Water,Water,Water,Bareland
149,NULL,Water,Water,Water,Water
150,NULL,Water,Water,Water,Forest
151,NULL,Forest,NULL,Non_Wetland,NULL
152,NULL,Forest,NULL,Non_Wetland,Grassland
153,NULL,Forest,NULL,Non_Wetland,Wetland
154,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
155,NULL,Forest,NULL,Non_Wetland,Bareland
156,NULL,Forest,NULL,Non_Wetland,Built-up
157,NULL,Forest,NULL,Non_Wetland,Water
158,NULL,Forest,NULL,Non_Wetland,Forest
159,NULL,Forest,Non_Water,Non_Wetland,NULL
160,NULL,Forest,Non_Water,Non_Wetland,Grassland
161,NULL,Forest,Non_Water,Non_Wetland,Wetland
162,NULL,Forest,Non_Water,Non_Wetland,Water
163,NULL,Forest,Non_Water,Non_Wetland,Forest
164,NULL,Forest,Water,Non_Wetland,NULL
165,NULL,Forest,Water,Non_Wetland,Grassland
166,NULL,Forest,Water,Non_Wetland,Wetland
167,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
168,NULL,Forest,Water,Non_Wetland,Bareland
169,NULL,Forest,Water,Non_Wetland,Water
170,NULL,Forest,Water,Non_Wetland,Forest
171,Cropland,NULL,NULL,Non_Wetland,Grassland
172,Cropland,NULL,NULL,Non_Wetland,Wetland
173,Cropland,NULL,NULL,Non_Wetland,Forest
174,Cropland,NULL,Water,Non_Wetland,Wetland
175,Cropland,Shrubland,NULL,Non_Wetland,NULL
176,Cropland,Shrubland,NULL,Non_Wetland,Grassland
177,Cropland,Shrubland,NULL,Non_Wetland,Wetland
178,Cropland,Shrubland,NULL,Non_Wetland,Forest
179,Cropland,Grassland,NULL,Non_Wetland,Grassland
180,Cropland,Grassland,NULL,Non_Wetland,Wetland
181,Cropland,Wetland,NULL,Wetland,NULL
182,Cropland,Wetland,NULL,Wetland,Grassland
183,Cropland,Wetland,NULL,Wetland,Wetland
184,Cropland,Wetland,NULL,Wetland,Water
185,Cropland,Wetland,NULL,Wetland,Forest
186,Cropland,Wetland,Non_Water,Wetland,NULL
187,Cropland,Wetland,Non_Water,Wetland,Grassland
188,Cropland,Wetland,Non_Water,Wetland,Wetland
189,Cropland,Wetland,Non_Water,Wetland,Forest
190,Cropland,Wetland,Water,Wetland,Grassland
191,Cropland,Wetland,Water,Wetland,Wetland
192,Cropland,Wetland,Water,Wetland,Forest
193,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
194,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
195,Cropland,Bareland,NULL,Non_Wetland,NULL
196,Cropland,Bareland,NULL,Non_Wetland,Grassland
197,Cropland,Bareland,NULL,Non_Wetland,Wetland
198,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
199,Cropland,Bareland,NULL,Non_Wetland,Bareland
200,Cropland,Bareland,NULL,Non_Wetland,Built-up
201,Cropland,Bareland,NULL,Non_Wetland,Water
202,Cropland,Bareland,NULL,Non_Wetland,Forest
203,Cropland,Bareland,Non_Water,Non_Wetland,Forest
204,Cropland,Bareland,Water,Non_Wetland,Wetland
205,Cropland,Bareland,Water,Non_Wetland,Water
206,Cropland,Bareland,Water,Non_Wetland,Forest
207,Cropland,Built-up,NULL,Non_Wetland,NULL
208,Cropland,Built-up,NULL,Non_Wetland,Wetland
209,Cropland,Built-up,NULL,Non_Wetland,Water
210,Cropland,Built-up,NULL,Non_Wetland,Forest
211,Cropland,Water,NULL,Water,Wetland
212,Cropland,Water,NULL,Water,Water
213,Cropland,Water,Non_Water,Water,Wetland
214,Cropland,Water,Water,Water,Wetland
215,Cropland,Water,Water,Water,Water
216,Cropland,Water,Water,Water,Forest
217,Cropland,Forest,NULL,Non_Wetland,NULL
218,Cropland,Forest,NULL,Non_Wetland,Grassland
219,Cropland,Forest,NULL,Non_Wetland,Wetland
220,Cropland,Forest,NULL,Non_Wetland,Bareland
221,Cropland,Forest,NULL,Non_Wetland,Forest
222,Cropland,Forest,Non_Water,Non_Wetland,Grassland
223,Cropland,Forest,Non_Water,Non_Wetland,Forest
224,Cropland,Forest,Water,Non_Wetland,Grassland
225,Cropland,Forest,Water,Non_Wetland,Wetland
226,Cropland,Forest,Water,Non_Wetland,Forest
227,Wetland,NULL,NULL,Non_Wetland,NULL
228,Wetland,NULL,NULL,Non_Wetland,Grassland
229,Wetland,NULL,NULL,Non_Wetland,Wetland
230,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
231,Wetland,NULL,NULL,Non_Wetland,Bareland
232,Wetland,NULL,NULL,Non_Wetland,Water
233,Wetland,NULL,NULL,Non_Wetland,Forest
234,Wetland,NULL,Non_Water,Non_Wetland,Grassland
235,Wetland,NULL,Non_Water,Non_Wetland,Wetland
236,Wetland,NULL,Non_Water,Non_Wetland,Water
237,Wetland,NULL,Non_Water,Non_Wetland,Forest
238,Wetland,NULL,Water,Non_Wetland,Grassland
239,Wetland,NULL,Water,Non_Wetland,Wetland
240,Wetland,NULL,Water,Non_Wetland,Water
241,Wetland,NULL,Water,Non_Wetland,Forest
242,Wetland,Shrubland,NULL,Non_Wetland,NULL
243,Wetland,Shrubland,NULL,Non_Wetland,Grassland
244,Wetland,Shrubland,NULL,Non_Wetland,Wetland
245,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Shrubland,NULL,Non_Wetland,Bareland
247,Wetland,Shrubland,NULL,Non_Wetland,Built-up
248,Wetland,Shrubland,NULL,Non_Wetland,Water
249,Wetland,Shrubland,NULL,Non_Wetland,Forest
250,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
251,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
252,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
253,Wetland,Shrubland,Non_Water,Non_Wetland,Water
254,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
255,Wetland,Shrubland,Water,Non_Wetland,NULL
256,Wetland,Shrubland,Water,Non_Wetland,Grassland
257,Wetland,Shrubland,Water,Non_Wetland,Wetland
258,Wetland,Shrubland,Water,Non_Wetland,Water
259,Wetland,Shrubland,Water,Non_Wetland,Forest
260,Wetland,Grassland,NULL,Non_Wetland,NULL
261,Wetland,Grassland,NULL,Non_Wetland,Grassland
262,Wetland,Grassland,NULL,Non_Wetland,Wetland
263,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
264,Wetland,Grassland,NULL,Non_Wetland,Bareland
265,Wetland,Grassland,NULL,Non_Wetland,Forest
