Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMR_M_R,SIBERIA_2024_WorldCover_2021_44VMR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Bareland
31,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Grassland,Water,Non_Wetland,Forest
43,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,Wetland,NULL,Wetland,NULL
50,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,Wetland,NULL,Wetland,Built-up
55,NULL,Wetland,NULL,Wetland,Water
56,NULL,Wetland,NULL,Wetland,Forest
57,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,Wetland,Water,Wetland,NULL
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Bareland,NULL,Non_Wetland,NULL
79,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Non_Water,Non_Wetland,NULL
87,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,Bareland,Non_Water,Non_Wetland,Forest
92,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,Bareland,Water,Non_Wetland,Water
97,NULL,Bareland,Water,Non_Wetland,Forest
98,NULL,Built-up,NULL,Non_Wetland,NULL
99,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Non_Water,Non_Wetland,Bareland
108,NULL,Built-up,Non_Water,Non_Wetland,Forest
109,NULL,Built-up,Water,Non_Wetland,Grassland
110,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,Built-up,Water,Non_Wetland,Water
113,NULL,Built-up,Water,Non_Wetland,Forest
114,NULL,Water,NULL,Water,Grassland
115,NULL,Water,NULL,Water,Wetland
116,NULL,Water,NULL,Water,Lichens_and_Mosses
117,NULL,Water,NULL,Water,Water
118,NULL,Water,NULL,Water,Forest
119,NULL,Water,Non_Water,Water,Grassland
120,NULL,Water,Non_Water,Water,Wetland
121,NULL,Water,Non_Water,Water,Water
122,NULL,Water,Non_Water,Water,Forest
123,NULL,Water,Water,Water,NULL
124,NULL,Water,Water,Water,Grassland
125,NULL,Water,Water,Water,Wetland
126,NULL,Water,Water,Water,Lichens_and_Mosses
127,NULL,Water,Water,Water,Bareland
128,NULL,Water,Water,Water,Water
129,NULL,Water,Water,Water,Forest
130,NULL,Forest,NULL,Non_Wetland,NULL
131,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,Forest,NULL,Non_Wetland,Bareland
135,NULL,Forest,NULL,Non_Wetland,Built-up
136,NULL,Forest,NULL,Non_Wetland,Water
137,NULL,Forest,NULL,Non_Wetland,Forest
138,NULL,Forest,Non_Water,Non_Wetland,NULL
139,NULL,Forest,Non_Water,Non_Wetland,Grassland
140,NULL,Forest,Non_Water,Non_Wetland,Wetland
141,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,Non_Water,Non_Wetland,Forest
143,NULL,Forest,Water,Non_Wetland,NULL
144,NULL,Forest,Water,Non_Wetland,Grassland
145,NULL,Forest,Water,Non_Wetland,Wetland
146,NULL,Forest,Water,Non_Wetland,Bareland
147,NULL,Forest,Water,Non_Wetland,Water
148,NULL,Forest,Water,Non_Wetland,Forest
149,Cropland,NULL,NULL,Non_Wetland,NULL
150,Cropland,NULL,NULL,Non_Wetland,Grassland
151,Cropland,NULL,NULL,Non_Wetland,Wetland
152,Cropland,NULL,NULL,Non_Wetland,Forest
153,Cropland,NULL,Non_Water,Non_Wetland,Wetland
154,Cropland,Shrubland,NULL,Non_Wetland,NULL
155,Cropland,Shrubland,NULL,Non_Wetland,Grassland
156,Cropland,Shrubland,NULL,Non_Wetland,Wetland
157,Cropland,Shrubland,NULL,Non_Wetland,Forest
158,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
159,Cropland,Shrubland,Water,Non_Wetland,Wetland
160,Cropland,Grassland,NULL,Non_Wetland,Grassland
161,Cropland,Grassland,NULL,Non_Wetland,Wetland
162,Cropland,Grassland,NULL,Non_Wetland,Bareland
163,Cropland,Grassland,NULL,Non_Wetland,Forest
164,Cropland,Wetland,NULL,Wetland,NULL
165,Cropland,Wetland,NULL,Wetland,Grassland
166,Cropland,Wetland,NULL,Wetland,Wetland
167,Cropland,Wetland,NULL,Wetland,Bareland
168,Cropland,Wetland,NULL,Wetland,Forest
169,Cropland,Wetland,Non_Water,Wetland,Grassland
170,Cropland,Wetland,Non_Water,Wetland,Wetland
171,Cropland,Wetland,Non_Water,Wetland,Forest
172,Cropland,Wetland,Water,Wetland,Wetland
173,Cropland,Bareland,NULL,Non_Wetland,NULL
174,Cropland,Bareland,NULL,Non_Wetland,Grassland
175,Cropland,Bareland,NULL,Non_Wetland,Wetland
176,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
177,Cropland,Bareland,NULL,Non_Wetland,Bareland
178,Cropland,Bareland,NULL,Non_Wetland,Built-up
179,Cropland,Bareland,NULL,Non_Wetland,Forest
180,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
181,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
182,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
183,Cropland,Bareland,Water,Non_Wetland,Wetland
184,Cropland,Built-up,NULL,Non_Wetland,Wetland
185,Cropland,Built-up,NULL,Non_Wetland,Built-up
186,Cropland,Water,NULL,Water,Grassland
187,Cropland,Water,NULL,Water,Wetland
188,Cropland,Water,Water,Water,Wetland
189,Cropland,Forest,NULL,Non_Wetland,NULL
190,Cropland,Forest,NULL,Non_Wetland,Grassland
191,Cropland,Forest,NULL,Non_Wetland,Wetland
192,Cropland,Forest,NULL,Non_Wetland,Bareland
193,Cropland,Forest,NULL,Non_Wetland,Built-up
194,Cropland,Forest,NULL,Non_Wetland,Forest
195,Cropland,Forest,Non_Water,Non_Wetland,Wetland
196,Cropland,Forest,Non_Water,Non_Wetland,Forest
197,Cropland,Forest,Water,Non_Wetland,Forest
198,Wetland,NULL,NULL,Non_Wetland,NULL
199,Wetland,NULL,NULL,Non_Wetland,Grassland
200,Wetland,NULL,NULL,Non_Wetland,Wetland
201,Wetland,NULL,NULL,Non_Wetland,Water
202,Wetland,NULL,NULL,Non_Wetland,Forest
203,Wetland,NULL,Non_Water,Non_Wetland,Grassland
204,Wetland,NULL,Non_Water,Non_Wetland,Wetland
205,Wetland,NULL,Non_Water,Non_Wetland,Forest
206,Wetland,NULL,Water,Non_Wetland,Grassland
207,Wetland,NULL,Water,Non_Wetland,Wetland
208,Wetland,NULL,Water,Non_Wetland,Water
209,Wetland,NULL,Water,Non_Wetland,Forest
210,Wetland,Shrubland,NULL,Non_Wetland,NULL
211,Wetland,Shrubland,NULL,Non_Wetland,Grassland
212,Wetland,Shrubland,NULL,Non_Wetland,Wetland
213,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
214,Wetland,Shrubland,NULL,Non_Wetland,Bareland
215,Wetland,Shrubland,NULL,Non_Wetland,Built-up
216,Wetland,Shrubland,NULL,Non_Wetland,Water
217,Wetland,Shrubland,NULL,Non_Wetland,Forest
218,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
219,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
220,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
221,Wetland,Shrubland,Non_Water,Non_Wetland,Water
222,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
223,Wetland,Shrubland,Water,Non_Wetland,Grassland
224,Wetland,Shrubland,Water,Non_Wetland,Wetland
225,Wetland,Shrubland,Water,Non_Wetland,Water
226,Wetland,Shrubland,Water,Non_Wetland,Forest
227,Wetland,Grassland,NULL,Non_Wetland,NULL
228,Wetland,Grassland,NULL,Non_Wetland,Grassland
229,Wetland,Grassland,NULL,Non_Wetland,Wetland
230,Wetland,Grassland,NULL,Non_Wetland,Forest
231,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
232,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
233,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
234,Wetland,Grassland,Non_Water,Non_Wetland,Forest
235,Wetland,Grassland,Water,Non_Wetland,Grassland
236,Wetland,Grassland,Water,Non_Wetland,Wetland
237,Wetland,Grassland,Water,Non_Wetland,Water
238,Wetland,Cropland,NULL,Non_Wetland,Wetland
239,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
240,Wetland,Cropland,NULL,Non_Wetland,Forest
241,Wetland,Wetland,NULL,Wetland,NULL
242,Wetland,Wetland,NULL,Wetland,Grassland
243,Wetland,Wetland,NULL,Wetland,Wetland
244,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
245,Wetland,Wetland,NULL,Wetland,Bareland
246,Wetland,Wetland,NULL,Wetland,Built-up
247,Wetland,Wetland,NULL,Wetland,Water
248,Wetland,Wetland,NULL,Wetland,Forest
249,Wetland,Wetland,Non_Water,Wetland,NULL
250,Wetland,Wetland,Non_Water,Wetland,Grassland
251,Wetland,Wetland,Non_Water,Wetland,Wetland
252,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,Non_Water,Wetland,Water
254,Wetland,Wetland,Non_Water,Wetland,Forest
255,Wetland,Wetland,Water,Wetland,NULL
256,Wetland,Wetland,Water,Wetland,Grassland
257,Wetland,Wetland,Water,Wetland,Wetland
258,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
259,Wetland,Wetland,Water,Wetland,Bareland
260,Wetland,Wetland,Water,Wetland,Built-up
261,Wetland,Wetland,Water,Wetland,Water
262,Wetland,Wetland,Water,Wetland,Forest
263,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
264,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
