Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEH_M_R,SIBERIA_2024_WorldCover_2021_43VEH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Bareland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Built-up
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,Grassland,Non_Water,Non_Wetland,Built-up
43,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,Grassland,Water,Non_Wetland,Bareland
47,NULL,Grassland,Water,Non_Wetland,Water
48,NULL,Grassland,Water,Non_Wetland,Forest
49,NULL,Wetland,NULL,Wetland,NULL
50,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,Wetland,NULL,Wetland,Built-up
55,NULL,Wetland,NULL,Wetland,Water
56,NULL,Wetland,NULL,Wetland,Forest
57,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Built-up
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,NULL
64,NULL,Wetland,Water,Wetland,Grassland
65,NULL,Wetland,Water,Wetland,Wetland
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Built-up
68,NULL,Wetland,Water,Wetland,Water
69,NULL,Wetland,Water,Wetland,Forest
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
80,NULL,Bareland,NULL,Non_Wetland,NULL
81,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,Bareland,NULL,Non_Wetland,Built-up
86,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,Bareland,Non_Water,Non_Wetland,Built-up
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Built-up
100,NULL,Bareland,Water,Non_Wetland,Water
101,NULL,Bareland,Water,Non_Wetland,Forest
102,NULL,Built-up,NULL,Non_Wetland,NULL
103,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,Non_Wetland,Wetland
105,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,Built-up,Non_Water,Non_Wetland,Built-up
115,NULL,Built-up,Non_Water,Non_Wetland,Forest
116,NULL,Built-up,Water,Non_Wetland,Grassland
117,NULL,Built-up,Water,Non_Wetland,Wetland
118,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Built-up,Water,Non_Wetland,Bareland
120,NULL,Built-up,Water,Non_Wetland,Built-up
121,NULL,Built-up,Water,Non_Wetland,Forest
122,NULL,Water,NULL,Water,NULL
123,NULL,Water,NULL,Water,Grassland
124,NULL,Water,NULL,Water,Wetland
125,NULL,Water,NULL,Water,Lichens_and_Mosses
126,NULL,Water,NULL,Water,Bareland
127,NULL,Water,NULL,Water,Built-up
128,NULL,Water,NULL,Water,Water
129,NULL,Water,NULL,Water,Forest
130,NULL,Water,Non_Water,Water,NULL
131,NULL,Water,Non_Water,Water,Grassland
132,NULL,Water,Non_Water,Water,Wetland
133,NULL,Water,Non_Water,Water,Lichens_and_Mosses
134,NULL,Water,Non_Water,Water,Water
135,NULL,Water,Non_Water,Water,Forest
136,NULL,Water,Water,Water,NULL
137,NULL,Water,Water,Water,Grassland
138,NULL,Water,Water,Water,Wetland
139,NULL,Water,Water,Water,Lichens_and_Mosses
140,NULL,Water,Water,Water,Bareland
141,NULL,Water,Water,Water,Built-up
142,NULL,Water,Water,Water,Water
143,NULL,Water,Water,Water,Forest
144,NULL,Forest,NULL,Non_Wetland,NULL
145,NULL,Forest,NULL,Non_Wetland,Grassland
146,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Forest,NULL,Non_Wetland,Bareland
149,NULL,Forest,NULL,Non_Wetland,Built-up
150,NULL,Forest,NULL,Non_Wetland,Water
151,NULL,Forest,NULL,Non_Wetland,Forest
152,NULL,Forest,Non_Water,Non_Wetland,NULL
153,NULL,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,Forest,Non_Water,Non_Wetland,Bareland
156,NULL,Forest,Non_Water,Non_Wetland,Built-up
157,NULL,Forest,Non_Water,Non_Wetland,Water
158,NULL,Forest,Non_Water,Non_Wetland,Forest
159,NULL,Forest,Water,Non_Wetland,NULL
160,NULL,Forest,Water,Non_Wetland,Grassland
161,NULL,Forest,Water,Non_Wetland,Wetland
162,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Forest,Water,Non_Wetland,Bareland
164,NULL,Forest,Water,Non_Wetland,Water
165,NULL,Forest,Water,Non_Wetland,Forest
166,Cropland,NULL,NULL,Non_Wetland,NULL
167,Cropland,NULL,NULL,Non_Wetland,Grassland
168,Cropland,NULL,NULL,Non_Wetland,Wetland
169,Cropland,NULL,NULL,Non_Wetland,Forest
170,Cropland,NULL,Water,Non_Wetland,Wetland
171,Cropland,NULL,Water,Non_Wetland,Forest
172,Cropland,Shrubland,NULL,Non_Wetland,NULL
173,Cropland,Shrubland,NULL,Non_Wetland,Grassland
174,Cropland,Shrubland,NULL,Non_Wetland,Wetland
175,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
176,Cropland,Shrubland,NULL,Non_Wetland,Bareland
177,Cropland,Shrubland,NULL,Non_Wetland,Built-up
178,Cropland,Shrubland,NULL,Non_Wetland,Forest
179,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
180,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
181,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
182,Cropland,Shrubland,Water,Non_Wetland,Wetland
183,Cropland,Shrubland,Water,Non_Wetland,Forest
184,Cropland,Grassland,NULL,Non_Wetland,NULL
185,Cropland,Grassland,NULL,Non_Wetland,Grassland
186,Cropland,Grassland,NULL,Non_Wetland,Wetland
187,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
188,Cropland,Grassland,NULL,Non_Wetland,Bareland
189,Cropland,Grassland,NULL,Non_Wetland,Built-up
190,Cropland,Grassland,NULL,Non_Wetland,Forest
191,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
192,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
193,Cropland,Grassland,Non_Water,Non_Wetland,Forest
194,Cropland,Grassland,Water,Non_Wetland,Grassland
195,Cropland,Grassland,Water,Non_Wetland,Wetland
196,Cropland,Wetland,NULL,Wetland,NULL
197,Cropland,Wetland,NULL,Wetland,Grassland
198,Cropland,Wetland,NULL,Wetland,Wetland
199,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
200,Cropland,Wetland,NULL,Wetland,Built-up
201,Cropland,Wetland,NULL,Wetland,Water
202,Cropland,Wetland,NULL,Wetland,Forest
203,Cropland,Wetland,Non_Water,Wetland,Grassland
204,Cropland,Wetland,Non_Water,Wetland,Wetland
205,Cropland,Wetland,Non_Water,Wetland,Forest
206,Cropland,Wetland,Water,Wetland,Grassland
207,Cropland,Wetland,Water,Wetland,Wetland
208,Cropland,Wetland,Water,Wetland,Water
209,Cropland,Wetland,Water,Wetland,Forest
210,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
211,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
212,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
213,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
214,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Forest
215,Cropland,Bareland,NULL,Non_Wetland,NULL
216,Cropland,Bareland,NULL,Non_Wetland,Grassland
217,Cropland,Bareland,NULL,Non_Wetland,Wetland
218,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
219,Cropland,Bareland,NULL,Non_Wetland,Bareland
220,Cropland,Bareland,NULL,Non_Wetland,Built-up
221,Cropland,Bareland,NULL,Non_Wetland,Water
222,Cropland,Bareland,NULL,Non_Wetland,Forest
223,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
224,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
225,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
226,Cropland,Bareland,Non_Water,Non_Wetland,Water
227,Cropland,Bareland,Non_Water,Non_Wetland,Forest
228,Cropland,Bareland,Water,Non_Wetland,Grassland
229,Cropland,Bareland,Water,Non_Wetland,Wetland
230,Cropland,Bareland,Water,Non_Wetland,Bareland
231,Cropland,Bareland,Water,Non_Wetland,Built-up
232,Cropland,Bareland,Water,Non_Wetland,Water
233,Cropland,Bareland,Water,Non_Wetland,Forest
234,Cropland,Built-up,NULL,Non_Wetland,NULL
235,Cropland,Built-up,NULL,Non_Wetland,Grassland
236,Cropland,Built-up,NULL,Non_Wetland,Wetland
237,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
238,Cropland,Built-up,NULL,Non_Wetland,Bareland
239,Cropland,Built-up,NULL,Non_Wetland,Built-up
240,Cropland,Built-up,NULL,Non_Wetland,Forest
241,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
242,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
243,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
244,Cropland,Built-up,Non_Water,Non_Wetland,Forest
245,Cropland,Built-up,Water,Non_Wetland,Built-up
246,Cropland,Water,NULL,Water,Wetland
247,Cropland,Water,NULL,Water,Bareland
248,Cropland,Water,NULL,Water,Water
249,Cropland,Water,NULL,Water,Forest
250,Cropland,Water,Non_Water,Water,Wetland
251,Cropland,Water,Water,Water,NULL
252,Cropland,Water,Water,Water,Wetland
253,Cropland,Water,Water,Water,Water
254,Cropland,Water,Water,Water,Forest
255,Cropland,Forest,NULL,Non_Wetland,NULL
256,Cropland,Forest,NULL,Non_Wetland,Grassland
257,Cropland,Forest,NULL,Non_Wetland,Wetland
258,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
259,Cropland,Forest,NULL,Non_Wetland,Bareland
260,Cropland,Forest,NULL,Non_Wetland,Built-up
261,Cropland,Forest,NULL,Non_Wetland,Water
262,Cropland,Forest,NULL,Non_Wetland,Forest
263,Cropland,Forest,Non_Water,Non_Wetland,Grassland
264,Cropland,Forest,Non_Water,Non_Wetland,Wetland
265,Cropland,Forest,Non_Water,Non_Wetland,Water
