Value,SIBERIA_2024_ESA_CALU_2024_42WXC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,SIBERIA_2024_WorldCover_2021_42WXC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
33,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,Forest
37,NULL,NULL,Wetland,NULL,NULL,NULL
38,NULL,NULL,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
40,NULL,NULL,Wetland,NULL,NULL,Bareland
41,NULL,NULL,Wetland,NULL,NULL,Water
42,NULL,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
45,NULL,NULL,Wetland,NULL,Wetland,Bareland
46,NULL,NULL,Wetland,NULL,Wetland,Water
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,NULL,Wetland
49,NULL,NULL,Wetland,Non_Water,NULL,Bareland
50,NULL,NULL,Wetland,Non_Water,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,NULL,Wetland,Water,NULL,Wetland
58,NULL,NULL,Wetland,Water,NULL,Bareland
59,NULL,NULL,Wetland,Water,NULL,Water
60,NULL,NULL,Wetland,Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Wetland
62,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
63,NULL,NULL,Wetland,Water,Wetland,Bareland
64,NULL,NULL,Wetland,Water,Wetland,Water
65,NULL,NULL,Wetland,Water,Wetland,Forest
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,NULL,Built-up,NULL,Non_Wetland,Water
107,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
