Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,SIBERIA_2024_WorldCover_2021_45VVF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Cropland
43,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
49,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,Cropland,Non_Water,Non_Wetland,Cropland
54,NULL,Cropland,Non_Water,Non_Wetland,Wetland
55,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
56,NULL,Cropland,Non_Water,Non_Wetland,Forest
57,NULL,Cropland,Water,Non_Wetland,Grassland
58,NULL,Cropland,Water,Non_Wetland,Cropland
59,NULL,Cropland,Water,Non_Wetland,Wetland
60,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
61,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,Cropland,Water,Non_Wetland,Forest
63,NULL,Wetland,NULL,Wetland,NULL
64,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,Wetland,NULL,Wetland,Cropland
66,NULL,Wetland,NULL,Wetland,Wetland
67,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
68,NULL,Wetland,NULL,Wetland,Bareland
69,NULL,Wetland,NULL,Wetland,Built-up
70,NULL,Wetland,NULL,Wetland,Water
71,NULL,Wetland,NULL,Wetland,Forest
72,NULL,Wetland,Non_Water,Wetland,NULL
73,NULL,Wetland,Non_Water,Wetland,Grassland
74,NULL,Wetland,Non_Water,Wetland,Cropland
75,NULL,Wetland,Non_Water,Wetland,Wetland
76,NULL,Wetland,Non_Water,Wetland,Water
77,NULL,Wetland,Non_Water,Wetland,Forest
78,NULL,Wetland,Water,Wetland,NULL
79,NULL,Wetland,Water,Wetland,Grassland
80,NULL,Wetland,Water,Wetland,Cropland
81,NULL,Wetland,Water,Wetland,Wetland
82,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
83,NULL,Wetland,Water,Wetland,Water
84,NULL,Wetland,Water,Wetland,Forest
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
92,NULL,Bareland,NULL,Non_Wetland,NULL
93,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,Bareland,NULL,Non_Wetland,Cropland
95,NULL,Bareland,NULL,Non_Wetland,Wetland
96,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,NULL,Non_Wetland,Bareland
98,NULL,Bareland,NULL,Non_Wetland,Built-up
99,NULL,Bareland,NULL,Non_Wetland,Water
100,NULL,Bareland,NULL,Non_Wetland,Forest
101,NULL,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,Bareland,Non_Water,Non_Wetland,Cropland
103,NULL,Bareland,Non_Water,Non_Wetland,Wetland
104,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Bareland,Non_Water,Non_Wetland,Forest
106,NULL,Bareland,Water,Non_Wetland,Grassland
107,NULL,Bareland,Water,Non_Wetland,Cropland
108,NULL,Bareland,Water,Non_Wetland,Wetland
109,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Water,Non_Wetland,Bareland
111,NULL,Bareland,Water,Non_Wetland,Water
112,NULL,Bareland,Water,Non_Wetland,Forest
113,NULL,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Built-up,NULL,Non_Wetland,Wetland
115,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,NULL,Non_Wetland,Bareland
117,NULL,Built-up,NULL,Non_Wetland,Built-up
118,NULL,Built-up,NULL,Non_Wetland,Forest
119,NULL,Built-up,Non_Water,Non_Wetland,Wetland
120,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Water,Non_Wetland,Cropland
123,NULL,Built-up,Water,Non_Wetland,Wetland
124,NULL,Built-up,Water,Non_Wetland,Forest
125,NULL,Water,NULL,Water,Grassland
126,NULL,Water,NULL,Water,Wetland
127,NULL,Water,NULL,Water,Water
128,NULL,Water,NULL,Water,Forest
129,NULL,Water,Non_Water,Water,Wetland
130,NULL,Water,Water,Water,Grassland
131,NULL,Water,Water,Water,Cropland
132,NULL,Water,Water,Water,Wetland
133,NULL,Water,Water,Water,Water
134,NULL,Water,Water,Water,Forest
135,NULL,Forest,NULL,Non_Wetland,NULL
136,NULL,Forest,NULL,Non_Wetland,Grassland
137,NULL,Forest,NULL,Non_Wetland,Cropland
138,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Forest,NULL,Non_Wetland,Bareland
141,NULL,Forest,NULL,Non_Wetland,Built-up
142,NULL,Forest,NULL,Non_Wetland,Water
143,NULL,Forest,NULL,Non_Wetland,Forest
144,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Non_Water,Non_Wetland,Cropland
146,NULL,Forest,Non_Water,Non_Wetland,Wetland
147,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Cropland
150,NULL,Forest,Water,Non_Wetland,Wetland
151,NULL,Forest,Water,Non_Wetland,Water
152,NULL,Forest,Water,Non_Wetland,Forest
153,Cropland,NULL,NULL,Non_Wetland,NULL
154,Cropland,NULL,NULL,Non_Wetland,Grassland
155,Cropland,NULL,NULL,Non_Wetland,Wetland
156,Cropland,NULL,NULL,Non_Wetland,Forest
157,Cropland,Shrubland,NULL,Non_Wetland,Forest
158,Cropland,Grassland,NULL,Non_Wetland,Forest
159,Cropland,Cropland,NULL,Non_Wetland,Grassland
160,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
161,Cropland,Cropland,NULL,Non_Wetland,Bareland
162,Cropland,Cropland,NULL,Non_Wetland,Forest
163,Cropland,Wetland,NULL,Wetland,NULL
164,Cropland,Wetland,NULL,Wetland,Grassland
165,Cropland,Wetland,NULL,Wetland,Wetland
166,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
167,Cropland,Wetland,NULL,Wetland,Forest
168,Cropland,Wetland,Water,Wetland,Wetland
169,Cropland,Bareland,NULL,Non_Wetland,NULL
170,Cropland,Bareland,NULL,Non_Wetland,Grassland
171,Cropland,Bareland,NULL,Non_Wetland,Wetland
172,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
173,Cropland,Bareland,NULL,Non_Wetland,Bareland
174,Cropland,Bareland,NULL,Non_Wetland,Forest
175,Cropland,Built-up,NULL,Non_Wetland,Forest
176,Cropland,Water,Water,Water,Wetland
177,Cropland,Water,Water,Water,Water
178,Cropland,Forest,NULL,Non_Wetland,NULL
179,Cropland,Forest,NULL,Non_Wetland,Grassland
180,Cropland,Forest,NULL,Non_Wetland,Wetland
181,Cropland,Forest,NULL,Non_Wetland,Forest
182,Wetland,NULL,NULL,Non_Wetland,NULL
183,Wetland,NULL,NULL,Non_Wetland,Grassland
184,Wetland,NULL,NULL,Non_Wetland,Wetland
185,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
186,Wetland,NULL,NULL,Non_Wetland,Water
187,Wetland,NULL,NULL,Non_Wetland,Forest
188,Wetland,NULL,Non_Water,Non_Wetland,Grassland
189,Wetland,NULL,Non_Water,Non_Wetland,Wetland
190,Wetland,NULL,Non_Water,Non_Wetland,Bareland
191,Wetland,NULL,Non_Water,Non_Wetland,Water
192,Wetland,NULL,Non_Water,Non_Wetland,Forest
193,Wetland,NULL,Water,Non_Wetland,Grassland
194,Wetland,NULL,Water,Non_Wetland,Cropland
195,Wetland,NULL,Water,Non_Wetland,Wetland
196,Wetland,NULL,Water,Non_Wetland,Water
197,Wetland,NULL,Water,Non_Wetland,Forest
198,Wetland,Shrubland,NULL,Non_Wetland,Grassland
199,Wetland,Shrubland,NULL,Non_Wetland,Wetland
200,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,NULL,Non_Wetland,Forest
202,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
203,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
204,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
205,Wetland,Shrubland,Water,Non_Wetland,Grassland
206,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
207,Wetland,Shrubland,Water,Non_Wetland,Bareland
208,Wetland,Shrubland,Water,Non_Wetland,Water
209,Wetland,Shrubland,Water,Non_Wetland,Forest
210,Wetland,Grassland,NULL,Non_Wetland,Grassland
211,Wetland,Grassland,NULL,Non_Wetland,Cropland
212,Wetland,Grassland,NULL,Non_Wetland,Wetland
213,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
214,Wetland,Grassland,NULL,Non_Wetland,Bareland
215,Wetland,Grassland,NULL,Non_Wetland,Water
216,Wetland,Grassland,NULL,Non_Wetland,Forest
217,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
218,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
219,Wetland,Grassland,Non_Water,Non_Wetland,Water
220,Wetland,Grassland,Non_Water,Non_Wetland,Forest
221,Wetland,Grassland,Water,Non_Wetland,Grassland
222,Wetland,Grassland,Water,Non_Wetland,Cropland
223,Wetland,Grassland,Water,Non_Wetland,Wetland
224,Wetland,Grassland,Water,Non_Wetland,Bareland
225,Wetland,Grassland,Water,Non_Wetland,Water
226,Wetland,Grassland,Water,Non_Wetland,Forest
227,Wetland,Cropland,NULL,Non_Wetland,Grassland
228,Wetland,Cropland,NULL,Non_Wetland,Cropland
229,Wetland,Cropland,NULL,Non_Wetland,Wetland
230,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
231,Wetland,Cropland,NULL,Non_Wetland,Bareland
232,Wetland,Cropland,NULL,Non_Wetland,Water
233,Wetland,Cropland,NULL,Non_Wetland,Forest
234,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
235,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
236,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
237,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
238,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
239,Wetland,Cropland,Non_Water,Non_Wetland,Water
240,Wetland,Cropland,Non_Water,Non_Wetland,Forest
241,Wetland,Cropland,Water,Non_Wetland,Grassland
242,Wetland,Cropland,Water,Non_Wetland,Cropland
243,Wetland,Cropland,Water,Non_Wetland,Wetland
244,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
245,Wetland,Cropland,Water,Non_Wetland,Bareland
246,Wetland,Cropland,Water,Non_Wetland,Water
247,Wetland,Cropland,Water,Non_Wetland,Forest
248,Wetland,Wetland,NULL,Wetland,NULL
249,Wetland,Wetland,NULL,Wetland,Grassland
250,Wetland,Wetland,NULL,Wetland,Cropland
251,Wetland,Wetland,NULL,Wetland,Wetland
252,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,NULL,Wetland,Bareland
254,Wetland,Wetland,NULL,Wetland,Water
255,Wetland,Wetland,NULL,Wetland,Forest
256,Wetland,Wetland,Non_Water,Wetland,Grassland
257,Wetland,Wetland,Non_Water,Wetland,Cropland
258,Wetland,Wetland,Non_Water,Wetland,Wetland
259,Wetland,Wetland,Non_Water,Wetland,Bareland
260,Wetland,Wetland,Non_Water,Wetland,Water
261,Wetland,Wetland,Non_Water,Wetland,Forest
262,Wetland,Wetland,Water,Wetland,Grassland
263,Wetland,Wetland,Water,Wetland,Cropland
