Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,SIBERIA_2024_WorldCover_2021_41WNN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,Cropland,Non_Water,Non_Wetland,Wetland
47,NULL,Wetland,NULL,Wetland,NULL
48,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,Wetland,NULL,Wetland,Cropland
50,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,Wetland,Non_Water,Wetland,Water
58,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,Wetland,Water,Wetland,Grassland
60,NULL,Wetland,Water,Wetland,Wetland
61,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
62,NULL,Wetland,Water,Wetland,Bareland
63,NULL,Wetland,Water,Wetland,Water
64,NULL,Wetland,Water,Wetland,Forest
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
84,NULL,Bareland,NULL,Non_Wetland,NULL
85,NULL,Bareland,NULL,Non_Wetland,Grassland
86,NULL,Bareland,NULL,Non_Wetland,Cropland
87,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Bareland,NULL,Non_Wetland,Water
91,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
92,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,Bareland,Non_Water,Non_Wetland,Grassland
94,NULL,Bareland,Non_Water,Non_Wetland,Wetland
95,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,Bareland,Non_Water,Non_Wetland,Water
98,NULL,Bareland,Non_Water,Non_Wetland,Forest
99,NULL,Bareland,Water,Non_Wetland,NULL
100,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,Built-up,Water,Non_Wetland,Water
112,NULL,Water,NULL,Water,Grassland
113,NULL,Water,NULL,Water,Wetland
114,NULL,Water,NULL,Water,Lichens_and_Mosses
115,NULL,Water,NULL,Water,Bareland
116,NULL,Water,NULL,Water,Forest
117,NULL,Water,Non_Water,Water,Grassland
118,NULL,Water,Non_Water,Water,Wetland
119,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,Water,Non_Water,Water,Bareland
121,NULL,Water,Non_Water,Water,Water
122,NULL,Water,Non_Water,Water,Forest
123,NULL,Water,Water,Water,Grassland
124,NULL,Water,Water,Water,Wetland
125,NULL,Water,Water,Water,Lichens_and_Mosses
126,NULL,Water,Water,Water,Bareland
127,NULL,Water,Water,Water,Water
128,NULL,Water,Water,Water,Forest
129,NULL,Forest,NULL,Non_Wetland,NULL
130,NULL,Forest,NULL,Non_Wetland,Grassland
131,NULL,Forest,NULL,Non_Wetland,Wetland
132,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,Forest,NULL,Non_Wetland,Bareland
134,NULL,Forest,NULL,Non_Wetland,Water
135,NULL,Forest,NULL,Non_Wetland,Forest
136,NULL,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Forest,Non_Water,Non_Wetland,Wetland
138,NULL,Forest,Non_Water,Non_Wetland,Bareland
139,NULL,Forest,Non_Water,Non_Wetland,Water
140,NULL,Forest,Non_Water,Non_Wetland,Forest
141,NULL,Forest,Water,Non_Wetland,Grassland
142,NULL,Forest,Water,Non_Wetland,Wetland
143,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
144,NULL,Forest,Water,Non_Wetland,Bareland
145,NULL,Forest,Water,Non_Wetland,Water
146,NULL,Forest,Water,Non_Wetland,Forest
147,Cropland,Shrubland,NULL,Non_Wetland,Grassland
148,Cropland,Shrubland,NULL,Non_Wetland,Wetland
149,Cropland,Wetland,NULL,Wetland,Grassland
150,Cropland,Wetland,NULL,Wetland,Water
151,Cropland,Bareland,NULL,Non_Wetland,Forest
152,Cropland,Forest,NULL,Non_Wetland,Grassland
153,Cropland,Forest,NULL,Non_Wetland,Forest
154,Wetland,NULL,NULL,Non_Wetland,NULL
155,Wetland,NULL,NULL,Non_Wetland,Grassland
156,Wetland,NULL,NULL,Non_Wetland,Wetland
157,Wetland,NULL,NULL,Non_Wetland,Water
158,Wetland,NULL,NULL,Non_Wetland,Forest
159,Wetland,NULL,Non_Water,Non_Wetland,Grassland
160,Wetland,NULL,Non_Water,Non_Wetland,Wetland
161,Wetland,NULL,Non_Water,Non_Wetland,Water
162,Wetland,NULL,Non_Water,Non_Wetland,Forest
163,Wetland,NULL,Water,Non_Wetland,Grassland
164,Wetland,NULL,Water,Non_Wetland,Wetland
165,Wetland,NULL,Water,Non_Wetland,Water
166,Wetland,NULL,Water,Non_Wetland,Forest
167,Wetland,Shrubland,NULL,Non_Wetland,NULL
168,Wetland,Shrubland,NULL,Non_Wetland,Grassland
169,Wetland,Shrubland,NULL,Non_Wetland,Wetland
170,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
171,Wetland,Shrubland,NULL,Non_Wetland,Bareland
172,Wetland,Shrubland,NULL,Non_Wetland,Water
173,Wetland,Shrubland,NULL,Non_Wetland,Forest
174,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
175,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
176,Wetland,Shrubland,Non_Water,Non_Wetland,Water
177,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
178,Wetland,Shrubland,Water,Non_Wetland,Grassland
179,Wetland,Shrubland,Water,Non_Wetland,Wetland
180,Wetland,Shrubland,Water,Non_Wetland,Water
181,Wetland,Shrubland,Water,Non_Wetland,Forest
182,Wetland,Grassland,NULL,Non_Wetland,Grassland
183,Wetland,Grassland,NULL,Non_Wetland,Wetland
184,Wetland,Grassland,NULL,Non_Wetland,Water
185,Wetland,Grassland,NULL,Non_Wetland,Forest
186,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
187,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
188,Wetland,Grassland,Non_Water,Non_Wetland,Water
189,Wetland,Grassland,Non_Water,Non_Wetland,Forest
190,Wetland,Grassland,Water,Non_Wetland,Grassland
191,Wetland,Grassland,Water,Non_Wetland,Wetland
192,Wetland,Grassland,Water,Non_Wetland,Forest
193,Wetland,Cropland,NULL,Non_Wetland,Grassland
194,Wetland,Cropland,NULL,Non_Wetland,Wetland
195,Wetland,Cropland,NULL,Non_Wetland,Water
196,Wetland,Cropland,NULL,Non_Wetland,Forest
197,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
198,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
199,Wetland,Cropland,Non_Water,Non_Wetland,Water
200,Wetland,Cropland,Non_Water,Non_Wetland,Forest
201,Wetland,Cropland,Water,Non_Wetland,Grassland
202,Wetland,Cropland,Water,Non_Wetland,Wetland
203,Wetland,Wetland,NULL,Wetland,NULL
204,Wetland,Wetland,NULL,Wetland,Grassland
205,Wetland,Wetland,NULL,Wetland,Cropland
206,Wetland,Wetland,NULL,Wetland,Wetland
207,Wetland,Wetland,NULL,Wetland,Water
208,Wetland,Wetland,NULL,Wetland,Forest
209,Wetland,Wetland,Non_Water,Wetland,Grassland
210,Wetland,Wetland,Non_Water,Wetland,Cropland
211,Wetland,Wetland,Non_Water,Wetland,Wetland
212,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
213,Wetland,Wetland,Non_Water,Wetland,Water
214,Wetland,Wetland,Non_Water,Wetland,Forest
215,Wetland,Wetland,Water,Wetland,Grassland
216,Wetland,Wetland,Water,Wetland,Cropland
217,Wetland,Wetland,Water,Wetland,Wetland
218,Wetland,Wetland,Water,Wetland,Water
219,Wetland,Wetland,Water,Wetland,Forest
220,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
221,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
222,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
223,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
224,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
225,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
226,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
227,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
228,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
229,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
230,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
231,Wetland,Bareland,NULL,Non_Wetland,NULL
232,Wetland,Bareland,NULL,Non_Wetland,Grassland
233,Wetland,Bareland,NULL,Non_Wetland,Wetland
234,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
235,Wetland,Bareland,NULL,Non_Wetland,Water
236,Wetland,Bareland,NULL,Non_Wetland,Forest
237,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
238,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
239,Wetland,Bareland,Non_Water,Non_Wetland,Water
240,Wetland,Bareland,Non_Water,Non_Wetland,Forest
241,Wetland,Bareland,Water,Non_Wetland,Grassland
242,Wetland,Bareland,Water,Non_Wetland,Wetland
243,Wetland,Bareland,Water,Non_Wetland,Water
244,Wetland,Bareland,Water,Non_Wetland,Forest
245,Wetland,Built-up,NULL,Non_Wetland,Grassland
246,Wetland,Built-up,NULL,Non_Wetland,Forest
247,Wetland,Built-up,Non_Water,Non_Wetland,Water
248,Wetland,Water,NULL,Water,Grassland
249,Wetland,Water,NULL,Water,Wetland
250,Wetland,Water,NULL,Water,Water
251,Wetland,Water,NULL,Water,Forest
252,Wetland,Water,Non_Water,Water,Grassland
253,Wetland,Water,Non_Water,Water,Wetland
254,Wetland,Water,Non_Water,Water,Water
255,Wetland,Water,Non_Water,Water,Forest
256,Wetland,Water,Water,Water,NULL
257,Wetland,Water,Water,Water,Grassland
258,Wetland,Water,Water,Water,Wetland
259,Wetland,Water,Water,Water,Water
260,Wetland,Water,Water,Water,Forest
261,Wetland,Forest,NULL,Non_Wetland,NULL
