Value,SIBERIA_2024_ESA_CALU_2024_44WNE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNE_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNE_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNE_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNE_M_R,SIBERIA_2024_WorldCover_2021_44WNE_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,NULL,Grassland,Water,Non_Wetland,Forest
35,NULL,NULL,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,NULL,NULL,Wetland
37,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
38,NULL,NULL,Wetland,NULL,NULL,Bareland
39,NULL,NULL,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
43,NULL,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,Water
45,NULL,NULL,Wetland,NULL,Wetland,Forest
46,NULL,NULL,Wetland,Non_Water,NULL,Grassland
47,NULL,NULL,Wetland,Non_Water,NULL,Wetland
48,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
49,NULL,NULL,Wetland,Non_Water,NULL,Bareland
50,NULL,NULL,Wetland,Non_Water,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,NULL,Wetland,Water,NULL,Grassland
57,NULL,NULL,Wetland,Water,NULL,Wetland
58,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
59,NULL,NULL,Wetland,Water,NULL,Bareland
60,NULL,NULL,Wetland,Water,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Wetland
63,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
64,NULL,NULL,Wetland,Water,Wetland,Bareland
65,NULL,NULL,Wetland,Water,Wetland,Water
66,NULL,NULL,Wetland,Water,Wetland,Forest
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
111,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
113,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
114,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
115,NULL,NULL,Built-up,Water,Non_Wetland,Water
116,NULL,NULL,Water,NULL,NULL,Grassland
117,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
118,NULL,NULL,Water,NULL,NULL,Water
119,NULL,NULL,Water,NULL,Water,Grassland
120,NULL,NULL,Water,NULL,Water,Wetland
121,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,NULL,Water,NULL,Water,Water
123,NULL,NULL,Water,Non_Water,Water,Grassland
124,NULL,NULL,Water,Non_Water,Water,Wetland
125,NULL,NULL,Water,Non_Water,Water,Water
126,NULL,NULL,Water,Water,NULL,Water
127,NULL,NULL,Water,Water,Water,Grassland
128,NULL,NULL,Water,Water,Water,Wetland
129,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
130,NULL,NULL,Water,Water,Water,Water
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,NULL,Forest,NULL,Non_Wetland,Water
135,NULL,NULL,Forest,NULL,Non_Wetland,Forest
136,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
137,NULL,NULL,Forest,Water,Non_Wetland,Grassland
138,NULL,NULL,Forest,Water,Non_Wetland,Wetland
139,NULL,NULL,Forest,Water,Non_Wetland,Water
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
147,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
148,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
149,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
150,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
151,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
152,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
153,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
154,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
155,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
156,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
157,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
158,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
159,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
160,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
161,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
162,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
163,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
164,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
165,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
166,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
167,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
168,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
169,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
170,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
171,NULL,Wetland,Grassland,Water,Non_Wetland,Water
172,NULL,Wetland,Wetland,NULL,NULL,Grassland
173,NULL,Wetland,Wetland,NULL,NULL,Wetland
174,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
175,NULL,Wetland,Wetland,NULL,NULL,Bareland
176,NULL,Wetland,Wetland,NULL,NULL,Water
177,NULL,Wetland,Wetland,NULL,NULL,Forest
178,NULL,Wetland,Wetland,NULL,Wetland,Grassland
179,NULL,Wetland,Wetland,NULL,Wetland,Wetland
180,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
181,NULL,Wetland,Wetland,NULL,Wetland,Bareland
182,NULL,Wetland,Wetland,NULL,Wetland,Water
183,NULL,Wetland,Wetland,NULL,Wetland,Forest
184,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
185,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
186,NULL,Wetland,Wetland,Non_Water,NULL,Bareland
187,NULL,Wetland,Wetland,Non_Water,NULL,Water
188,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
189,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
