Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFK_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFK_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFK_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFK_M_R,SIBERIA_2024_WorldCover_2021_43VFK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,Grassland,Non_Water,Non_Wetland,Wetland
33,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,Grassland,Water,Non_Wetland,Forest
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,Cropland,Non_Water,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Cropland
43,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
45,NULL,Wetland,NULL,Wetland,Bareland
46,NULL,Wetland,NULL,Wetland,Built-up
47,NULL,Wetland,NULL,Wetland,Water
48,NULL,Wetland,NULL,Wetland,Forest
49,NULL,Wetland,Non_Water,Wetland,NULL
50,NULL,Wetland,Non_Water,Wetland,Grassland
51,NULL,Wetland,Non_Water,Wetland,Wetland
52,NULL,Wetland,Non_Water,Wetland,Water
53,NULL,Wetland,Non_Water,Wetland,Forest
54,NULL,Wetland,Water,Wetland,NULL
55,NULL,Wetland,Water,Wetland,Grassland
56,NULL,Wetland,Water,Wetland,Wetland
57,NULL,Wetland,Water,Wetland,Bareland
58,NULL,Wetland,Water,Wetland,Water
59,NULL,Wetland,Water,Wetland,Forest
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
78,NULL,Bareland,NULL,Non_Wetland,NULL
79,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Non_Water,Non_Wetland,NULL
87,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,Bareland,Non_Water,Non_Wetland,Built-up
92,NULL,Bareland,Non_Water,Non_Wetland,Water
93,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,Bareland,Water,Non_Wetland,Wetland
96,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,Built-up,NULL,Non_Wetland,NULL
101,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,Built-up,NULL,Non_Wetland,Water
107,NULL,Built-up,NULL,Non_Wetland,Forest
108,NULL,Built-up,Non_Water,Non_Wetland,Grassland
109,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,Built-up,Non_Water,Non_Wetland,Built-up
112,NULL,Built-up,Non_Water,Non_Wetland,Forest
113,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,Built-up,Water,Non_Wetland,Wetland
115,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Water,Non_Wetland,Bareland
117,NULL,Built-up,Water,Non_Wetland,Built-up
118,NULL,Built-up,Water,Non_Wetland,Water
119,NULL,Built-up,Water,Non_Wetland,Forest
120,NULL,Water,NULL,Water,NULL
121,NULL,Water,NULL,Water,Grassland
122,NULL,Water,NULL,Water,Wetland
123,NULL,Water,NULL,Water,Lichens_and_Mosses
124,NULL,Water,NULL,Water,Water
125,NULL,Water,NULL,Water,Forest
126,NULL,Water,Non_Water,Water,Grassland
127,NULL,Water,Non_Water,Water,Wetland
128,NULL,Water,Non_Water,Water,Lichens_and_Mosses
129,NULL,Water,Non_Water,Water,Water
130,NULL,Water,Non_Water,Water,Forest
131,NULL,Water,Water,Water,NULL
132,NULL,Water,Water,Water,Grassland
133,NULL,Water,Water,Water,Wetland
134,NULL,Water,Water,Water,Lichens_and_Mosses
135,NULL,Water,Water,Water,Bareland
136,NULL,Water,Water,Water,Water
137,NULL,Water,Water,Water,Forest
138,NULL,Forest,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,Non_Wetland,Wetland
141,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,NULL,Non_Wetland,Bareland
143,NULL,Forest,NULL,Non_Wetland,Built-up
144,NULL,Forest,NULL,Non_Wetland,Water
145,NULL,Forest,NULL,Non_Wetland,Forest
146,NULL,Forest,Non_Water,Non_Wetland,NULL
147,NULL,Forest,Non_Water,Non_Wetland,Grassland
148,NULL,Forest,Non_Water,Non_Wetland,Wetland
149,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
150,NULL,Forest,Non_Water,Non_Wetland,Water
151,NULL,Forest,Non_Water,Non_Wetland,Forest
152,NULL,Forest,Water,Non_Wetland,NULL
153,NULL,Forest,Water,Non_Wetland,Grassland
154,NULL,Forest,Water,Non_Wetland,Wetland
155,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Forest,Water,Non_Wetland,Water
157,NULL,Forest,Water,Non_Wetland,Forest
158,Cropland,NULL,NULL,Non_Wetland,Forest
159,Cropland,Shrubland,NULL,Non_Wetland,NULL
160,Cropland,Shrubland,NULL,Non_Wetland,Grassland
161,Cropland,Shrubland,NULL,Non_Wetland,Wetland
162,Cropland,Shrubland,NULL,Non_Wetland,Built-up
163,Cropland,Shrubland,NULL,Non_Wetland,Forest
164,Cropland,Grassland,NULL,Non_Wetland,Grassland
165,Cropland,Grassland,NULL,Non_Wetland,Wetland
166,Cropland,Grassland,NULL,Non_Wetland,Forest
167,Cropland,Wetland,NULL,Wetland,NULL
168,Cropland,Wetland,NULL,Wetland,Grassland
169,Cropland,Wetland,NULL,Wetland,Wetland
170,Cropland,Wetland,NULL,Wetland,Built-up
171,Cropland,Wetland,NULL,Wetland,Water
172,Cropland,Wetland,NULL,Wetland,Forest
173,Cropland,Wetland,Non_Water,Wetland,Grassland
174,Cropland,Wetland,Non_Water,Wetland,Wetland
175,Cropland,Wetland,Non_Water,Wetland,Forest
176,Cropland,Wetland,Water,Wetland,Grassland
177,Cropland,Wetland,Water,Wetland,Wetland
178,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
179,Cropland,Bareland,NULL,Non_Wetland,NULL
180,Cropland,Bareland,NULL,Non_Wetland,Grassland
181,Cropland,Bareland,NULL,Non_Wetland,Wetland
182,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
183,Cropland,Bareland,NULL,Non_Wetland,Bareland
184,Cropland,Bareland,NULL,Non_Wetland,Built-up
185,Cropland,Bareland,NULL,Non_Wetland,Water
186,Cropland,Bareland,NULL,Non_Wetland,Forest
187,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
188,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
189,Cropland,Bareland,Non_Water,Non_Wetland,Forest
190,Cropland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
191,Cropland,Bareland,Water,Non_Wetland,Forest
192,Cropland,Built-up,NULL,Non_Wetland,Grassland
193,Cropland,Built-up,NULL,Non_Wetland,Bareland
194,Cropland,Built-up,NULL,Non_Wetland,Built-up
195,Cropland,Built-up,NULL,Non_Wetland,Forest
196,Cropland,Water,NULL,Water,Wetland
197,Cropland,Water,NULL,Water,Water
198,Cropland,Water,NULL,Water,Forest
199,Cropland,Water,Water,Water,Wetland
200,Cropland,Forest,NULL,Non_Wetland,NULL
201,Cropland,Forest,NULL,Non_Wetland,Grassland
202,Cropland,Forest,NULL,Non_Wetland,Wetland
203,Cropland,Forest,NULL,Non_Wetland,Built-up
204,Cropland,Forest,NULL,Non_Wetland,Water
205,Cropland,Forest,NULL,Non_Wetland,Forest
206,Cropland,Forest,Non_Water,Non_Wetland,Forest
207,Wetland,NULL,NULL,Non_Wetland,NULL
208,Wetland,NULL,NULL,Non_Wetland,Grassland
209,Wetland,NULL,NULL,Non_Wetland,Wetland
210,Wetland,NULL,NULL,Non_Wetland,Water
211,Wetland,NULL,NULL,Non_Wetland,Forest
212,Wetland,NULL,Non_Water,Non_Wetland,Grassland
213,Wetland,NULL,Non_Water,Non_Wetland,Wetland
214,Wetland,NULL,Non_Water,Non_Wetland,Water
215,Wetland,NULL,Non_Water,Non_Wetland,Forest
216,Wetland,NULL,Water,Non_Wetland,Grassland
217,Wetland,NULL,Water,Non_Wetland,Wetland
218,Wetland,NULL,Water,Non_Wetland,Water
219,Wetland,NULL,Water,Non_Wetland,Forest
220,Wetland,Shrubland,NULL,Non_Wetland,NULL
221,Wetland,Shrubland,NULL,Non_Wetland,Grassland
222,Wetland,Shrubland,NULL,Non_Wetland,Wetland
223,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Shrubland,NULL,Non_Wetland,Bareland
225,Wetland,Shrubland,NULL,Non_Wetland,Built-up
226,Wetland,Shrubland,NULL,Non_Wetland,Water
227,Wetland,Shrubland,NULL,Non_Wetland,Forest
228,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
229,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
230,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
231,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
232,Wetland,Shrubland,Non_Water,Non_Wetland,Water
233,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
234,Wetland,Shrubland,Water,Non_Wetland,NULL
235,Wetland,Shrubland,Water,Non_Wetland,Grassland
236,Wetland,Shrubland,Water,Non_Wetland,Wetland
237,Wetland,Shrubland,Water,Non_Wetland,Water
238,Wetland,Shrubland,Water,Non_Wetland,Forest
239,Wetland,Grassland,NULL,Non_Wetland,NULL
240,Wetland,Grassland,NULL,Non_Wetland,Grassland
241,Wetland,Grassland,NULL,Non_Wetland,Wetland
242,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Grassland,NULL,Non_Wetland,Bareland
244,Wetland,Grassland,NULL,Non_Wetland,Built-up
245,Wetland,Grassland,NULL,Non_Wetland,Forest
246,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
247,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
248,Wetland,Grassland,Non_Water,Non_Wetland,Forest
249,Wetland,Grassland,Water,Non_Wetland,Grassland
250,Wetland,Grassland,Water,Non_Wetland,Wetland
251,Wetland,Grassland,Water,Non_Wetland,Forest
252,Wetland,Cropland,NULL,Non_Wetland,Wetland
253,Wetland,Cropland,NULL,Non_Wetland,Forest
254,Wetland,Wetland,NULL,Wetland,NULL
255,Wetland,Wetland,NULL,Wetland,Grassland
256,Wetland,Wetland,NULL,Wetland,Wetland
257,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
258,Wetland,Wetland,NULL,Wetland,Bareland
259,Wetland,Wetland,NULL,Wetland,Built-up
260,Wetland,Wetland,NULL,Wetland,Water
261,Wetland,Wetland,NULL,Wetland,Forest
262,Wetland,Wetland,Non_Water,Wetland,NULL
