Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDL_M_R,SIBERIA_2024_WorldCover_2021_43VDL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Cropland,NULL,Non_Wetland,NULL
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,NULL,Non_Wetland,Bareland
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,NULL
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
57,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,NULL
68,NULL,Wetland,Water,Wetland,Grassland
69,NULL,Wetland,Water,Wetland,Wetland
70,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,Wetland,Water,Wetland,Bareland
72,NULL,Wetland,Water,Wetland,Water
73,NULL,Wetland,Water,Wetland,Forest
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
89,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,Bareland,Non_Water,Non_Wetland,Built-up
102,NULL,Bareland,Non_Water,Non_Wetland,Water
103,NULL,Bareland,Non_Water,Non_Wetland,Forest
104,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,Bareland,Water,Non_Wetland,Wetland
106,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
107,NULL,Bareland,Water,Non_Wetland,Bareland
108,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,Built-up,Non_Water,Non_Wetland,Built-up
122,NULL,Built-up,Non_Water,Non_Wetland,Water
123,NULL,Built-up,Non_Water,Non_Wetland,Forest
124,NULL,Built-up,Water,Non_Wetland,Grassland
125,NULL,Built-up,Water,Non_Wetland,Wetland
126,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
127,NULL,Built-up,Water,Non_Wetland,Bareland
128,NULL,Built-up,Water,Non_Wetland,Built-up
129,NULL,Built-up,Water,Non_Wetland,Water
130,NULL,Built-up,Water,Non_Wetland,Forest
131,NULL,Water,NULL,Water,Grassland
132,NULL,Water,NULL,Water,Wetland
133,NULL,Water,NULL,Water,Lichens_and_Mosses
134,NULL,Water,NULL,Water,Bareland
135,NULL,Water,NULL,Water,Water
136,NULL,Water,NULL,Water,Forest
137,NULL,Water,Non_Water,Water,Grassland
138,NULL,Water,Non_Water,Water,Wetland
139,NULL,Water,Non_Water,Water,Lichens_and_Mosses
140,NULL,Water,Non_Water,Water,Bareland
141,NULL,Water,Non_Water,Water,Water
142,NULL,Water,Non_Water,Water,Forest
143,NULL,Water,Water,Water,Grassland
144,NULL,Water,Water,Water,Wetland
145,NULL,Water,Water,Water,Lichens_and_Mosses
146,NULL,Water,Water,Water,Bareland
147,NULL,Water,Water,Water,Water
148,NULL,Water,Water,Water,Forest
149,NULL,Forest,NULL,Non_Wetland,NULL
150,NULL,Forest,NULL,Non_Wetland,Grassland
151,NULL,Forest,NULL,Non_Wetland,Wetland
152,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
153,NULL,Forest,NULL,Non_Wetland,Bareland
154,NULL,Forest,NULL,Non_Wetland,Built-up
155,NULL,Forest,NULL,Non_Wetland,Water
156,NULL,Forest,NULL,Non_Wetland,Forest
157,NULL,Forest,Non_Water,Non_Wetland,NULL
158,NULL,Forest,Non_Water,Non_Wetland,Grassland
159,NULL,Forest,Non_Water,Non_Wetland,Wetland
160,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
161,NULL,Forest,Non_Water,Non_Wetland,Water
162,NULL,Forest,Non_Water,Non_Wetland,Forest
163,NULL,Forest,Water,Non_Wetland,Grassland
164,NULL,Forest,Water,Non_Wetland,Wetland
165,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
166,NULL,Forest,Water,Non_Wetland,Water
167,NULL,Forest,Water,Non_Wetland,Forest
168,Cropland,NULL,NULL,Non_Wetland,Grassland
169,Cropland,NULL,NULL,Non_Wetland,Wetland
170,Cropland,NULL,NULL,Non_Wetland,Forest
171,Cropland,NULL,Non_Water,Non_Wetland,Wetland
172,Cropland,Shrubland,NULL,Non_Wetland,NULL
173,Cropland,Shrubland,NULL,Non_Wetland,Grassland
174,Cropland,Shrubland,NULL,Non_Wetland,Wetland
175,Cropland,Shrubland,NULL,Non_Wetland,Bareland
176,Cropland,Shrubland,NULL,Non_Wetland,Forest
177,Cropland,Grassland,NULL,Non_Wetland,Grassland
178,Cropland,Grassland,NULL,Non_Wetland,Wetland
179,Cropland,Grassland,NULL,Non_Wetland,Forest
180,Cropland,Cropland,NULL,Non_Wetland,Grassland
181,Cropland,Wetland,NULL,Wetland,NULL
182,Cropland,Wetland,NULL,Wetland,Grassland
183,Cropland,Wetland,NULL,Wetland,Wetland
184,Cropland,Wetland,NULL,Wetland,Built-up
185,Cropland,Wetland,NULL,Wetland,Forest
186,Cropland,Wetland,Non_Water,Wetland,Grassland
187,Cropland,Wetland,Non_Water,Wetland,Wetland
188,Cropland,Wetland,Non_Water,Wetland,Forest
189,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
190,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
191,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
192,Cropland,Bareland,NULL,Non_Wetland,NULL
193,Cropland,Bareland,NULL,Non_Wetland,Grassland
194,Cropland,Bareland,NULL,Non_Wetland,Wetland
195,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
196,Cropland,Bareland,NULL,Non_Wetland,Bareland
197,Cropland,Bareland,NULL,Non_Wetland,Built-up
198,Cropland,Bareland,NULL,Non_Wetland,Forest
199,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
200,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
201,Cropland,Bareland,Non_Water,Non_Wetland,Forest
202,Cropland,Bareland,Water,Non_Wetland,Wetland
203,Cropland,Bareland,Water,Non_Wetland,Water
204,Cropland,Built-up,NULL,Non_Wetland,Grassland
205,Cropland,Built-up,NULL,Non_Wetland,Wetland
206,Cropland,Built-up,NULL,Non_Wetland,Built-up
207,Cropland,Built-up,NULL,Non_Wetland,Forest
208,Cropland,Built-up,Non_Water,Non_Wetland,Wetland
209,Cropland,Water,Water,Water,Wetland
210,Cropland,Forest,NULL,Non_Wetland,NULL
211,Cropland,Forest,NULL,Non_Wetland,Grassland
212,Cropland,Forest,NULL,Non_Wetland,Wetland
213,Cropland,Forest,NULL,Non_Wetland,Built-up
214,Cropland,Forest,NULL,Non_Wetland,Water
215,Cropland,Forest,NULL,Non_Wetland,Forest
216,Cropland,Forest,Non_Water,Non_Wetland,Grassland
217,Cropland,Forest,Non_Water,Non_Wetland,Wetland
218,Wetland,NULL,NULL,Non_Wetland,NULL
219,Wetland,NULL,NULL,Non_Wetland,Grassland
220,Wetland,NULL,NULL,Non_Wetland,Wetland
221,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
222,Wetland,NULL,NULL,Non_Wetland,Bareland
223,Wetland,NULL,NULL,Non_Wetland,Built-up
224,Wetland,NULL,NULL,Non_Wetland,Water
225,Wetland,NULL,NULL,Non_Wetland,Forest
226,Wetland,NULL,Non_Water,Non_Wetland,Grassland
227,Wetland,NULL,Non_Water,Non_Wetland,Wetland
228,Wetland,NULL,Non_Water,Non_Wetland,Bareland
229,Wetland,NULL,Non_Water,Non_Wetland,Water
230,Wetland,NULL,Non_Water,Non_Wetland,Forest
231,Wetland,NULL,Water,Non_Wetland,Grassland
232,Wetland,NULL,Water,Non_Wetland,Wetland
233,Wetland,NULL,Water,Non_Wetland,Water
234,Wetland,NULL,Water,Non_Wetland,Forest
235,Wetland,Shrubland,NULL,Non_Wetland,NULL
236,Wetland,Shrubland,NULL,Non_Wetland,Grassland
237,Wetland,Shrubland,NULL,Non_Wetland,Wetland
238,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
239,Wetland,Shrubland,NULL,Non_Wetland,Bareland
240,Wetland,Shrubland,NULL,Non_Wetland,Built-up
241,Wetland,Shrubland,NULL,Non_Wetland,Water
242,Wetland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
243,Wetland,Shrubland,NULL,Non_Wetland,Forest
244,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
245,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
246,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
247,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
248,Wetland,Shrubland,Non_Water,Non_Wetland,Water
249,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
250,Wetland,Shrubland,Water,Non_Wetland,Grassland
251,Wetland,Shrubland,Water,Non_Wetland,Wetland
252,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Shrubland,Water,Non_Wetland,Bareland
254,Wetland,Shrubland,Water,Non_Wetland,Water
255,Wetland,Shrubland,Water,Non_Wetland,Forest
256,Wetland,Grassland,NULL,Non_Wetland,NULL
257,Wetland,Grassland,NULL,Non_Wetland,Grassland
258,Wetland,Grassland,NULL,Non_Wetland,Wetland
