Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R,SIBERIA_2024_WorldCover_2021_42WXA_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
9,NULL,Shrubland,Non_Water,Non_Wetland,Water
10,NULL,Shrubland,Water,Non_Wetland,Grassland
11,NULL,Shrubland,Water,Non_Wetland,Wetland
12,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,Grassland,NULL,Non_Wetland,Wetland
14,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,Grassland,NULL,Non_Wetland,Water
18,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,Grassland,Non_Water,Non_Wetland,Grassland
20,NULL,Grassland,Non_Water,Non_Wetland,Wetland
21,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,Grassland,Non_Water,Non_Wetland,Bareland
23,NULL,Grassland,Non_Water,Non_Wetland,Water
24,NULL,Grassland,Non_Water,Non_Wetland,Forest
25,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,Grassland,Water,Non_Wetland,Wetland
27,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,Water,Non_Wetland,Water
29,NULL,Grassland,Water,Non_Wetland,Forest
30,NULL,Wetland,NULL,NULL,NULL
31,NULL,Wetland,NULL,NULL,Wetland
32,NULL,Wetland,NULL,NULL,Water
33,NULL,Wetland,NULL,Wetland,Grassland
34,NULL,Wetland,NULL,Wetland,Wetland
35,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
36,NULL,Wetland,NULL,Wetland,Bareland
37,NULL,Wetland,NULL,Wetland,Water
38,NULL,Wetland,NULL,Wetland,Forest
