Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFU_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFU_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFU_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFU_M_R,SIBERIA_2024_WorldCover_2021_43WFU_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,Water,Non_Wetland,Wetland
6,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
9,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,Water,Non_Wetland,Bareland
22,NULL,Shrubland,Water,Non_Wetland,Water
23,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
27,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Grassland,Non_Water,Non_Wetland,Water
34,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,Grassland,Water,Non_Wetland,Wetland
37,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Wetland,NULL,NULL,Grassland
41,NULL,Wetland,NULL,NULL,Wetland
42,NULL,Wetland,NULL,NULL,Water
43,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,Wetland,NULL,Wetland,Wetland
45,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
46,NULL,Wetland,NULL,Wetland,Bareland
47,NULL,Wetland,NULL,Wetland,Water
48,NULL,Wetland,NULL,Wetland,Forest
49,NULL,Wetland,Non_Water,NULL,Wetland
50,NULL,Wetland,Non_Water,NULL,Water
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,Wetland,Non_Water,Wetland,Bareland
55,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,Wetland,Water,NULL,Wetland
57,NULL,Wetland,Water,NULL,Lichens_and_Mosses
58,NULL,Wetland,Water,NULL,Water
59,NULL,Wetland,Water,Wetland,Grassland
60,NULL,Wetland,Water,Wetland,Wetland
61,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
62,NULL,Wetland,Water,Wetland,Bareland
63,NULL,Wetland,Water,Wetland,Water
64,NULL,Wetland,Water,Wetland,Forest
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,Bareland,Non_Water,Non_Wetland,Wetland
91,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Built-up,NULL,Non_Wetland,Water
106,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,Built-up,Non_Water,Non_Wetland,Grassland
108,NULL,Built-up,Non_Water,Non_Wetland,Wetland
109,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,Built-up,Non_Water,Non_Wetland,Water
112,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,Built-up,Water,Non_Wetland,Wetland
114,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,Water,NULL,Water,Grassland
118,NULL,Water,NULL,Water,Wetland
119,NULL,Water,NULL,Water,Lichens_and_Mosses
120,NULL,Water,NULL,Water,Bareland
121,NULL,Water,NULL,Water,Water
122,NULL,Water,NULL,Water,Forest
123,NULL,Water,Non_Water,Water,Grassland
124,NULL,Water,Non_Water,Water,Wetland
125,NULL,Water,Non_Water,Water,Lichens_and_Mosses
126,NULL,Water,Non_Water,Water,Water
127,NULL,Water,Non_Water,Water,Forest
128,NULL,Water,Water,NULL,Wetland
129,NULL,Water,Water,NULL,Lichens_and_Mosses
130,NULL,Water,Water,NULL,Water
131,NULL,Water,Water,Water,Grassland
132,NULL,Water,Water,Water,Wetland
133,NULL,Water,Water,Water,Lichens_and_Mosses
134,NULL,Water,Water,Water,Bareland
135,NULL,Water,Water,Water,Water
136,NULL,Water,Water,Water,Forest
137,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,Forest,Non_Water,Non_Wetland,Wetland
144,NULL,Forest,Water,Non_Wetland,Grassland
145,NULL,Forest,Water,Non_Wetland,Wetland
146,NULL,Forest,Water,Non_Wetland,Water
147,NULL,Forest,Water,Non_Wetland,Forest
148,Wetland,NULL,NULL,Non_Wetland,Grassland
149,Wetland,NULL,NULL,Non_Wetland,Wetland
150,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
151,Wetland,NULL,NULL,Non_Wetland,Bareland
152,Wetland,NULL,NULL,Non_Wetland,Water
153,Wetland,NULL,NULL,Non_Wetland,Forest
154,Wetland,NULL,Non_Water,Non_Wetland,Wetland
155,Wetland,NULL,Water,Non_Wetland,Grassland
156,Wetland,NULL,Water,Non_Wetland,Wetland
157,Wetland,NULL,Water,Non_Wetland,Bareland
158,Wetland,NULL,Water,Non_Wetland,Water
159,Wetland,Shrubland,NULL,Non_Wetland,Grassland
160,Wetland,Shrubland,NULL,Non_Wetland,Wetland
161,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
162,Wetland,Shrubland,NULL,Non_Wetland,Bareland
163,Wetland,Shrubland,NULL,Non_Wetland,Water
164,Wetland,Shrubland,NULL,Non_Wetland,Forest
165,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
166,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
167,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
168,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
169,Wetland,Shrubland,Non_Water,Non_Wetland,Water
