Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEK_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEK_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEK_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEK_M_R,SIBERIA_2024_WorldCover_2021_43VEK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Forest
5,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,Water,Non_Wetland,Forest
7,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
11,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,Grassland,NULL,Non_Wetland,Wetland
24,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,Grassland,Non_Water,Non_Wetland,Wetland
30,NULL,Grassland,Non_Water,Non_Wetland,Forest
31,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,Grassland,Water,Non_Wetland,Wetland
33,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,Wetland,NULL,Wetland,NULL
35,NULL,Wetland,NULL,Wetland,Grassland
36,NULL,Wetland,NULL,Wetland,Wetland
37,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
38,NULL,Wetland,NULL,Wetland,Bareland
39,NULL,Wetland,NULL,Wetland,Built-up
40,NULL,Wetland,NULL,Wetland,Water
41,NULL,Wetland,NULL,Wetland,Forest
42,NULL,Wetland,Non_Water,Wetland,NULL
43,NULL,Wetland,Non_Water,Wetland,Grassland
44,NULL,Wetland,Non_Water,Wetland,Wetland
45,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
46,NULL,Wetland,Non_Water,Wetland,Bareland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,NULL
50,NULL,Wetland,Water,Wetland,Grassland
51,NULL,Wetland,Water,Wetland,Wetland
52,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
53,NULL,Wetland,Water,Wetland,Bareland
54,NULL,Wetland,Water,Wetland,Water
55,NULL,Wetland,Water,Wetland,Forest
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
63,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
64,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
65,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
66,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
67,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
68,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
69,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
70,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,Bareland,NULL,Non_Wetland,Water
78,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,Bareland,Non_Water,Non_Wetland,NULL
80,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Bareland,Non_Water,Non_Wetland,Bareland
84,NULL,Bareland,Non_Water,Non_Wetland,Built-up
85,NULL,Bareland,Non_Water,Non_Wetland,Water
86,NULL,Bareland,Non_Water,Non_Wetland,Forest
87,NULL,Bareland,Water,Non_Wetland,Grassland
88,NULL,Bareland,Water,Non_Wetland,Wetland
89,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,Bareland,Water,Non_Wetland,Built-up
92,NULL,Bareland,Water,Non_Wetland,Water
93,NULL,Bareland,Water,Non_Wetland,Forest
94,NULL,Built-up,NULL,Non_Wetland,Grassland
95,NULL,Built-up,NULL,Non_Wetland,Wetland
96,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,Built-up,NULL,Non_Wetland,Bareland
98,NULL,Built-up,NULL,Non_Wetland,Built-up
99,NULL,Built-up,NULL,Non_Wetland,Water
100,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,Built-up,Non_Water,Non_Wetland,Grassland
102,NULL,Built-up,Non_Water,Non_Wetland,Wetland
103,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,Non_Water,Non_Wetland,Bareland
105,NULL,Built-up,Non_Water,Non_Wetland,Built-up
106,NULL,Built-up,Non_Water,Non_Wetland,Forest
107,NULL,Built-up,Water,Non_Wetland,Grassland
108,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,Water,Non_Wetland,Built-up
110,NULL,Built-up,Water,Non_Wetland,Water
111,NULL,Built-up,Water,Non_Wetland,Forest
112,NULL,Water,NULL,Water,NULL
113,NULL,Water,NULL,Water,Grassland
114,NULL,Water,NULL,Water,Wetland
115,NULL,Water,NULL,Water,Lichens_and_Mosses
116,NULL,Water,NULL,Water,Bareland
117,NULL,Water,NULL,Water,Water
118,NULL,Water,NULL,Water,Forest
119,NULL,Water,Non_Water,Water,Grassland
120,NULL,Water,Non_Water,Water,Wetland
121,NULL,Water,Non_Water,Water,Lichens_and_Mosses
122,NULL,Water,Non_Water,Water,Bareland
123,NULL,Water,Non_Water,Water,Water
124,NULL,Water,Non_Water,Water,Forest
125,NULL,Water,Water,Water,Grassland
126,NULL,Water,Water,Water,Wetland
127,NULL,Water,Water,Water,Lichens_and_Mosses
128,NULL,Water,Water,Water,Bareland
129,NULL,Water,Water,Water,Water
130,NULL,Water,Water,Water,Forest
131,NULL,Forest,NULL,Non_Wetland,NULL
132,NULL,Forest,NULL,Non_Wetland,Grassland
133,NULL,Forest,NULL,Non_Wetland,Wetland
134,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
135,NULL,Forest,NULL,Non_Wetland,Bareland
136,NULL,Forest,NULL,Non_Wetland,Built-up
137,NULL,Forest,NULL,Non_Wetland,Water
138,NULL,Forest,NULL,Non_Wetland,Forest
139,NULL,Forest,Non_Water,Non_Wetland,NULL
140,NULL,Forest,Non_Water,Non_Wetland,Grassland
141,NULL,Forest,Non_Water,Non_Wetland,Wetland
142,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
143,NULL,Forest,Non_Water,Non_Wetland,Bareland
144,NULL,Forest,Non_Water,Non_Wetland,Water
145,NULL,Forest,Non_Water,Non_Wetland,Forest
146,NULL,Forest,Water,Non_Wetland,NULL
147,NULL,Forest,Water,Non_Wetland,Grassland
148,NULL,Forest,Water,Non_Wetland,Cropland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Water
151,NULL,Forest,Water,Non_Wetland,Forest
152,Cropland,NULL,NULL,Non_Wetland,Grassland
153,Cropland,NULL,NULL,Non_Wetland,Forest
154,Cropland,Shrubland,NULL,Non_Wetland,NULL
155,Cropland,Shrubland,NULL,Non_Wetland,Grassland
156,Cropland,Shrubland,NULL,Non_Wetland,Wetland
157,Cropland,Shrubland,NULL,Non_Wetland,Built-up
158,Cropland,Shrubland,NULL,Non_Wetland,Forest
159,Cropland,Grassland,NULL,Non_Wetland,Grassland
160,Cropland,Grassland,NULL,Non_Wetland,Wetland
161,Cropland,Grassland,NULL,Non_Wetland,Forest
162,Cropland,Wetland,NULL,Wetland,NULL
163,Cropland,Wetland,NULL,Wetland,Grassland
164,Cropland,Wetland,NULL,Wetland,Wetland
165,Cropland,Wetland,NULL,Wetland,Built-up
166,Cropland,Wetland,NULL,Wetland,Water
167,Cropland,Wetland,NULL,Wetland,Forest
168,Cropland,Bareland,NULL,Non_Wetland,NULL
169,Cropland,Bareland,NULL,Non_Wetland,Grassland
170,Cropland,Bareland,NULL,Non_Wetland,Wetland
171,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
172,Cropland,Bareland,NULL,Non_Wetland,Bareland
173,Cropland,Bareland,NULL,Non_Wetland,Built-up
174,Cropland,Bareland,NULL,Non_Wetland,Water
175,Cropland,Bareland,NULL,Non_Wetland,Forest
176,Cropland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
177,Cropland,Bareland,Water,Non_Wetland,Forest
178,Cropland,Built-up,NULL,Non_Wetland,NULL
179,Cropland,Built-up,NULL,Non_Wetland,Built-up
180,Cropland,Built-up,NULL,Non_Wetland,Forest
181,Cropland,Forest,NULL,Non_Wetland,NULL
182,Cropland,Forest,NULL,Non_Wetland,Grassland
183,Cropland,Forest,NULL,Non_Wetland,Wetland
184,Cropland,Forest,NULL,Non_Wetland,Bareland
185,Cropland,Forest,NULL,Non_Wetland,Built-up
186,Cropland,Forest,NULL,Non_Wetland,Forest
187,Wetland,NULL,NULL,Non_Wetland,NULL
188,Wetland,NULL,NULL,Non_Wetland,Grassland
189,Wetland,NULL,NULL,Non_Wetland,Wetland
190,Wetland,NULL,NULL,Non_Wetland,Bareland
191,Wetland,NULL,NULL,Non_Wetland,Water
192,Wetland,NULL,NULL,Non_Wetland,Forest
193,Wetland,NULL,Non_Water,Non_Wetland,Grassland
194,Wetland,NULL,Non_Water,Non_Wetland,Wetland
195,Wetland,NULL,Non_Water,Non_Wetland,Water
196,Wetland,NULL,Non_Water,Non_Wetland,Forest
197,Wetland,NULL,Water,Non_Wetland,Grassland
198,Wetland,NULL,Water,Non_Wetland,Wetland
199,Wetland,NULL,Water,Non_Wetland,Water
200,Wetland,NULL,Water,Non_Wetland,Forest
201,Wetland,Shrubland,NULL,Non_Wetland,NULL
202,Wetland,Shrubland,NULL,Non_Wetland,Grassland
203,Wetland,Shrubland,NULL,Non_Wetland,Wetland
204,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
205,Wetland,Shrubland,NULL,Non_Wetland,Bareland
206,Wetland,Shrubland,NULL,Non_Wetland,Built-up
207,Wetland,Shrubland,NULL,Non_Wetland,Water
208,Wetland,Shrubland,NULL,Non_Wetland,Forest
209,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
210,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
211,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
212,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Shrubland,Non_Water,Non_Wetland,Water
214,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
215,Wetland,Shrubland,Water,Non_Wetland,Grassland
216,Wetland,Shrubland,Water,Non_Wetland,Wetland
217,Wetland,Shrubland,Water,Non_Wetland,Bareland
218,Wetland,Shrubland,Water,Non_Wetland,Water
219,Wetland,Shrubland,Water,Non_Wetland,Forest
220,Wetland,Grassland,NULL,Non_Wetland,NULL
221,Wetland,Grassland,NULL,Non_Wetland,Grassland
222,Wetland,Grassland,NULL,Non_Wetland,Wetland
223,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Grassland,NULL,Non_Wetland,Bareland
225,Wetland,Grassland,NULL,Non_Wetland,Built-up
226,Wetland,Grassland,NULL,Non_Wetland,Water
227,Wetland,Grassland,NULL,Non_Wetland,Forest
228,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
229,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
230,Wetland,Grassland,Non_Water,Non_Wetland,Water
231,Wetland,Grassland,Non_Water,Non_Wetland,Forest
232,Wetland,Grassland,Water,Non_Wetland,Grassland
233,Wetland,Grassland,Water,Non_Wetland,Wetland
234,Wetland,Grassland,Water,Non_Wetland,Forest
235,Wetland,Cropland,NULL,Non_Wetland,Wetland
236,Wetland,Cropland,NULL,Non_Wetland,Bareland
237,Wetland,Cropland,NULL,Non_Wetland,Forest
238,Wetland,Wetland,NULL,Wetland,NULL
239,Wetland,Wetland,NULL,Wetland,Grassland
240,Wetland,Wetland,NULL,Wetland,Cropland
241,Wetland,Wetland,NULL,Wetland,Wetland
242,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,NULL,Wetland,Bareland
244,Wetland,Wetland,NULL,Wetland,Built-up
245,Wetland,Wetland,NULL,Wetland,Water
246,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
247,Wetland,Wetland,NULL,Wetland,Forest
248,Wetland,Wetland,Non_Water,Wetland,NULL
249,Wetland,Wetland,Non_Water,Wetland,Grassland
250,Wetland,Wetland,Non_Water,Wetland,Wetland
251,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
252,Wetland,Wetland,Non_Water,Wetland,Bareland
253,Wetland,Wetland,Non_Water,Wetland,Built-up
254,Wetland,Wetland,Non_Water,Wetland,Water
255,Wetland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
256,Wetland,Wetland,Non_Water,Wetland,Forest
257,Wetland,Wetland,Water,Wetland,NULL
258,Wetland,Wetland,Water,Wetland,Grassland
259,Wetland,Wetland,Water,Wetland,Wetland
260,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
261,Wetland,Wetland,Water,Wetland,Bareland
262,Wetland,Wetland,Water,Wetland,Built-up
