Value,SIBERIA_2024_ESA_CALU_2024_42WVD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVD_M_R,SIBERIA_2024_WorldCover_2021_42WVD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Water
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
27,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Water,Non_Wetland,Water
29,NULL,NULL,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
31,NULL,NULL,Wetland,NULL,NULL,Bareland
32,NULL,NULL,Wetland,NULL,NULL,Water
33,NULL,NULL,Wetland,NULL,Wetland,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
36,NULL,NULL,Wetland,NULL,Wetland,Bareland
37,NULL,NULL,Wetland,NULL,Wetland,Built-up
38,NULL,NULL,Wetland,NULL,Wetland,Water
39,NULL,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
40,NULL,NULL,Wetland,Non_Water,NULL,Wetland
41,NULL,NULL,Wetland,Non_Water,NULL,Bareland
42,NULL,NULL,Wetland,Non_Water,NULL,Water
43,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
45,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
46,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
47,NULL,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
49,NULL,NULL,Wetland,Water,NULL,Grassland
50,NULL,NULL,Wetland,Water,NULL,Wetland
51,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
52,NULL,NULL,Wetland,Water,NULL,Bareland
53,NULL,NULL,Wetland,Water,NULL,Water
54,NULL,NULL,Wetland,Water,Wetland,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
57,NULL,NULL,Wetland,Water,Wetland,Bareland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
72,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
74,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
77,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
82,NULL,NULL,Bareland,NULL,Non_Wetland,Water
83,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
84,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Water,Non_Wetland,Water
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,NULL,Built-up,NULL,Non_Wetland,Water
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
108,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
113,NULL,NULL,Built-up,Water,Non_Wetland,Water
114,NULL,NULL,Water,NULL,NULL,NULL
115,NULL,NULL,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,NULL,NULL,Wetland
117,NULL,NULL,Water,NULL,NULL,Bareland
118,NULL,NULL,Water,NULL,NULL,Water
119,NULL,NULL,Water,NULL,Water,Grassland
120,NULL,NULL,Water,NULL,Water,Wetland
121,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,NULL,Water,NULL,Water,Bareland
123,NULL,NULL,Water,NULL,Water,Water
124,NULL,NULL,Water,NULL,Water,Forest
125,NULL,NULL,Water,Non_Water,NULL,Bareland
126,NULL,NULL,Water,Non_Water,NULL,Water
127,NULL,NULL,Water,Non_Water,Water,Grassland
128,NULL,NULL,Water,Non_Water,Water,Wetland
129,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
130,NULL,NULL,Water,Non_Water,Water,Bareland
131,NULL,NULL,Water,Non_Water,Water,Water
132,NULL,NULL,Water,Non_Water,Water,Permanent_ice_and_snow
133,NULL,NULL,Water,Water,NULL,Grassland
134,NULL,NULL,Water,Water,NULL,Wetland
135,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
136,NULL,NULL,Water,Water,NULL,Bareland
137,NULL,NULL,Water,Water,NULL,Water
138,NULL,NULL,Water,Water,Water,Grassland
139,NULL,NULL,Water,Water,Water,Wetland
140,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
141,NULL,NULL,Water,Water,Water,Bareland
142,NULL,NULL,Water,Water,Water,Water
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
147,NULL,NULL,Forest,Water,Non_Wetland,Wetland
148,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
149,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
150,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
151,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Bareland
152,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Built-up
153,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
154,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Forest
155,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
156,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
157,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
158,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
159,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
160,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
161,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
162,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
163,Shrubland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
164,Shrubland,NULL,Shrubland,Water,Non_Wetland,Bareland
165,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
166,Shrubland,NULL,Shrubland,Water,Non_Wetland,Forest
167,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
168,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
169,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
170,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
171,Shrubland,NULL,Grassland,NULL,Non_Wetland,Built-up
172,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
173,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
174,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
175,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
176,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
177,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
178,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
179,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Forest
180,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
181,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
182,Shrubland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
183,Shrubland,NULL,Grassland,Water,Non_Wetland,Bareland
184,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
185,Shrubland,NULL,Wetland,NULL,NULL,Wetland
186,Shrubland,NULL,Wetland,NULL,NULL,Water
187,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
188,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
