Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNQ_M_R,SIBERIA_2024_WorldCover_2021_44VNQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Water
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,Grassland,Water,Non_Wetland,Wetland
37,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,Cropland,Non_Water,Non_Wetland,Forest
43,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,Cropland,Water,Non_Wetland,Forest
45,NULL,Wetland,NULL,Wetland,NULL
46,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
49,NULL,Wetland,NULL,Wetland,Built-up
50,NULL,Wetland,NULL,Wetland,Water
51,NULL,Wetland,NULL,Wetland,Forest
52,NULL,Wetland,Non_Water,Wetland,NULL
53,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,Wetland,Non_Water,Wetland,Wetland
55,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,Wetland,Water,Wetland,NULL
58,NULL,Wetland,Water,Wetland,Grassland
59,NULL,Wetland,Water,Wetland,Wetland
60,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Water,Wetland,Bareland
62,NULL,Wetland,Water,Wetland,Water
63,NULL,Wetland,Water,Wetland,Forest
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
69,NULL,Bareland,NULL,Non_Wetland,NULL
70,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,Bareland,NULL,Non_Wetland,Wetland
72,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,Bareland,Non_Water,Non_Wetland,Wetland
79,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,Built-up,NULL,Non_Wetland,NULL
90,NULL,Built-up,NULL,Non_Wetland,Grassland
91,NULL,Built-up,NULL,Non_Wetland,Wetland
92,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Built-up,NULL,Non_Wetland,Bareland
94,NULL,Built-up,NULL,Non_Wetland,Built-up
95,NULL,Built-up,NULL,Non_Wetland,Water
96,NULL,Built-up,NULL,Non_Wetland,Forest
97,NULL,Built-up,Non_Water,Non_Wetland,Grassland
98,NULL,Built-up,Non_Water,Non_Wetland,Wetland
99,NULL,Built-up,Non_Water,Non_Wetland,Forest
100,NULL,Built-up,Water,Non_Wetland,Grassland
101,NULL,Built-up,Water,Non_Wetland,Wetland
102,NULL,Built-up,Water,Non_Wetland,Water
103,NULL,Built-up,Water,Non_Wetland,Forest
104,NULL,Water,NULL,Water,NULL
105,NULL,Water,NULL,Water,Grassland
106,NULL,Water,NULL,Water,Wetland
107,NULL,Water,NULL,Water,Lichens_and_Mosses
108,NULL,Water,NULL,Water,Bareland
109,NULL,Water,NULL,Water,Water
110,NULL,Water,NULL,Water,Forest
111,NULL,Water,Non_Water,Water,Wetland
112,NULL,Water,Non_Water,Water,Lichens_and_Mosses
113,NULL,Water,Non_Water,Water,Water
114,NULL,Water,Non_Water,Water,Forest
115,NULL,Water,Water,Water,NULL
116,NULL,Water,Water,Water,Grassland
117,NULL,Water,Water,Water,Wetland
118,NULL,Water,Water,Water,Bareland
119,NULL,Water,Water,Water,Water
120,NULL,Water,Water,Water,Forest
121,NULL,Forest,NULL,Non_Wetland,NULL
122,NULL,Forest,NULL,Non_Wetland,Grassland
123,NULL,Forest,NULL,Non_Wetland,Wetland
124,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,Forest,NULL,Non_Wetland,Water
126,NULL,Forest,NULL,Non_Wetland,Forest
127,NULL,Forest,Non_Water,Non_Wetland,NULL
128,NULL,Forest,Non_Water,Non_Wetland,Grassland
129,NULL,Forest,Non_Water,Non_Wetland,Wetland
130,NULL,Forest,Non_Water,Non_Wetland,Water
131,NULL,Forest,Non_Water,Non_Wetland,Forest
132,NULL,Forest,Water,Non_Wetland,NULL
133,NULL,Forest,Water,Non_Wetland,Grassland
134,NULL,Forest,Water,Non_Wetland,Wetland
135,NULL,Forest,Water,Non_Wetland,Water
136,NULL,Forest,Water,Non_Wetland,Forest
137,Cropland,NULL,NULL,Non_Wetland,Grassland
138,Cropland,NULL,NULL,Non_Wetland,Wetland
139,Cropland,NULL,NULL,Non_Wetland,Forest
140,Cropland,Shrubland,NULL,Non_Wetland,NULL
141,Cropland,Shrubland,NULL,Non_Wetland,Grassland
142,Cropland,Shrubland,NULL,Non_Wetland,Wetland
143,Cropland,Shrubland,NULL,Non_Wetland,Forest
144,Cropland,Grassland,NULL,Non_Wetland,Forest
145,Cropland,Wetland,NULL,Wetland,NULL
146,Cropland,Wetland,NULL,Wetland,Grassland
147,Cropland,Wetland,NULL,Wetland,Wetland
148,Cropland,Wetland,NULL,Wetland,Forest
149,Cropland,Wetland,Non_Water,Wetland,Wetland
150,Cropland,Wetland,Non_Water,Wetland,Forest
151,Cropland,Wetland,Water,Wetland,Wetland
152,Cropland,Wetland,Water,Wetland,Forest
153,Cropland,Bareland,NULL,Non_Wetland,NULL
154,Cropland,Bareland,NULL,Non_Wetland,Grassland
155,Cropland,Bareland,NULL,Non_Wetland,Wetland
156,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
157,Cropland,Bareland,NULL,Non_Wetland,Forest
158,Cropland,Bareland,Non_Water,Non_Wetland,Forest
159,Cropland,Bareland,Water,Non_Wetland,Water
160,Cropland,Bareland,Water,Non_Wetland,Forest
161,Cropland,Built-up,NULL,Non_Wetland,Forest
162,Cropland,Water,NULL,Water,Wetland
163,Cropland,Water,NULL,Water,Water
164,Cropland,Water,Water,Water,Wetland
165,Cropland,Water,Water,Water,Water
166,Cropland,Water,Water,Water,Forest
167,Cropland,Forest,NULL,Non_Wetland,NULL
168,Cropland,Forest,NULL,Non_Wetland,Grassland
169,Cropland,Forest,NULL,Non_Wetland,Wetland
170,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
171,Cropland,Forest,NULL,Non_Wetland,Forest
172,Cropland,Forest,Non_Water,Non_Wetland,Forest
173,Wetland,NULL,NULL,Non_Wetland,NULL
174,Wetland,NULL,NULL,Non_Wetland,Grassland
175,Wetland,NULL,NULL,Non_Wetland,Wetland
176,Wetland,NULL,NULL,Non_Wetland,Water
177,Wetland,NULL,NULL,Non_Wetland,Forest
178,Wetland,NULL,Non_Water,Non_Wetland,Grassland
179,Wetland,NULL,Non_Water,Non_Wetland,Wetland
180,Wetland,NULL,Non_Water,Non_Wetland,Water
181,Wetland,NULL,Non_Water,Non_Wetland,Forest
182,Wetland,NULL,Water,Non_Wetland,Grassland
183,Wetland,NULL,Water,Non_Wetland,Wetland
184,Wetland,NULL,Water,Non_Wetland,Water
185,Wetland,NULL,Water,Non_Wetland,Forest
186,Wetland,Shrubland,NULL,Non_Wetland,NULL
187,Wetland,Shrubland,NULL,Non_Wetland,Grassland
188,Wetland,Shrubland,NULL,Non_Wetland,Wetland
189,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
190,Wetland,Shrubland,NULL,Non_Wetland,Water
191,Wetland,Shrubland,NULL,Non_Wetland,Forest
192,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
193,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,Wetland,Shrubland,Non_Water,Non_Wetland,Water
196,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
197,Wetland,Shrubland,Water,Non_Wetland,Grassland
198,Wetland,Shrubland,Water,Non_Wetland,Wetland
199,Wetland,Shrubland,Water,Non_Wetland,Water
200,Wetland,Shrubland,Water,Non_Wetland,Forest
201,Wetland,Grassland,NULL,Non_Wetland,NULL
202,Wetland,Grassland,NULL,Non_Wetland,Grassland
203,Wetland,Grassland,NULL,Non_Wetland,Wetland
204,Wetland,Grassland,NULL,Non_Wetland,Forest
205,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
206,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
207,Wetland,Grassland,Non_Water,Non_Wetland,Forest
208,Wetland,Grassland,Water,Non_Wetland,Grassland
209,Wetland,Grassland,Water,Non_Wetland,Wetland
210,Wetland,Grassland,Water,Non_Wetland,Forest
211,Wetland,Cropland,NULL,Non_Wetland,Grassland
212,Wetland,Cropland,NULL,Non_Wetland,Wetland
213,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
214,Wetland,Cropland,NULL,Non_Wetland,Water
215,Wetland,Cropland,NULL,Non_Wetland,Forest
216,Wetland,Wetland,NULL,Wetland,NULL
217,Wetland,Wetland,NULL,Wetland,Grassland
218,Wetland,Wetland,NULL,Wetland,Wetland
219,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
220,Wetland,Wetland,NULL,Wetland,Water
221,Wetland,Wetland,NULL,Wetland,Forest
222,Wetland,Wetland,Non_Water,Wetland,NULL
223,Wetland,Wetland,Non_Water,Wetland,Grassland
224,Wetland,Wetland,Non_Water,Wetland,Wetland
225,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
226,Wetland,Wetland,Non_Water,Wetland,Water
227,Wetland,Wetland,Non_Water,Wetland,Forest
228,Wetland,Wetland,Water,Wetland,NULL
229,Wetland,Wetland,Water,Wetland,Grassland
230,Wetland,Wetland,Water,Wetland,Wetland
231,Wetland,Wetland,Water,Wetland,Water
232,Wetland,Wetland,Water,Wetland,Forest
233,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
234,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
236,Wetland,Bareland,NULL,Non_Wetland,NULL
237,Wetland,Bareland,NULL,Non_Wetland,Grassland
238,Wetland,Bareland,NULL,Non_Wetland,Wetland
239,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
240,Wetland,Bareland,NULL,Non_Wetland,Bareland
241,Wetland,Bareland,NULL,Non_Wetland,Water
242,Wetland,Bareland,NULL,Non_Wetland,Forest
243,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
244,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
245,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
246,Wetland,Bareland,Non_Water,Non_Wetland,Water
247,Wetland,Bareland,Non_Water,Non_Wetland,Forest
248,Wetland,Bareland,Water,Non_Wetland,Grassland
249,Wetland,Bareland,Water,Non_Wetland,Wetland
250,Wetland,Bareland,Water,Non_Wetland,Water
251,Wetland,Bareland,Water,Non_Wetland,Forest
252,Wetland,Built-up,NULL,Non_Wetland,NULL
253,Wetland,Built-up,NULL,Non_Wetland,Grassland
254,Wetland,Built-up,NULL,Non_Wetland,Wetland
255,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
256,Wetland,Built-up,NULL,Non_Wetland,Water
257,Wetland,Built-up,NULL,Non_Wetland,Forest
258,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
259,Wetland,Built-up,Non_Water,Non_Wetland,Water
260,Wetland,Built-up,Non_Water,Non_Wetland,Forest
261,Wetland,Built-up,Water,Non_Wetland,Wetland
262,Wetland,Built-up,Water,Non_Wetland,Water
263,Wetland,Built-up,Water,Non_Wetland,Forest
264,Wetland,Water,NULL,Water,NULL
265,Wetland,Water,NULL,Water,Grassland
266,Wetland,Water,NULL,Water,Wetland
267,Wetland,Water,NULL,Water,Water
