Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLR_M_R,SIBERIA_2024_WorldCover_2021_44VLR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Water
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Water
46,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Wetland,NULL,Wetland,NULL
51,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
54,NULL,Wetland,NULL,Wetland,Bareland
55,NULL,Wetland,NULL,Wetland,Water
56,NULL,Wetland,NULL,Wetland,Forest
57,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Non_Water,Wetland,Bareland
62,NULL,Wetland,Non_Water,Wetland,Water
63,NULL,Wetland,Non_Water,Wetland,Forest
64,NULL,Wetland,Water,Wetland,NULL
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Water,Wetland,Bareland
69,NULL,Wetland,Water,Wetland,Water
70,NULL,Wetland,Water,Wetland,Forest
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
89,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,Bareland,Non_Water,Non_Wetland,NULL
98,NULL,Bareland,Non_Water,Non_Wetland,Grassland
99,NULL,Bareland,Non_Water,Non_Wetland,Wetland
100,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Non_Water,Non_Wetland,Bareland
102,NULL,Bareland,Non_Water,Non_Wetland,Water
103,NULL,Bareland,Non_Water,Non_Wetland,Forest
104,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,Bareland,Water,Non_Wetland,Wetland
106,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
107,NULL,Bareland,Water,Non_Wetland,Bareland
108,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,Built-up,Non_Water,Non_Wetland,Built-up
122,NULL,Built-up,Non_Water,Non_Wetland,Water
123,NULL,Built-up,Non_Water,Non_Wetland,Forest
124,NULL,Built-up,Water,Non_Wetland,Grassland
125,NULL,Built-up,Water,Non_Wetland,Wetland
126,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
127,NULL,Built-up,Water,Non_Wetland,Water
128,NULL,Built-up,Water,Non_Wetland,Forest
129,NULL,Water,NULL,Water,NULL
130,NULL,Water,NULL,Water,Grassland
131,NULL,Water,NULL,Water,Wetland
132,NULL,Water,NULL,Water,Lichens_and_Mosses
133,NULL,Water,NULL,Water,Bareland
134,NULL,Water,NULL,Water,Water
135,NULL,Water,NULL,Water,Forest
136,NULL,Water,Non_Water,Water,Grassland
137,NULL,Water,Non_Water,Water,Wetland
138,NULL,Water,Non_Water,Water,Lichens_and_Mosses
139,NULL,Water,Non_Water,Water,Bareland
140,NULL,Water,Non_Water,Water,Water
141,NULL,Water,Non_Water,Water,Forest
142,NULL,Water,Water,Water,NULL
143,NULL,Water,Water,Water,Grassland
144,NULL,Water,Water,Water,Wetland
145,NULL,Water,Water,Water,Lichens_and_Mosses
146,NULL,Water,Water,Water,Bareland
147,NULL,Water,Water,Water,Water
148,NULL,Water,Water,Water,Permanent_ice_and_snow
149,NULL,Water,Water,Water,Forest
150,NULL,Forest,NULL,Non_Wetland,NULL
151,NULL,Forest,NULL,Non_Wetland,Grassland
152,NULL,Forest,NULL,Non_Wetland,Wetland
153,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
154,NULL,Forest,NULL,Non_Wetland,Bareland
155,NULL,Forest,NULL,Non_Wetland,Built-up
156,NULL,Forest,NULL,Non_Wetland,Water
157,NULL,Forest,NULL,Non_Wetland,Forest
158,NULL,Forest,Non_Water,Non_Wetland,NULL
159,NULL,Forest,Non_Water,Non_Wetland,Grassland
160,NULL,Forest,Non_Water,Non_Wetland,Wetland
161,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
162,NULL,Forest,Non_Water,Non_Wetland,Water
163,NULL,Forest,Non_Water,Non_Wetland,Forest
164,NULL,Forest,Water,Non_Wetland,NULL
165,NULL,Forest,Water,Non_Wetland,Grassland
166,NULL,Forest,Water,Non_Wetland,Wetland
167,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
168,NULL,Forest,Water,Non_Wetland,Bareland
169,NULL,Forest,Water,Non_Wetland,Water
170,NULL,Forest,Water,Non_Wetland,Forest
171,Cropland,Shrubland,NULL,Non_Wetland,Grassland
172,Cropland,Shrubland,NULL,Non_Wetland,Wetland
173,Cropland,Grassland,NULL,Non_Wetland,Grassland
174,Cropland,Grassland,NULL,Non_Wetland,Wetland
175,Cropland,Wetland,NULL,Wetland,NULL
176,Cropland,Wetland,NULL,Wetland,Grassland
177,Cropland,Wetland,NULL,Wetland,Wetland
178,Cropland,Wetland,NULL,Wetland,Forest
179,Cropland,Bareland,NULL,Non_Wetland,NULL
180,Cropland,Bareland,NULL,Non_Wetland,Grassland
181,Cropland,Bareland,NULL,Non_Wetland,Wetland
182,Cropland,Bareland,NULL,Non_Wetland,Bareland
183,Cropland,Bareland,NULL,Non_Wetland,Forest
184,Cropland,Bareland,Non_Water,Non_Wetland,Forest
185,Cropland,Forest,NULL,Non_Wetland,NULL
186,Cropland,Forest,NULL,Non_Wetland,Grassland
187,Cropland,Forest,NULL,Non_Wetland,Wetland
188,Cropland,Forest,NULL,Non_Wetland,Forest
189,Wetland,NULL,NULL,Non_Wetland,NULL
190,Wetland,NULL,NULL,Non_Wetland,Grassland
191,Wetland,NULL,NULL,Non_Wetland,Wetland
192,Wetland,NULL,NULL,Non_Wetland,Water
193,Wetland,NULL,NULL,Non_Wetland,Forest
194,Wetland,NULL,Non_Water,Non_Wetland,Wetland
195,Wetland,NULL,Non_Water,Non_Wetland,Water
196,Wetland,NULL,Non_Water,Non_Wetland,Forest
197,Wetland,NULL,Water,Non_Wetland,Grassland
198,Wetland,NULL,Water,Non_Wetland,Wetland
199,Wetland,NULL,Water,Non_Wetland,Water
200,Wetland,NULL,Water,Non_Wetland,Forest
201,Wetland,Shrubland,NULL,Non_Wetland,NULL
202,Wetland,Shrubland,NULL,Non_Wetland,Grassland
203,Wetland,Shrubland,NULL,Non_Wetland,Wetland
204,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
205,Wetland,Shrubland,NULL,Non_Wetland,Bareland
206,Wetland,Shrubland,NULL,Non_Wetland,Water
207,Wetland,Shrubland,NULL,Non_Wetland,Forest
208,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
209,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
210,Wetland,Shrubland,Non_Water,Non_Wetland,Water
211,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
212,Wetland,Shrubland,Water,Non_Wetland,Grassland
213,Wetland,Shrubland,Water,Non_Wetland,Wetland
214,Wetland,Shrubland,Water,Non_Wetland,Water
215,Wetland,Shrubland,Water,Non_Wetland,Forest
216,Wetland,Grassland,NULL,Non_Wetland,NULL
217,Wetland,Grassland,NULL,Non_Wetland,Grassland
218,Wetland,Grassland,NULL,Non_Wetland,Wetland
219,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
220,Wetland,Grassland,NULL,Non_Wetland,Bareland
221,Wetland,Grassland,NULL,Non_Wetland,Built-up
222,Wetland,Grassland,NULL,Non_Wetland,Water
223,Wetland,Grassland,NULL,Non_Wetland,Forest
224,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
225,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
226,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
227,Wetland,Grassland,Non_Water,Non_Wetland,Water
228,Wetland,Grassland,Non_Water,Non_Wetland,Forest
229,Wetland,Grassland,Water,Non_Wetland,Grassland
230,Wetland,Grassland,Water,Non_Wetland,Wetland
231,Wetland,Grassland,Water,Non_Wetland,Forest
232,Wetland,Cropland,NULL,Non_Wetland,Forest
233,Wetland,Wetland,NULL,Wetland,NULL
234,Wetland,Wetland,NULL,Wetland,Grassland
235,Wetland,Wetland,NULL,Wetland,Wetland
236,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
237,Wetland,Wetland,NULL,Wetland,Bareland
238,Wetland,Wetland,NULL,Wetland,Built-up
239,Wetland,Wetland,NULL,Wetland,Water
240,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
241,Wetland,Wetland,NULL,Wetland,Forest
242,Wetland,Wetland,Non_Water,Wetland,NULL
243,Wetland,Wetland,Non_Water,Wetland,Grassland
244,Wetland,Wetland,Non_Water,Wetland,Wetland
245,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
246,Wetland,Wetland,Non_Water,Wetland,Bareland
247,Wetland,Wetland,Non_Water,Wetland,Water
248,Wetland,Wetland,Non_Water,Wetland,Forest
249,Wetland,Wetland,Water,Wetland,NULL
250,Wetland,Wetland,Water,Wetland,Grassland
251,Wetland,Wetland,Water,Wetland,Wetland
252,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,Water,Wetland,Bareland
254,Wetland,Wetland,Water,Wetland,Water
255,Wetland,Wetland,Water,Wetland,Permanent_ice_and_snow
256,Wetland,Wetland,Water,Wetland,Forest
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
260,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
