Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,SIBERIA_2024_WorldCover_2021_42VUN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,Cropland,Non_Water,Non_Wetland,Grassland
49,NULL,Cropland,Non_Water,Non_Wetland,Wetland
50,NULL,Cropland,Non_Water,Non_Wetland,Bareland
51,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,Cropland,Water,Non_Wetland,Water
53,NULL,Cropland,Water,Non_Wetland,Forest
54,NULL,Wetland,NULL,Wetland,NULL
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Cropland
57,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
59,NULL,Wetland,NULL,Wetland,Bareland
60,NULL,Wetland,NULL,Wetland,Built-up
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Cropland
66,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,NULL
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Cropland
72,NULL,Wetland,Water,Wetland,Wetland
73,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
74,NULL,Wetland,Water,Wetland,Water
75,NULL,Wetland,Water,Wetland,Forest
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
92,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
93,NULL,Bareland,NULL,Non_Wetland,NULL
94,NULL,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Bareland,NULL,Non_Wetland,Cropland
96,NULL,Bareland,NULL,Non_Wetland,Wetland
97,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,NULL,Non_Wetland,Bareland
99,NULL,Bareland,NULL,Non_Wetland,Built-up
100,NULL,Bareland,NULL,Non_Wetland,Water
101,NULL,Bareland,NULL,Non_Wetland,Forest
102,NULL,Bareland,Non_Water,Non_Wetland,NULL
103,NULL,Bareland,Non_Water,Non_Wetland,Grassland
104,NULL,Bareland,Non_Water,Non_Wetland,Wetland
105,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Non_Water,Non_Wetland,Bareland
107,NULL,Bareland,Non_Water,Non_Wetland,Built-up
108,NULL,Bareland,Non_Water,Non_Wetland,Water
109,NULL,Bareland,Non_Water,Non_Wetland,Forest
110,NULL,Bareland,Water,Non_Wetland,Grassland
111,NULL,Bareland,Water,Non_Wetland,Wetland
112,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Bareland,Water,Non_Wetland,Bareland
114,NULL,Bareland,Water,Non_Wetland,Water
115,NULL,Bareland,Water,Non_Wetland,Forest
116,NULL,Built-up,NULL,Non_Wetland,NULL
117,NULL,Built-up,NULL,Non_Wetland,Grassland
118,NULL,Built-up,NULL,Non_Wetland,Cropland
119,NULL,Built-up,NULL,Non_Wetland,Wetland
120,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
121,NULL,Built-up,NULL,Non_Wetland,Bareland
122,NULL,Built-up,NULL,Non_Wetland,Built-up
123,NULL,Built-up,NULL,Non_Wetland,Water
124,NULL,Built-up,NULL,Non_Wetland,Forest
125,NULL,Built-up,Non_Water,Non_Wetland,Grassland
126,NULL,Built-up,Non_Water,Non_Wetland,Wetland
127,NULL,Built-up,Non_Water,Non_Wetland,Bareland
128,NULL,Built-up,Non_Water,Non_Wetland,Built-up
129,NULL,Built-up,Non_Water,Non_Wetland,Water
130,NULL,Built-up,Non_Water,Non_Wetland,Forest
131,NULL,Built-up,Water,Non_Wetland,Grassland
132,NULL,Built-up,Water,Non_Wetland,Wetland
133,NULL,Built-up,Water,Non_Wetland,Bareland
134,NULL,Built-up,Water,Non_Wetland,Built-up
135,NULL,Built-up,Water,Non_Wetland,Water
136,NULL,Built-up,Water,Non_Wetland,Forest
137,NULL,Water,NULL,Water,NULL
138,NULL,Water,NULL,Water,Grassland
139,NULL,Water,NULL,Water,Wetland
140,NULL,Water,NULL,Water,Water
141,NULL,Water,NULL,Water,Forest
142,NULL,Water,Non_Water,Water,Grassland
143,NULL,Water,Non_Water,Water,Wetland
144,NULL,Water,Non_Water,Water,Lichens_and_Mosses
145,NULL,Water,Non_Water,Water,Water
146,NULL,Water,Non_Water,Water,Forest
147,NULL,Water,Water,Water,NULL
148,NULL,Water,Water,Water,Grassland
149,NULL,Water,Water,Water,Wetland
150,NULL,Water,Water,Water,Water
151,NULL,Water,Water,Water,Forest
152,NULL,Forest,NULL,Non_Wetland,NULL
153,NULL,Forest,NULL,Non_Wetland,Grassland
154,NULL,Forest,NULL,Non_Wetland,Cropland
155,NULL,Forest,NULL,Non_Wetland,Wetland
156,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
157,NULL,Forest,NULL,Non_Wetland,Bareland
158,NULL,Forest,NULL,Non_Wetland,Built-up
159,NULL,Forest,NULL,Non_Wetland,Water
160,NULL,Forest,NULL,Non_Wetland,Forest
161,NULL,Forest,Non_Water,Non_Wetland,NULL
162,NULL,Forest,Non_Water,Non_Wetland,Grassland
163,NULL,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,Forest,Non_Water,Non_Wetland,Bareland
165,NULL,Forest,Non_Water,Non_Wetland,Water
166,NULL,Forest,Non_Water,Non_Wetland,Forest
167,NULL,Forest,Water,Non_Wetland,NULL
168,NULL,Forest,Water,Non_Wetland,Grassland
169,NULL,Forest,Water,Non_Wetland,Wetland
170,NULL,Forest,Water,Non_Wetland,Water
171,NULL,Forest,Water,Non_Wetland,Forest
172,Cropland,NULL,NULL,Non_Wetland,NULL
173,Cropland,NULL,NULL,Non_Wetland,Grassland
174,Cropland,Shrubland,NULL,Non_Wetland,NULL
175,Cropland,Shrubland,NULL,Non_Wetland,Grassland
176,Cropland,Shrubland,NULL,Non_Wetland,Wetland
177,Cropland,Shrubland,NULL,Non_Wetland,Forest
178,Cropland,Cropland,NULL,Non_Wetland,Grassland
179,Cropland,Cropland,NULL,Non_Wetland,Wetland
180,Cropland,Cropland,NULL,Non_Wetland,Bareland
181,Cropland,Cropland,NULL,Non_Wetland,Forest
182,Cropland,Wetland,NULL,Wetland,NULL
183,Cropland,Wetland,NULL,Wetland,Grassland
184,Cropland,Wetland,NULL,Wetland,Wetland
185,Cropland,Wetland,NULL,Wetland,Forest
186,Cropland,Bareland,NULL,Non_Wetland,NULL
187,Cropland,Bareland,NULL,Non_Wetland,Grassland
188,Cropland,Bareland,NULL,Non_Wetland,Wetland
189,Cropland,Bareland,NULL,Non_Wetland,Bareland
190,Cropland,Bareland,NULL,Non_Wetland,Water
191,Cropland,Bareland,NULL,Non_Wetland,Forest
192,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
193,Cropland,Built-up,NULL,Non_Wetland,Grassland
194,Cropland,Built-up,NULL,Non_Wetland,Wetland
195,Cropland,Built-up,NULL,Non_Wetland,Bareland
196,Cropland,Built-up,NULL,Non_Wetland,Built-up
197,Cropland,Built-up,NULL,Non_Wetland,Forest
198,Cropland,Forest,NULL,Non_Wetland,NULL
199,Cropland,Forest,NULL,Non_Wetland,Grassland
200,Cropland,Forest,NULL,Non_Wetland,Wetland
201,Cropland,Forest,NULL,Non_Wetland,Forest
202,Wetland,NULL,NULL,Non_Wetland,NULL
203,Wetland,NULL,NULL,Non_Wetland,Grassland
204,Wetland,NULL,NULL,Non_Wetland,Wetland
205,Wetland,NULL,NULL,Non_Wetland,Water
206,Wetland,NULL,NULL,Non_Wetland,Forest
207,Wetland,NULL,Non_Water,Non_Wetland,Grassland
208,Wetland,NULL,Non_Water,Non_Wetland,Wetland
209,Wetland,NULL,Non_Water,Non_Wetland,Water
210,Wetland,NULL,Non_Water,Non_Wetland,Forest
211,Wetland,NULL,Water,Non_Wetland,Wetland
212,Wetland,NULL,Water,Non_Wetland,Water
213,Wetland,NULL,Water,Non_Wetland,Forest
214,Wetland,Shrubland,NULL,Non_Wetland,NULL
215,Wetland,Shrubland,NULL,Non_Wetland,Grassland
216,Wetland,Shrubland,NULL,Non_Wetland,Wetland
217,Wetland,Shrubland,NULL,Non_Wetland,Bareland
218,Wetland,Shrubland,NULL,Non_Wetland,Water
219,Wetland,Shrubland,NULL,Non_Wetland,Forest
220,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
221,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
222,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
223,Wetland,Shrubland,Water,Non_Wetland,Grassland
224,Wetland,Shrubland,Water,Non_Wetland,Wetland
225,Wetland,Shrubland,Water,Non_Wetland,Water
226,Wetland,Shrubland,Water,Non_Wetland,Forest
227,Wetland,Grassland,NULL,Non_Wetland,Grassland
228,Wetland,Grassland,NULL,Non_Wetland,Wetland
229,Wetland,Grassland,NULL,Non_Wetland,Forest
230,Wetland,Cropland,NULL,Non_Wetland,NULL
231,Wetland,Cropland,NULL,Non_Wetland,Grassland
232,Wetland,Cropland,NULL,Non_Wetland,Wetland
233,Wetland,Cropland,NULL,Non_Wetland,Bareland
234,Wetland,Cropland,NULL,Non_Wetland,Forest
235,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
236,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
237,Wetland,Cropland,Water,Non_Wetland,Forest
238,Wetland,Wetland,NULL,Wetland,NULL
239,Wetland,Wetland,NULL,Wetland,Grassland
240,Wetland,Wetland,NULL,Wetland,Cropland
241,Wetland,Wetland,NULL,Wetland,Wetland
242,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,NULL,Wetland,Bareland
244,Wetland,Wetland,NULL,Wetland,Water
245,Wetland,Wetland,NULL,Wetland,Forest
246,Wetland,Wetland,Non_Water,Wetland,NULL
247,Wetland,Wetland,Non_Water,Wetland,Grassland
248,Wetland,Wetland,Non_Water,Wetland,Cropland
249,Wetland,Wetland,Non_Water,Wetland,Wetland
250,Wetland,Wetland,Non_Water,Wetland,Water
251,Wetland,Wetland,Non_Water,Wetland,Forest
252,Wetland,Wetland,Water,Wetland,NULL
253,Wetland,Wetland,Water,Wetland,Grassland
254,Wetland,Wetland,Water,Wetland,Wetland
255,Wetland,Wetland,Water,Wetland,Water
256,Wetland,Wetland,Water,Wetland,Forest
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
260,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
261,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
262,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
263,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
