Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNP_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNP_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNP_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNP_M_R,SIBERIA_2024_WorldCover_2021_44VNP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,Grassland,Non_Water,Non_Wetland,Wetland
37,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Cropland,Non_Water,Non_Wetland,Forest
46,NULL,Cropland,Water,Non_Wetland,Wetland
47,NULL,Cropland,Water,Non_Wetland,Forest
48,NULL,Wetland,NULL,Wetland,NULL
49,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,Wetland,NULL
62,NULL,Wetland,Water,Wetland,Grassland
63,NULL,Wetland,Water,Wetland,Wetland
64,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Water,Wetland,Bareland
66,NULL,Wetland,Water,Wetland,Water
67,NULL,Wetland,Water,Wetland,Forest
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,Bareland,NULL,Non_Wetland,Built-up
79,NULL,Bareland,NULL,Non_Wetland,Water
80,NULL,Bareland,NULL,Non_Wetland,Forest
81,NULL,Bareland,Non_Water,Non_Wetland,NULL
82,NULL,Bareland,Non_Water,Non_Wetland,Grassland
83,NULL,Bareland,Non_Water,Non_Wetland,Wetland
84,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,Bareland,Non_Water,Non_Wetland,Water
87,NULL,Bareland,Non_Water,Non_Wetland,Forest
88,NULL,Bareland,Water,Non_Wetland,Grassland
89,NULL,Bareland,Water,Non_Wetland,Wetland
90,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,Water,Non_Wetland,Bareland
92,NULL,Bareland,Water,Non_Wetland,Water
93,NULL,Bareland,Water,Non_Wetland,Forest
94,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,Non_Wetland,Wetland
97,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,Built-up,NULL,Non_Wetland,Water
101,NULL,Built-up,NULL,Non_Wetland,Forest
102,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,Non_Water,Non_Wetland,Forest
106,NULL,Built-up,Water,Non_Wetland,Grassland
107,NULL,Built-up,Water,Non_Wetland,Wetland
108,NULL,Built-up,Water,Non_Wetland,Forest
109,NULL,Water,NULL,Water,NULL
110,NULL,Water,NULL,Water,Grassland
111,NULL,Water,NULL,Water,Wetland
112,NULL,Water,NULL,Water,Lichens_and_Mosses
113,NULL,Water,NULL,Water,Water
114,NULL,Water,NULL,Water,Forest
115,NULL,Water,Non_Water,Water,Grassland
116,NULL,Water,Non_Water,Water,Wetland
117,NULL,Water,Non_Water,Water,Lichens_and_Mosses
118,NULL,Water,Non_Water,Water,Water
119,NULL,Water,Non_Water,Water,Forest
120,NULL,Water,Water,Water,NULL
121,NULL,Water,Water,Water,Grassland
122,NULL,Water,Water,Water,Wetland
123,NULL,Water,Water,Water,Lichens_and_Mosses
124,NULL,Water,Water,Water,Bareland
125,NULL,Water,Water,Water,Water
126,NULL,Water,Water,Water,Forest
127,NULL,Forest,NULL,Non_Wetland,NULL
128,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,Forest,NULL,Non_Wetland,Wetland
130,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,Forest,NULL,Non_Wetland,Water
132,NULL,Forest,NULL,Non_Wetland,Forest
133,NULL,Forest,Non_Water,Non_Wetland,NULL
134,NULL,Forest,Non_Water,Non_Wetland,Grassland
135,NULL,Forest,Non_Water,Non_Wetland,Wetland
136,NULL,Forest,Non_Water,Non_Wetland,Water
137,NULL,Forest,Non_Water,Non_Wetland,Forest
138,NULL,Forest,Water,Non_Wetland,NULL
139,NULL,Forest,Water,Non_Wetland,Grassland
140,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,Forest,Water,Non_Wetland,Water
142,NULL,Forest,Water,Non_Wetland,Forest
143,Cropland,NULL,NULL,Non_Wetland,Grassland
144,Cropland,NULL,NULL,Non_Wetland,Wetland
145,Cropland,NULL,NULL,Non_Wetland,Forest
146,Cropland,Shrubland,NULL,Non_Wetland,NULL
147,Cropland,Shrubland,NULL,Non_Wetland,Grassland
148,Cropland,Shrubland,NULL,Non_Wetland,Wetland
149,Cropland,Shrubland,NULL,Non_Wetland,Forest
150,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
151,Cropland,Wetland,NULL,Wetland,NULL
152,Cropland,Wetland,NULL,Wetland,Grassland
153,Cropland,Wetland,NULL,Wetland,Wetland
154,Cropland,Wetland,NULL,Wetland,Forest
155,Cropland,Wetland,Non_Water,Wetland,Wetland
156,Cropland,Wetland,Non_Water,Wetland,Forest
157,Cropland,Wetland,Water,Wetland,Wetland
158,Cropland,Wetland,Water,Wetland,Forest
159,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
160,Cropland,Bareland,NULL,Non_Wetland,NULL
161,Cropland,Bareland,NULL,Non_Wetland,Grassland
162,Cropland,Bareland,NULL,Non_Wetland,Wetland
163,Cropland,Bareland,NULL,Non_Wetland,Forest
164,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
165,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
166,Cropland,Water,NULL,Water,Wetland
167,Cropland,Water,NULL,Water,Forest
168,Cropland,Water,Non_Water,Water,Wetland
169,Cropland,Water,Water,Water,Wetland
170,Cropland,Water,Water,Water,Forest
171,Cropland,Forest,NULL,Non_Wetland,NULL
172,Cropland,Forest,NULL,Non_Wetland,Grassland
173,Cropland,Forest,NULL,Non_Wetland,Wetland
174,Cropland,Forest,NULL,Non_Wetland,Forest
175,Cropland,Forest,Non_Water,Non_Wetland,Forest
176,Cropland,Forest,Water,Non_Wetland,Forest
177,Wetland,NULL,NULL,Non_Wetland,NULL
178,Wetland,NULL,NULL,Non_Wetland,Grassland
179,Wetland,NULL,NULL,Non_Wetland,Wetland
180,Wetland,NULL,NULL,Non_Wetland,Bareland
181,Wetland,NULL,NULL,Non_Wetland,Water
182,Wetland,NULL,NULL,Non_Wetland,Forest
183,Wetland,NULL,Non_Water,Non_Wetland,NULL
184,Wetland,NULL,Non_Water,Non_Wetland,Grassland
185,Wetland,NULL,Non_Water,Non_Wetland,Wetland
186,Wetland,NULL,Non_Water,Non_Wetland,Water
187,Wetland,NULL,Non_Water,Non_Wetland,Forest
188,Wetland,NULL,Water,Non_Wetland,NULL
189,Wetland,NULL,Water,Non_Wetland,Grassland
190,Wetland,NULL,Water,Non_Wetland,Wetland
191,Wetland,NULL,Water,Non_Wetland,Water
192,Wetland,NULL,Water,Non_Wetland,Forest
193,Wetland,Shrubland,NULL,Non_Wetland,NULL
194,Wetland,Shrubland,NULL,Non_Wetland,Grassland
195,Wetland,Shrubland,NULL,Non_Wetland,Wetland
196,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
197,Wetland,Shrubland,NULL,Non_Wetland,Water
198,Wetland,Shrubland,NULL,Non_Wetland,Forest
199,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
200,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
201,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
202,Wetland,Shrubland,Non_Water,Non_Wetland,Water
203,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
204,Wetland,Shrubland,Water,Non_Wetland,NULL
205,Wetland,Shrubland,Water,Non_Wetland,Grassland
206,Wetland,Shrubland,Water,Non_Wetland,Wetland
207,Wetland,Shrubland,Water,Non_Wetland,Bareland
208,Wetland,Shrubland,Water,Non_Wetland,Water
209,Wetland,Shrubland,Water,Non_Wetland,Forest
210,Wetland,Grassland,NULL,Non_Wetland,NULL
211,Wetland,Grassland,NULL,Non_Wetland,Grassland
212,Wetland,Grassland,NULL,Non_Wetland,Wetland
213,Wetland,Grassland,NULL,Non_Wetland,Forest
214,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
215,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
216,Wetland,Grassland,Non_Water,Non_Wetland,Forest
217,Wetland,Grassland,Water,Non_Wetland,Grassland
218,Wetland,Grassland,Water,Non_Wetland,Wetland
219,Wetland,Grassland,Water,Non_Wetland,Forest
220,Wetland,Cropland,NULL,Non_Wetland,NULL
221,Wetland,Cropland,NULL,Non_Wetland,Grassland
222,Wetland,Cropland,NULL,Non_Wetland,Wetland
223,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Cropland,NULL,Non_Wetland,Forest
225,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
226,Wetland,Cropland,Non_Water,Non_Wetland,Forest
227,Wetland,Cropland,Water,Non_Wetland,Grassland
228,Wetland,Cropland,Water,Non_Wetland,Wetland
229,Wetland,Cropland,Water,Non_Wetland,Bareland
230,Wetland,Cropland,Water,Non_Wetland,Forest
231,Wetland,Wetland,NULL,Wetland,NULL
232,Wetland,Wetland,NULL,Wetland,Grassland
233,Wetland,Wetland,NULL,Wetland,Wetland
234,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
235,Wetland,Wetland,NULL,Wetland,Bareland
236,Wetland,Wetland,NULL,Wetland,Water
237,Wetland,Wetland,NULL,Wetland,Forest
238,Wetland,Wetland,Non_Water,Wetland,NULL
239,Wetland,Wetland,Non_Water,Wetland,Grassland
240,Wetland,Wetland,Non_Water,Wetland,Wetland
241,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
242,Wetland,Wetland,Non_Water,Wetland,Bareland
243,Wetland,Wetland,Non_Water,Wetland,Water
244,Wetland,Wetland,Non_Water,Wetland,Forest
245,Wetland,Wetland,Water,Wetland,NULL
246,Wetland,Wetland,Water,Wetland,Grassland
247,Wetland,Wetland,Water,Wetland,Wetland
248,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
249,Wetland,Wetland,Water,Wetland,Bareland
250,Wetland,Wetland,Water,Wetland,Water
251,Wetland,Wetland,Water,Wetland,Forest
252,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
253,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
254,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
255,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
257,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
258,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
259,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
260,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
261,Wetland,Bareland,NULL,Non_Wetland,NULL
262,Wetland,Bareland,NULL,Non_Wetland,Grassland
263,Wetland,Bareland,NULL,Non_Wetland,Wetland
264,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
265,Wetland,Bareland,NULL,Non_Wetland,Bareland
