Value,SIBERIA_2024_ESA_CALU_2024_41WPT_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPT_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPT_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPT_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,SIBERIA_2024_WorldCover_2021_41WPT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Water,Non_Wetland,Water
36,NULL,NULL,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,NULL,NULL,Wetland
38,NULL,NULL,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
42,NULL,NULL,Wetland,NULL,Wetland,Bareland
43,NULL,NULL,Wetland,NULL,Wetland,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
46,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,NULL,Wetland,Water,NULL,Wetland
49,NULL,NULL,Wetland,Water,NULL,Bareland
50,NULL,NULL,Wetland,Water,NULL,Water
51,NULL,NULL,Wetland,Water,Wetland,Grassland
52,NULL,NULL,Wetland,Water,Wetland,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
69,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
70,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
72,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
83,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
95,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
96,NULL,NULL,Water,NULL,NULL,NULL
97,NULL,NULL,Water,NULL,NULL,Wetland
98,NULL,NULL,Water,NULL,NULL,Water
99,NULL,NULL,Water,NULL,Water,Grassland
100,NULL,NULL,Water,NULL,Water,Wetland
101,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
102,NULL,NULL,Water,NULL,Water,Water
103,NULL,NULL,Water,Non_Water,Water,Grassland
104,NULL,NULL,Water,Non_Water,Water,Wetland
105,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
106,NULL,NULL,Water,Non_Water,Water,Water
107,NULL,NULL,Water,Water,NULL,NULL
108,NULL,NULL,Water,Water,NULL,Wetland
109,NULL,NULL,Water,Water,NULL,Water
110,NULL,NULL,Water,Water,Water,Grassland
111,NULL,NULL,Water,Water,Water,Wetland
