Value,SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,SIBERIA_2024_WorldCover_2021_45XVB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,NULL,Water,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,NULL,NULL,Wetland
46,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
47,NULL,NULL,Wetland,NULL,NULL,Bareland
48,NULL,NULL,Wetland,NULL,NULL,Water
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,Water
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,NULL,Grassland
56,NULL,NULL,Wetland,Non_Water,NULL,Wetland
57,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
58,NULL,NULL,Wetland,Non_Water,NULL,Bareland
59,NULL,NULL,Wetland,Non_Water,NULL,Water
60,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,NULL,Wetland,Water,NULL,Grassland
66,NULL,NULL,Wetland,Water,NULL,Wetland
67,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
68,NULL,NULL,Wetland,Water,NULL,Bareland
69,NULL,NULL,Wetland,Water,NULL,Water
70,NULL,NULL,Wetland,Water,NULL,Forest
71,NULL,NULL,Wetland,Water,Wetland,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Wetland
73,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
74,NULL,NULL,Wetland,Water,Wetland,Bareland
75,NULL,NULL,Wetland,Water,Wetland,Water
76,NULL,NULL,Wetland,Water,Wetland,Forest
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
91,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Water
99,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
105,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
106,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
