Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,SIBERIA_2024_WorldCover_2021_42VXN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
31,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,Shrubland,Water,Non_Wetland,Cropland
35,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,Grassland,NULL,Non_Wetland,Cropland
42,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Forest
50,NULL,Grassland,Water,Non_Wetland,Grassland
51,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,Cropland,NULL,Non_Wetland,NULL
53,NULL,Cropland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,NULL,Non_Wetland,Cropland
55,NULL,Cropland,NULL,Non_Wetland,Wetland
56,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,Cropland,NULL,Non_Wetland,Bareland
58,NULL,Cropland,NULL,Non_Wetland,Built-up
59,NULL,Cropland,NULL,Non_Wetland,Forest
60,NULL,Cropland,Non_Water,Non_Wetland,Grassland
61,NULL,Cropland,Non_Water,Non_Wetland,Wetland
62,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,Cropland,Water,Non_Wetland,Wetland
64,NULL,Cropland,Water,Non_Wetland,Bareland
65,NULL,Wetland,NULL,Wetland,NULL
66,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,Wetland,NULL,Wetland,Cropland
68,NULL,Wetland,NULL,Wetland,Wetland
69,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
70,NULL,Wetland,NULL,Wetland,Bareland
71,NULL,Wetland,NULL,Wetland,Built-up
72,NULL,Wetland,NULL,Wetland,Water
73,NULL,Wetland,NULL,Wetland,Forest
74,NULL,Wetland,Non_Water,Wetland,NULL
75,NULL,Wetland,Non_Water,Wetland,Grassland
76,NULL,Wetland,Non_Water,Wetland,Cropland
77,NULL,Wetland,Non_Water,Wetland,Wetland
78,NULL,Wetland,Non_Water,Wetland,Bareland
79,NULL,Wetland,Non_Water,Wetland,Built-up
80,NULL,Wetland,Non_Water,Wetland,Water
81,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,Wetland,Water,Wetland,NULL
83,NULL,Wetland,Water,Wetland,Grassland
84,NULL,Wetland,Water,Wetland,Cropland
85,NULL,Wetland,Water,Wetland,Wetland
86,NULL,Wetland,Water,Wetland,Bareland
87,NULL,Wetland,Water,Wetland,Water
88,NULL,Wetland,Water,Wetland,Forest
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
105,NULL,Bareland,NULL,Non_Wetland,NULL
106,NULL,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Bareland,NULL,Non_Wetland,Cropland
108,NULL,Bareland,NULL,Non_Wetland,Wetland
109,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Bareland,NULL,Non_Wetland,Water
113,NULL,Bareland,NULL,Non_Wetland,Forest
114,NULL,Bareland,Non_Water,Non_Wetland,NULL
115,NULL,Bareland,Non_Water,Non_Wetland,Grassland
116,NULL,Bareland,Non_Water,Non_Wetland,Wetland
117,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Bareland,Non_Water,Non_Wetland,Bareland
119,NULL,Bareland,Non_Water,Non_Wetland,Built-up
120,NULL,Bareland,Non_Water,Non_Wetland,Water
121,NULL,Bareland,Non_Water,Non_Wetland,Forest
122,NULL,Bareland,Water,Non_Wetland,NULL
123,NULL,Bareland,Water,Non_Wetland,Grassland
124,NULL,Bareland,Water,Non_Wetland,Wetland
125,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Bareland,Water,Non_Wetland,Bareland
127,NULL,Bareland,Water,Non_Wetland,Built-up
128,NULL,Bareland,Water,Non_Wetland,Water
129,NULL,Bareland,Water,Non_Wetland,Forest
130,NULL,Built-up,NULL,Non_Wetland,NULL
131,NULL,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Built-up,NULL,Non_Wetland,Cropland
133,NULL,Built-up,NULL,Non_Wetland,Wetland
134,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
135,NULL,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Built-up,NULL,Non_Wetland,Built-up
137,NULL,Built-up,NULL,Non_Wetland,Water
138,NULL,Built-up,NULL,Non_Wetland,Forest
139,NULL,Built-up,Non_Water,Non_Wetland,Grassland
140,NULL,Built-up,Non_Water,Non_Wetland,Cropland
141,NULL,Built-up,Non_Water,Non_Wetland,Wetland
142,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
143,NULL,Built-up,Non_Water,Non_Wetland,Bareland
144,NULL,Built-up,Non_Water,Non_Wetland,Built-up
145,NULL,Built-up,Non_Water,Non_Wetland,Water
146,NULL,Built-up,Non_Water,Non_Wetland,Forest
147,NULL,Built-up,Water,Non_Wetland,NULL
148,NULL,Built-up,Water,Non_Wetland,Grassland
149,NULL,Built-up,Water,Non_Wetland,Wetland
150,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Built-up,Water,Non_Wetland,Bareland
152,NULL,Built-up,Water,Non_Wetland,Built-up
153,NULL,Built-up,Water,Non_Wetland,Water
154,NULL,Built-up,Water,Non_Wetland,Forest
155,NULL,Water,NULL,Water,NULL
156,NULL,Water,NULL,Water,Grassland
157,NULL,Water,NULL,Water,Wetland
158,NULL,Water,NULL,Water,Bareland
159,NULL,Water,NULL,Water,Built-up
160,NULL,Water,NULL,Water,Water
161,NULL,Water,NULL,Water,Forest
162,NULL,Water,Non_Water,Water,Grassland
163,NULL,Water,Non_Water,Water,Wetland
164,NULL,Water,Non_Water,Water,Water
165,NULL,Water,Non_Water,Water,Forest
166,NULL,Water,Water,Water,Grassland
167,NULL,Water,Water,Water,Wetland
168,NULL,Water,Water,Water,Water
169,NULL,Water,Water,Water,Forest
170,NULL,Forest,NULL,Non_Wetland,NULL
171,NULL,Forest,NULL,Non_Wetland,Grassland
172,NULL,Forest,NULL,Non_Wetland,Cropland
173,NULL,Forest,NULL,Non_Wetland,Wetland
174,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
175,NULL,Forest,NULL,Non_Wetland,Bareland
176,NULL,Forest,NULL,Non_Wetland,Built-up
177,NULL,Forest,NULL,Non_Wetland,Water
178,NULL,Forest,NULL,Non_Wetland,Forest
179,NULL,Forest,Non_Water,Non_Wetland,NULL
180,NULL,Forest,Non_Water,Non_Wetland,Grassland
181,NULL,Forest,Non_Water,Non_Wetland,Cropland
182,NULL,Forest,Non_Water,Non_Wetland,Wetland
183,NULL,Forest,Non_Water,Non_Wetland,Bareland
184,NULL,Forest,Non_Water,Non_Wetland,Built-up
185,NULL,Forest,Non_Water,Non_Wetland,Water
186,NULL,Forest,Non_Water,Non_Wetland,Forest
187,NULL,Forest,Water,Non_Wetland,NULL
188,NULL,Forest,Water,Non_Wetland,Grassland
189,NULL,Forest,Water,Non_Wetland,Cropland
190,NULL,Forest,Water,Non_Wetland,Wetland
191,NULL,Forest,Water,Non_Wetland,Bareland
192,NULL,Forest,Water,Non_Wetland,Water
193,NULL,Forest,Water,Non_Wetland,Forest
194,Cropland,NULL,NULL,Non_Wetland,NULL
195,Cropland,NULL,NULL,Non_Wetland,Grassland
196,Cropland,NULL,NULL,Non_Wetland,Wetland
197,Cropland,NULL,NULL,Non_Wetland,Forest
198,Cropland,NULL,Non_Water,Non_Wetland,Wetland
199,Cropland,NULL,Water,Non_Wetland,Water
200,Cropland,NULL,Water,Non_Wetland,Forest
201,Cropland,Shrubland,NULL,Non_Wetland,NULL
202,Cropland,Shrubland,NULL,Non_Wetland,Grassland
203,Cropland,Shrubland,NULL,Non_Wetland,Cropland
204,Cropland,Shrubland,NULL,Non_Wetland,Wetland
205,Cropland,Shrubland,NULL,Non_Wetland,Built-up
206,Cropland,Shrubland,NULL,Non_Wetland,Forest
207,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
208,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
209,Cropland,Grassland,NULL,Non_Wetland,NULL
210,Cropland,Grassland,NULL,Non_Wetland,Grassland
211,Cropland,Grassland,NULL,Non_Wetland,Cropland
212,Cropland,Grassland,NULL,Non_Wetland,Wetland
213,Cropland,Grassland,NULL,Non_Wetland,Built-up
214,Cropland,Grassland,NULL,Non_Wetland,Forest
215,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
216,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
217,Cropland,Cropland,NULL,Non_Wetland,NULL
218,Cropland,Cropland,NULL,Non_Wetland,Grassland
219,Cropland,Cropland,NULL,Non_Wetland,Cropland
220,Cropland,Cropland,NULL,Non_Wetland,Wetland
221,Cropland,Cropland,NULL,Non_Wetland,Bareland
222,Cropland,Cropland,NULL,Non_Wetland,Forest
223,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
224,Cropland,Wetland,NULL,Wetland,NULL
225,Cropland,Wetland,NULL,Wetland,Grassland
226,Cropland,Wetland,NULL,Wetland,Wetland
227,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
228,Cropland,Wetland,NULL,Wetland,Bareland
229,Cropland,Wetland,NULL,Wetland,Built-up
230,Cropland,Wetland,NULL,Wetland,Water
231,Cropland,Wetland,NULL,Wetland,Forest
232,Cropland,Wetland,Non_Water,Wetland,Grassland
233,Cropland,Wetland,Non_Water,Wetland,Wetland
234,Cropland,Wetland,Non_Water,Wetland,Forest
235,Cropland,Wetland,Water,Wetland,Grassland
236,Cropland,Wetland,Water,Wetland,Wetland
237,Cropland,Wetland,Water,Wetland,Forest
238,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
239,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
240,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
241,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
242,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
243,Cropland,Bareland,NULL,Non_Wetland,NULL
244,Cropland,Bareland,NULL,Non_Wetland,Grassland
245,Cropland,Bareland,NULL,Non_Wetland,Cropland
246,Cropland,Bareland,NULL,Non_Wetland,Wetland
247,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
248,Cropland,Bareland,NULL,Non_Wetland,Bareland
249,Cropland,Bareland,NULL,Non_Wetland,Built-up
250,Cropland,Bareland,NULL,Non_Wetland,Water
251,Cropland,Bareland,NULL,Non_Wetland,Forest
252,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
253,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
254,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
255,Cropland,Bareland,Non_Water,Non_Wetland,Water
256,Cropland,Bareland,Non_Water,Non_Wetland,Forest
257,Cropland,Bareland,Water,Non_Wetland,Grassland
258,Cropland,Bareland,Water,Non_Wetland,Wetland
259,Cropland,Bareland,Water,Non_Wetland,Built-up
260,Cropland,Bareland,Water,Non_Wetland,Water
261,Cropland,Bareland,Water,Non_Wetland,Forest
