Value,SIBERIA_2024_ESA_CALU_2024_42WWC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,SIBERIA_2024_WorldCover_2021_42WWC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Water,Non_Wetland,Water
37,NULL,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
40,NULL,NULL,Wetland,NULL,Wetland,Bareland
41,NULL,NULL,Wetland,NULL,Wetland,Water
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
45,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
46,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
47,NULL,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Wetland
50,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
61,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
63,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
64,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
65,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
67,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
73,NULL,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,Water
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,NULL,Water,NULL,Water,Grassland
93,NULL,NULL,Water,NULL,Water,Wetland
94,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
95,NULL,NULL,Water,NULL,Water,Water
96,NULL,NULL,Water,Non_Water,Water,Grassland
97,NULL,NULL,Water,Non_Water,Water,Wetland
98,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
99,NULL,NULL,Water,Non_Water,Water,Water
100,NULL,NULL,Water,Non_Water,Water,Forest
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
104,NULL,NULL,Water,Water,Water,Water
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
