Value,SIBERIA_2024_ESA_CALU_2024_43WDN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDN_M_R,SIBERIA_2024_WorldCover_2021_43WDN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Wetland,NULL,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,Built-up
60,NULL,NULL,Wetland,NULL,Wetland,Water
61,NULL,NULL,Wetland,NULL,Wetland,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
65,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
66,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
67,NULL,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,NULL,Wetland,Water,Wetland,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,NULL,Wetland,Water,Wetland,Bareland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Wetland,Water,Wetland,Forest
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
92,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
95,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
100,NULL,NULL,Bareland,NULL,Non_Wetland,Water
101,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
109,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
110,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
111,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
112,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
113,NULL,NULL,Bareland,Water,Non_Wetland,Water
