Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWT_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWT_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWT_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWT_M_R,SIBERIA_2024_WorldCover_2021_45WWT_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Non_Water,Non_Wetland,Built-up
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
27,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
30,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
32,NULL,Shrubland,Non_Water,Non_Wetland,Water
33,NULL,Shrubland,Non_Water,Non_Wetland,Forest
34,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
37,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,Grassland,NULL,Non_Wetland,Water
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,Non_Water,Non_Wetland,Water
51,NULL,Grassland,Non_Water,Non_Wetland,Forest
52,NULL,Grassland,Water,Non_Wetland,Grassland
53,NULL,Grassland,Water,Non_Wetland,Wetland
54,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
55,NULL,Grassland,Water,Non_Wetland,Bareland
56,NULL,Grassland,Water,Non_Wetland,Water
57,NULL,Grassland,Water,Non_Wetland,Forest
58,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
61,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,Wetland,NULL,Wetland,Water
63,NULL,Wetland,NULL,Wetland,Forest
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
67,NULL,Wetland,Non_Water,Wetland,Bareland
68,NULL,Wetland,Non_Water,Wetland,Water
69,NULL,Wetland,Non_Water,Wetland,Forest
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Wetland
72,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,Wetland,Water,Wetland,Bareland
74,NULL,Wetland,Water,Wetland,Built-up
75,NULL,Wetland,Water,Wetland,Water
76,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
77,NULL,Wetland,Water,Wetland,Forest
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Bareland,NULL,Non_Wetland,Water
99,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
100,NULL,Bareland,NULL,Non_Wetland,Forest
101,NULL,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,Bareland,Non_Water,Non_Wetland,Wetland
103,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,Non_Water,Non_Wetland,Bareland
105,NULL,Bareland,Non_Water,Non_Wetland,Water
106,NULL,Bareland,Non_Water,Non_Wetland,Forest
107,NULL,Bareland,Water,Non_Wetland,Grassland
108,NULL,Bareland,Water,Non_Wetland,Wetland
109,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Water,Non_Wetland,Bareland
111,NULL,Bareland,Water,Non_Wetland,Built-up
112,NULL,Bareland,Water,Non_Wetland,Water
113,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
114,NULL,Bareland,Water,Non_Wetland,Forest
115,NULL,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Built-up,NULL,Non_Wetland,Wetland
117,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,NULL,Non_Wetland,Bareland
119,NULL,Built-up,NULL,Non_Wetland,Built-up
120,NULL,Built-up,NULL,Non_Wetland,Water
121,NULL,Built-up,NULL,Non_Wetland,Forest
122,NULL,Built-up,Non_Water,Non_Wetland,Grassland
123,NULL,Built-up,Non_Water,Non_Wetland,Wetland
124,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
125,NULL,Built-up,Non_Water,Non_Wetland,Bareland
126,NULL,Built-up,Non_Water,Non_Wetland,Water
127,NULL,Built-up,Non_Water,Non_Wetland,Forest
128,NULL,Built-up,Water,Non_Wetland,Grassland
129,NULL,Built-up,Water,Non_Wetland,Wetland
130,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
131,NULL,Built-up,Water,Non_Wetland,Bareland
132,NULL,Built-up,Water,Non_Wetland,Built-up
133,NULL,Built-up,Water,Non_Wetland,Water
134,NULL,Built-up,Water,Non_Wetland,Forest
135,NULL,Water,NULL,NULL,Grassland
136,NULL,Water,NULL,NULL,Lichens_and_Mosses
137,NULL,Water,NULL,Water,Grassland
138,NULL,Water,NULL,Water,Wetland
139,NULL,Water,NULL,Water,Lichens_and_Mosses
140,NULL,Water,NULL,Water,Bareland
141,NULL,Water,NULL,Water,Water
142,NULL,Water,NULL,Water,Permanent_ice_and_snow
143,NULL,Water,NULL,Water,Forest
144,NULL,Water,Non_Water,NULL,Lichens_and_Mosses
145,NULL,Water,Non_Water,Water,Grassland
146,NULL,Water,Non_Water,Water,Wetland
147,NULL,Water,Non_Water,Water,Lichens_and_Mosses
148,NULL,Water,Non_Water,Water,Bareland
149,NULL,Water,Non_Water,Water,Water
150,NULL,Water,Non_Water,Water,Forest
151,NULL,Water,Water,NULL,Water
152,NULL,Water,Water,Water,Grassland
153,NULL,Water,Water,Water,Wetland
154,NULL,Water,Water,Water,Lichens_and_Mosses
155,NULL,Water,Water,Water,Bareland
156,NULL,Water,Water,Water,Built-up
157,NULL,Water,Water,Water,Water
158,NULL,Water,Water,Water,Permanent_ice_and_snow
159,NULL,Water,Water,Water,Forest
160,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
161,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
162,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
163,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
164,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
165,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
166,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
