Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMT_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMT_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMT_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMT_M_R,SIBERIA_2024_WorldCover_2021_44WMT_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,Grassland,NULL,Non_Wetland,Water
42,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,Grassland,Non_Water,Non_Wetland,Grassland
44,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
46,NULL,Grassland,Non_Water,Non_Wetland,Forest
47,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,Grassland,Water,Non_Wetland,Bareland
50,NULL,Grassland,Water,Non_Wetland,Water
51,NULL,Grassland,Water,Non_Wetland,Forest
52,NULL,Cropland,NULL,Non_Wetland,Grassland
53,NULL,Cropland,NULL,Non_Wetland,Wetland
54,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
55,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,Wetland,NULL,Wetland,NULL
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,Wetland,NULL,Wetland,Built-up
62,NULL,Wetland,NULL,Wetland,Water
63,NULL,Wetland,NULL,Wetland,Forest
64,NULL,Wetland,Non_Water,Wetland,NULL
65,NULL,Wetland,Non_Water,Wetland,Grassland
66,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Non_Water,Wetland,Water
69,NULL,Wetland,Non_Water,Wetland,Forest
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Wetland
72,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,Bareland,Non_Water,Non_Wetland,Water
100,NULL,Bareland,Non_Water,Non_Wetland,Forest
101,NULL,Bareland,Water,Non_Wetland,Grassland
102,NULL,Bareland,Water,Non_Wetland,Wetland
103,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,Water,Non_Wetland,Bareland
105,NULL,Bareland,Water,Non_Wetland,Water
106,NULL,Bareland,Water,Non_Wetland,Forest
107,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,Non_Wetland,Wetland
109,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,Non_Wetland,Built-up
112,NULL,Built-up,NULL,Non_Wetland,Water
113,NULL,Built-up,NULL,Non_Wetland,Forest
114,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,Built-up,Non_Water,Non_Wetland,Bareland
116,NULL,Built-up,Non_Water,Non_Wetland,Forest
117,NULL,Built-up,Water,Non_Wetland,Grassland
118,NULL,Built-up,Water,Non_Wetland,Wetland
119,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Water,Non_Wetland,Water
121,NULL,Built-up,Water,Non_Wetland,Forest
122,NULL,Water,NULL,Water,Grassland
123,NULL,Water,NULL,Water,Wetland
124,NULL,Water,NULL,Water,Lichens_and_Mosses
125,NULL,Water,NULL,Water,Bareland
126,NULL,Water,NULL,Water,Water
127,NULL,Water,NULL,Water,Forest
128,NULL,Water,Non_Water,Water,Grassland
129,NULL,Water,Non_Water,Water,Wetland
130,NULL,Water,Non_Water,Water,Lichens_and_Mosses
131,NULL,Water,Non_Water,Water,Water
132,NULL,Water,Non_Water,Water,Forest
133,NULL,Water,Water,Water,Grassland
134,NULL,Water,Water,Water,Wetland
135,NULL,Water,Water,Water,Lichens_and_Mosses
136,NULL,Water,Water,Water,Water
137,NULL,Water,Water,Water,Forest
138,NULL,Forest,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,Non_Wetland,Wetland
141,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,NULL,Non_Wetland,Bareland
143,NULL,Forest,NULL,Non_Wetland,Built-up
144,NULL,Forest,NULL,Non_Wetland,Water
145,NULL,Forest,NULL,Non_Wetland,Forest
146,NULL,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
149,NULL,Forest,Non_Water,Non_Wetland,Water
150,NULL,Forest,Non_Water,Non_Wetland,Forest
151,NULL,Forest,Water,Non_Wetland,Grassland
152,NULL,Forest,Water,Non_Wetland,Wetland
153,NULL,Forest,Water,Non_Wetland,Bareland
154,NULL,Forest,Water,Non_Wetland,Water
155,NULL,Forest,Water,Non_Wetland,Forest
156,Cropland,NULL,NULL,Non_Wetland,Grassland
157,Cropland,NULL,NULL,Non_Wetland,Wetland
158,Cropland,NULL,NULL,Non_Wetland,Forest
159,Cropland,NULL,Water,Non_Wetland,Wetland
160,Cropland,Shrubland,NULL,Non_Wetland,Grassland
161,Cropland,Shrubland,NULL,Non_Wetland,Wetland
162,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
163,Cropland,Shrubland,NULL,Non_Wetland,Forest
164,Cropland,Grassland,NULL,Non_Wetland,Grassland
165,Cropland,Grassland,NULL,Non_Wetland,Wetland
166,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
167,Cropland,Grassland,NULL,Non_Wetland,Forest
168,Cropland,Wetland,NULL,Wetland,NULL
169,Cropland,Wetland,NULL,Wetland,Grassland
170,Cropland,Wetland,NULL,Wetland,Wetland
171,Cropland,Wetland,NULL,Wetland,Forest
172,Cropland,Wetland,Non_Water,Wetland,Grassland
173,Cropland,Wetland,Non_Water,Wetland,Wetland
174,Cropland,Wetland,Water,Wetland,Grassland
175,Cropland,Wetland,Water,Wetland,Wetland
176,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
177,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
178,Cropland,Bareland,NULL,Non_Wetland,Grassland
179,Cropland,Bareland,NULL,Non_Wetland,Wetland
180,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
181,Cropland,Bareland,NULL,Non_Wetland,Built-up
182,Cropland,Bareland,NULL,Non_Wetland,Forest
183,Cropland,Water,NULL,Water,Wetland
184,Cropland,Water,Water,Water,Wetland
185,Cropland,Forest,NULL,Non_Wetland,Grassland
186,Cropland,Forest,NULL,Non_Wetland,Wetland
187,Cropland,Forest,NULL,Non_Wetland,Water
188,Cropland,Forest,NULL,Non_Wetland,Forest
189,Cropland,Forest,Non_Water,Non_Wetland,Grassland
190,Cropland,Forest,Water,Non_Wetland,Grassland
191,Cropland,Forest,Water,Non_Wetland,Wetland
192,Cropland,Forest,Water,Non_Wetland,Forest
193,Wetland,NULL,NULL,Non_Wetland,NULL
194,Wetland,NULL,NULL,Non_Wetland,Grassland
195,Wetland,NULL,NULL,Non_Wetland,Wetland
196,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
197,Wetland,NULL,NULL,Non_Wetland,Bareland
198,Wetland,NULL,NULL,Non_Wetland,Water
199,Wetland,NULL,NULL,Non_Wetland,Forest
200,Wetland,NULL,Non_Water,Non_Wetland,Grassland
201,Wetland,NULL,Non_Water,Non_Wetland,Wetland
202,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
203,Wetland,NULL,Non_Water,Non_Wetland,Water
204,Wetland,NULL,Non_Water,Non_Wetland,Forest
205,Wetland,NULL,Water,Non_Wetland,Grassland
206,Wetland,NULL,Water,Non_Wetland,Wetland
207,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
208,Wetland,NULL,Water,Non_Wetland,Water
209,Wetland,NULL,Water,Non_Wetland,Forest
210,Wetland,Shrubland,NULL,Non_Wetland,NULL
211,Wetland,Shrubland,NULL,Non_Wetland,Grassland
212,Wetland,Shrubland,NULL,Non_Wetland,Wetland
213,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
214,Wetland,Shrubland,NULL,Non_Wetland,Bareland
215,Wetland,Shrubland,NULL,Non_Wetland,Water
216,Wetland,Shrubland,NULL,Non_Wetland,Forest
217,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
218,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
219,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,Shrubland,Non_Water,Non_Wetland,Water
221,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
222,Wetland,Shrubland,Water,Non_Wetland,Grassland
223,Wetland,Shrubland,Water,Non_Wetland,Wetland
224,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
225,Wetland,Shrubland,Water,Non_Wetland,Water
226,Wetland,Shrubland,Water,Non_Wetland,Forest
227,Wetland,Grassland,NULL,Non_Wetland,NULL
228,Wetland,Grassland,NULL,Non_Wetland,Grassland
229,Wetland,Grassland,NULL,Non_Wetland,Wetland
230,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
231,Wetland,Grassland,NULL,Non_Wetland,Bareland
232,Wetland,Grassland,NULL,Non_Wetland,Built-up
233,Wetland,Grassland,NULL,Non_Wetland,Water
234,Wetland,Grassland,NULL,Non_Wetland,Forest
235,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
236,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
237,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
238,Wetland,Grassland,Non_Water,Non_Wetland,Water
239,Wetland,Grassland,Non_Water,Non_Wetland,Forest
240,Wetland,Grassland,Water,Non_Wetland,Grassland
241,Wetland,Grassland,Water,Non_Wetland,Wetland
242,Wetland,Grassland,Water,Non_Wetland,Water
243,Wetland,Grassland,Water,Non_Wetland,Forest
244,Wetland,Cropland,NULL,Non_Wetland,Grassland
245,Wetland,Cropland,NULL,Non_Wetland,Wetland
246,Wetland,Cropland,NULL,Non_Wetland,Forest
247,Wetland,Cropland,Water,Non_Wetland,Wetland
248,Wetland,Cropland,Water,Non_Wetland,Forest
249,Wetland,Wetland,NULL,Wetland,NULL
250,Wetland,Wetland,NULL,Wetland,Grassland
251,Wetland,Wetland,NULL,Wetland,Wetland
252,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,NULL,Wetland,Bareland
254,Wetland,Wetland,NULL,Wetland,Water
255,Wetland,Wetland,NULL,Wetland,Forest
256,Wetland,Wetland,Non_Water,Wetland,Grassland
257,Wetland,Wetland,Non_Water,Wetland,Wetland
258,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
259,Wetland,Wetland,Non_Water,Wetland,Bareland
260,Wetland,Wetland,Non_Water,Wetland,Water
