Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDF_M_R,SIBERIA_2024_WorldCover_2021_43VDF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,Grassland,Non_Water,Non_Wetland,Wetland
28,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,Grassland,Non_Water,Non_Wetland,Forest
30,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,Grassland,Water,Non_Wetland,Bareland
32,NULL,Grassland,Water,Non_Wetland,Built-up
33,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,Cropland,NULL,Non_Wetland,Water
42,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,Cropland,Non_Water,Non_Wetland,Wetland
45,NULL,Cropland,Non_Water,Non_Wetland,Bareland
46,NULL,Cropland,Non_Water,Non_Wetland,Water
47,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,Cropland,Water,Non_Wetland,Wetland
50,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,Cropland,Water,Non_Wetland,Water
52,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,Wetland,NULL,Wetland,NULL
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Cropland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,Wetland,Water,Wetland,Grassland
67,NULL,Wetland,Water,Wetland,Wetland
68,NULL,Wetland,Water,Wetland,Bareland
69,NULL,Wetland,Water,Wetland,Water
70,NULL,Wetland,Water,Wetland,Forest
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Bareland,NULL,Non_Wetland,NULL
76,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,Bareland,NULL,Non_Wetland,Cropland
78,NULL,Bareland,NULL,Non_Wetland,Wetland
79,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,Bareland,NULL,Non_Wetland,Bareland
81,NULL,Bareland,NULL,Non_Wetland,Built-up
82,NULL,Bareland,NULL,Non_Wetland,Water
83,NULL,Bareland,NULL,Non_Wetland,Forest
84,NULL,Bareland,Non_Water,Non_Wetland,NULL
85,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,Bareland,Non_Water,Non_Wetland,Wetland
87,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Bareland,Non_Water,Non_Wetland,Bareland
89,NULL,Bareland,Non_Water,Non_Wetland,Built-up
90,NULL,Bareland,Non_Water,Non_Wetland,Water
91,NULL,Bareland,Non_Water,Non_Wetland,Forest
92,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,Bareland,Water,Non_Wetland,Water
96,NULL,Bareland,Water,Non_Wetland,Forest
97,NULL,Built-up,NULL,Non_Wetland,NULL
98,NULL,Built-up,NULL,Non_Wetland,Grassland
99,NULL,Built-up,NULL,Non_Wetland,Cropland
100,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Non_Water,Non_Wetland,Cropland
108,NULL,Built-up,Non_Water,Non_Wetland,Wetland
109,NULL,Built-up,Non_Water,Non_Wetland,Bareland
110,NULL,Built-up,Non_Water,Non_Wetland,Built-up
111,NULL,Built-up,Non_Water,Non_Wetland,Water
112,NULL,Built-up,Non_Water,Non_Wetland,Forest
113,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,Built-up,Water,Non_Wetland,Wetland
115,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,Built-up,Water,Non_Wetland,Built-up
117,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,Built-up,Water,Non_Wetland,Forest
119,NULL,Water,NULL,Water,Grassland
120,NULL,Water,NULL,Water,Wetland
121,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,Water,NULL,Water,Bareland
123,NULL,Water,NULL,Water,Built-up
124,NULL,Water,NULL,Water,Water
125,NULL,Water,NULL,Water,Forest
126,NULL,Water,Non_Water,Water,Wetland
127,NULL,Water,Non_Water,Water,Bareland
128,NULL,Water,Non_Water,Water,Water
129,NULL,Water,Non_Water,Water,Forest
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Bareland
132,NULL,Water,Water,Water,Water
133,NULL,Water,Water,Water,Forest
134,NULL,Forest,NULL,Non_Wetland,NULL
135,NULL,Forest,NULL,Non_Wetland,Grassland
136,NULL,Forest,NULL,Non_Wetland,Cropland
137,NULL,Forest,NULL,Non_Wetland,Wetland
138,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,Forest,NULL,Non_Wetland,Bareland
140,NULL,Forest,NULL,Non_Wetland,Built-up
141,NULL,Forest,NULL,Non_Wetland,Water
142,NULL,Forest,NULL,Non_Wetland,Forest
143,NULL,Forest,Non_Water,Non_Wetland,NULL
144,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Non_Water,Non_Wetland,Wetland
146,NULL,Forest,Non_Water,Non_Wetland,Built-up
147,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,Water,Non_Wetland,Bareland
152,NULL,Forest,Water,Non_Wetland,Water
153,NULL,Forest,Water,Non_Wetland,Forest
154,Cropland,NULL,NULL,Non_Wetland,Grassland
155,Cropland,NULL,NULL,Non_Wetland,Wetland
156,Cropland,NULL,NULL,Non_Wetland,Forest
157,Cropland,Shrubland,NULL,Non_Wetland,Forest
158,Cropland,Grassland,NULL,Non_Wetland,Wetland
159,Cropland,Grassland,NULL,Non_Wetland,Forest
160,Cropland,Cropland,NULL,Non_Wetland,NULL
161,Cropland,Cropland,NULL,Non_Wetland,Grassland
162,Cropland,Cropland,NULL,Non_Wetland,Wetland
163,Cropland,Cropland,NULL,Non_Wetland,Forest
164,Cropland,Wetland,NULL,Wetland,NULL
165,Cropland,Wetland,NULL,Wetland,Grassland
166,Cropland,Wetland,NULL,Wetland,Wetland
167,Cropland,Wetland,NULL,Wetland,Built-up
168,Cropland,Wetland,NULL,Wetland,Forest
169,Cropland,Wetland,Water,Wetland,Water
170,Cropland,Bareland,NULL,Non_Wetland,NULL
171,Cropland,Bareland,NULL,Non_Wetland,Grassland
172,Cropland,Bareland,NULL,Non_Wetland,Wetland
173,Cropland,Bareland,NULL,Non_Wetland,Built-up
174,Cropland,Bareland,NULL,Non_Wetland,Forest
175,Cropland,Built-up,NULL,Non_Wetland,Grassland
176,Cropland,Built-up,NULL,Non_Wetland,Wetland
177,Cropland,Built-up,NULL,Non_Wetland,Bareland
178,Cropland,Built-up,NULL,Non_Wetland,Built-up
179,Cropland,Built-up,NULL,Non_Wetland,Forest
180,Cropland,Water,NULL,Water,Wetland
181,Cropland,Water,NULL,Water,Water
182,Cropland,Water,Water,Water,Wetland
183,Cropland,Water,Water,Water,Water
184,Cropland,Forest,NULL,Non_Wetland,NULL
185,Cropland,Forest,NULL,Non_Wetland,Grassland
186,Cropland,Forest,NULL,Non_Wetland,Wetland
187,Cropland,Forest,NULL,Non_Wetland,Built-up
188,Cropland,Forest,NULL,Non_Wetland,Forest
189,Cropland,Forest,Non_Water,Non_Wetland,Water
190,Cropland,Forest,Non_Water,Non_Wetland,Forest
191,Wetland,NULL,NULL,Non_Wetland,Grassland
192,Wetland,NULL,NULL,Non_Wetland,Wetland
193,Wetland,NULL,NULL,Non_Wetland,Bareland
194,Wetland,NULL,NULL,Non_Wetland,Water
195,Wetland,NULL,NULL,Non_Wetland,Forest
196,Wetland,NULL,Non_Water,Non_Wetland,Forest
197,Wetland,NULL,Water,Non_Wetland,Grassland
198,Wetland,NULL,Water,Non_Wetland,Water
199,Wetland,NULL,Water,Non_Wetland,Forest
200,Wetland,Shrubland,NULL,Non_Wetland,Wetland
201,Wetland,Shrubland,NULL,Non_Wetland,Forest
202,Wetland,Grassland,NULL,Non_Wetland,Grassland
203,Wetland,Grassland,NULL,Non_Wetland,Wetland
204,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
205,Wetland,Grassland,NULL,Non_Wetland,Bareland
206,Wetland,Grassland,NULL,Non_Wetland,Built-up
207,Wetland,Grassland,NULL,Non_Wetland,Water
208,Wetland,Grassland,NULL,Non_Wetland,Forest
209,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
210,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
211,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
212,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
213,Wetland,Grassland,Non_Water,Non_Wetland,Water
214,Wetland,Grassland,Non_Water,Non_Wetland,Forest
215,Wetland,Grassland,Water,Non_Wetland,Wetland
216,Wetland,Grassland,Water,Non_Wetland,Water
217,Wetland,Cropland,NULL,Non_Wetland,Grassland
218,Wetland,Cropland,NULL,Non_Wetland,Wetland
219,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
220,Wetland,Cropland,NULL,Non_Wetland,Bareland
221,Wetland,Cropland,NULL,Non_Wetland,Built-up
222,Wetland,Cropland,NULL,Non_Wetland,Water
223,Wetland,Cropland,NULL,Non_Wetland,Forest
224,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
225,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
226,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
227,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
228,Wetland,Cropland,Non_Water,Non_Wetland,Forest
229,Wetland,Cropland,Water,Non_Wetland,Grassland
230,Wetland,Cropland,Water,Non_Wetland,Wetland
231,Wetland,Cropland,Water,Non_Wetland,Water
232,Wetland,Cropland,Water,Non_Wetland,Forest
233,Wetland,Wetland,NULL,Wetland,NULL
234,Wetland,Wetland,NULL,Wetland,Grassland
235,Wetland,Wetland,NULL,Wetland,Wetland
236,Wetland,Wetland,NULL,Wetland,Water
237,Wetland,Wetland,NULL,Wetland,Forest
238,Wetland,Wetland,Non_Water,Wetland,Grassland
239,Wetland,Wetland,Non_Water,Wetland,Wetland
240,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
241,Wetland,Wetland,Non_Water,Wetland,Water
242,Wetland,Wetland,Non_Water,Wetland,Forest
243,Wetland,Wetland,Water,Wetland,NULL
244,Wetland,Wetland,Water,Wetland,Grassland
245,Wetland,Wetland,Water,Wetland,Wetland
246,Wetland,Wetland,Water,Wetland,Water
247,Wetland,Wetland,Water,Wetland,Forest
248,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
249,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
250,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
251,Wetland,Bareland,NULL,Non_Wetland,NULL
252,Wetland,Bareland,NULL,Non_Wetland,Grassland
253,Wetland,Bareland,NULL,Non_Wetland,Wetland
254,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
255,Wetland,Bareland,NULL,Non_Wetland,Bareland
256,Wetland,Bareland,NULL,Non_Wetland,Built-up
257,Wetland,Bareland,NULL,Non_Wetland,Water
258,Wetland,Bareland,NULL,Non_Wetland,Forest
259,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
260,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
261,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
262,Wetland,Bareland,Non_Water,Non_Wetland,Water
263,Wetland,Bareland,Non_Water,Non_Wetland,Forest
264,Wetland,Bareland,Water,Non_Wetland,Grassland
265,Wetland,Bareland,Water,Non_Wetland,Wetland
266,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
267,Wetland,Bareland,Water,Non_Wetland,Water
